Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-380615,"Serotonin clearance from the synaptic cleft",1,3,2.4770869457517957E-4,4.953560295528625E-4,0.00594427235463435,2,4,2.583812415218655E-4,9606,Homo sapiens,"HTT","P31645","R-HSA-9714415;R-HSA-444008"
R-HSA-112311,"Neurotransmitter clearance",1,10,8.25695648583932E-4,0.0016507095238637026,0.009904257143182216,2,16,0.001033524966087462,9606,Homo sapiens,"HTT","P31645","R-HSA-9714415;R-HSA-444008"
R-HSA-442660,"SLC-mediated transport of neurotransmitters",1,21,0.0017339608620262571,0.0034649151037814407,0.013859660415125763,1,14,9.043343453265293E-4,9606,Homo sapiens,"HTT","P31645","R-HSA-380620"
R-HSA-9022692,"Regulation of MECP2 expression and activity",1,32,0.0026422260754685825,0.00527747079230334,0.01583241237691002,1,14,9.043343453265293E-4,9606,Homo sapiens,"HTT","P42858","R-HSA-9023592"
R-HSA-8986944,"Transcriptional Regulation by MECP2",1,61,0.005036743456361985,0.010048118128078709,0.020096236256157418,1,77,0.004973838899295911,9606,Homo sapiens,"HTT","P42858","R-HSA-9023592"
R-HSA-425407,"SLC-mediated transmembrane transport",1,244,0.02014697382544794,0.039888047096572565,0.04457486358687701,1,193,0.01246689490343001,9606,Homo sapiens,"HTT","P31645","R-HSA-380620"
R-HSA-112315,"Transmission across Chemical Synapses",1,273,0.022541491206341344,0.04457486358687701,0.04457486358687701,2,162,0.010464440281635554,9606,Homo sapiens,"HTT","P31645","R-HSA-9714415;R-HSA-444008"
R-HSA-112316,"Neuronal System",1,419,0.034596647675666746,0.06799636732093928,0.06799636732093928,2,216,0.013952587042180737,9606,Homo sapiens,"HTT","P31645","R-HSA-9714415;R-HSA-444008"
R-HSA-382551,"Transport of small molecules",1,723,0.05969779539261828,0.11583176401049777,0.11583176401049777,1,461,0.029778438085395,9606,Homo sapiens,"HTT","P31645","R-HSA-380620"
R-HSA-212436,"Generic Transcription Pathway",1,1256,0.10370737346214186,0.19665952761386762,0.19665952761386762,1,878,0.05671468251404948,9606,Homo sapiens,"HTT","P42858","R-HSA-9023592"
R-HSA-73857,"RNA Polymerase II Transcription",1,1379,0.11386342993972422,0.21476197920180995,0.21476197920180995,1,939,0.06065499644725793,9606,Homo sapiens,"HTT","P42858","R-HSA-9023592"
R-HSA-74160,"Gene expression (Transcription)",1,1575,0.13004706465196927,0.243181890279345,0.243181890279345,1,1137,0.07344486790259028,9606,Homo sapiens,"HTT","P42858","R-HSA-9023592"
