hsa00220  	Arginine biosynthesis
hsa00330  	Arginine and proline metabolism
hsa01100  	Metabolic pathways
hsa04020  	Calcium signaling pathway
hsa04081  	Hormone signaling
hsa04145  	Phagocytosis
hsa04371  	Apelin signaling pathway
hsa04713  	Circadian entrainment
hsa04730  	Long-term depression
hsa04926  	Relaxin signaling pathway
hsa04970  	Salivary secretion
hsa05010  	Alzheimer disease
hsa05014  	Amyotrophic lateral sclerosis
hsa05022  	Pathways of neurodegeneration - multiple diseases
hsa05410  	Hypertrophic cardiomyopathy
hsa05412  	Arrhythmogenic right ventricular cardiomyopathy
hsa05414  	Dilated cardiomyopathy
hsa05416  	Viral myocarditis
