Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9636249,"Inhibition of nitric oxide production",2,5,3.0767337394621867E-4,9.466290507020858E-8,1.7039322912637545E-6,2,5,3.1077133445211015E-4,9606,Homo sapiens,"nos2","","R-HSA-9636240;R-HSA-9636261"
R-HSA-9637687,"Suppression of phagosomal maturation",2,33,0.0020306442680450435,4.123516143317296E-6,3.7111645289855666E-5,2,17,0.0010566225371371745,9606,Homo sapiens,"nos2","","R-HSA-9636240;R-HSA-9636261"
R-HSA-9637690,"Response of Mtb to phagocytosis",2,52,0.0031998030890406743,1.0238739808654529E-5,6.143243885192717E-5,2,30,0.001864628006712661,9606,Homo sapiens,"nos2","","R-HSA-9636240;R-HSA-9636261"
R-HSA-9635486,"Infection with Mycobacterium tuberculosis",2,136,0.00836871577133715,7.003540366146144E-5,2.8014161464584575E-4,2,73,0.004537261483000808,9606,Homo sapiens,"nos2","","R-HSA-9636240;R-HSA-9636261"
R-HSA-6785807,"Interleukin-4 and Interleukin-13 signaling",2,211,0.012983816380530429,1.685794878033553E-4,5.057384634100659E-4,1,47,0.002921250543849835,9606,Homo sapiens,"nos2","","R-HSA-6790041"
R-HSA-9824439,"Bacterial Infection Pathways",2,414,0.025475355362746907,6.489937308582494E-4,0.0019469811925747482,2,234,0.014544098452358755,9606,Homo sapiens,"nos2","","R-HSA-9636240;R-HSA-9636261"
R-HSA-449147,"Signaling by Interleukins",2,646,0.03975139991385145,0.001580173795110995,0.00316034759022199,1,505,0.03138790477966313,9606,Homo sapiens,"nos2","","R-HSA-6790041"
R-HSA-392154,"Nitric oxide stimulates guanylate cyclase",1,35,0.0021537136176235307,0.004302788752900244,0.00822864875053042,1,7,4.350798682329542E-4,9606,Homo sapiens,"nos2","","R-HSA-418436"
R-HSA-1280215,"Cytokine Signaling in Immune system",2,1193,0.07341086702356778,0.005389155397151901,0.00822864875053042,1,823,0.05115296165081733,9606,Homo sapiens,"nos2","","R-HSA-6790041"
R-HSA-9033241,"Peroxisomal protein import",1,67,0.004122823210879331,0.00822864875053042,0.00822864875053042,3,26,0.0016160109391509727,9606,Homo sapiens,"nos2","","R-HSA-9033233;R-HSA-9033235;R-HSA-9033236"
R-HSA-1222556,"ROS and RNS production in phagocytes",1,82,0.005045843332717986,0.010066226130497569,0.010066226130497569,1,45,0.0027969420100689914,9606,Homo sapiens,"nos2","","R-HSA-418436"
R-HSA-418346,"Platelet homeostasis",1,118,0.007261091625130761,0.014469459798672979,0.014469459798672979,1,31,0.0019267822736030828,9606,Homo sapiens,"nos2","","R-HSA-418436"
R-HSA-5663205,"Infectious disease",2,1965,0.12091563596086395,0.014620591019820162,0.014620591019820162,2,1227,0.07626328547454783,9606,Homo sapiens,"nos2","","R-HSA-9636240;R-HSA-9636261"
R-HSA-9609507,"Protein localization",1,171,0.01052242938896068,0.020934137257675567,0.020934137257675567,3,53,0.0032941761451923675,9606,Homo sapiens,"nos2","","R-HSA-9033233;R-HSA-9033235;R-HSA-9033236"
R-HSA-168256,"Immune System",2,3033,0.18663466863577627,0.03483249953678602,0.03483249953678602,2,1895,0.11778233575734974,9606,Homo sapiens,"nos2","","R-HSA-418436;R-HSA-6790041"
R-HSA-1643685,"Disease",2,3093,0.19032674912313088,0.0362242714317792,0.0362242714317792,2,2176,0.13524768475355833,9606,Homo sapiens,"nos2","","R-HSA-9636240;R-HSA-9636261"
R-HSA-109582,"Hemostasis",1,821,0.05051996800196911,0.0984876688370182,0.0984876688370182,1,366,0.022748461681894462,9606,Homo sapiens,"nos2","","R-HSA-418436"
R-HSA-168249,"Innate Immune System",1,1387,0.08534859393268107,0.16341280537907632,0.16341280537907632,1,782,0.04860463670831003,9606,Homo sapiens,"nos2","","R-HSA-418436"
