Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-5362517,"Signaling by Retinoic Acid",1,41,0.0033931970537118264,0.0033931970537117717,0.015062484482330607,3,21,0.0013731772706467012,9606,Homo sapiens,"RARB","P10826","R-HSA-9009817;R-HSA-5634103;R-HSA-5334854"
R-HSA-383280,"Nuclear Receptor transcription pathway",1,86,0.0071174377224199285,0.007117437722419906,0.015062484482330607,2,2,1.307787876806382E-4,9606,Homo sapiens,"RARB","P10826","R-HSA-382096;R-HSA-376419"
R-HSA-5617472,"Activation of anterior HOX genes in hindbrain development during early embryogenesis",1,91,0.007531242241165273,0.0075312422411653035,0.015062484482330607,6,43,0.002811743935133721,9606,Homo sapiens,"RARB","P10826","R-HSA-5617877;R-HSA-5617862;R-HSA-5617859;R-HSA-5617874;R-HSA-5617896;R-HSA-5617867"
R-HSA-5619507,"Activation of HOX genes during differentiation",1,91,0.007531242241165273,0.0075312422411653035,0.015062484482330607,6,43,0.002811743935133721,9606,Homo sapiens,"RARB","P10826","R-HSA-5617877;R-HSA-5617862;R-HSA-5617859;R-HSA-5617874;R-HSA-5617896;R-HSA-5617867"
R-HSA-9006931,"Signaling by Nuclear Receptors",1,270,0.022345444012248614,0.022345444012248583,0.044690888024497166,3,192,0.012554763617341267,9606,Homo sapiens,"RARB","P10826","R-HSA-9009817;R-HSA-5634103;R-HSA-5334854"
R-HSA-212436,"Generic Transcription Pathway",1,1255,0.10386493420508151,0.10386493420508147,0.10386493420508147,2,878,0.05741188779180017,9606,Homo sapiens,"RARB","P10826","R-HSA-382096;R-HSA-376419"
R-HSA-73857,"RNA Polymerase II Transcription",1,1379,0.11412728626996607,0.11412728626996604,0.11412728626996604,2,939,0.061400640816059636,9606,Homo sapiens,"RARB","P10826","R-HSA-382096;R-HSA-376419"
R-HSA-1266738,"Developmental Biology",1,1483,0.12273442025986923,0.12273442025986925,0.12273442025986925,6,979,0.0640162165696724,9606,Homo sapiens,"RARB","P10826","R-HSA-5617877;R-HSA-5617862;R-HSA-5617859;R-HSA-5617874;R-HSA-5617896;R-HSA-5617867"
R-HSA-74160,"Gene expression (Transcription)",1,1607,0.1329967723247538,0.13299677232475382,0.13299677232475382,2,1138,0.07441313019028313,9606,Homo sapiens,"RARB","P10826","R-HSA-382096;R-HSA-376419"
R-HSA-162582,"Signal Transduction",1,2612,0.21617148059256808,0.21617148059256808,0.21617148059256808,3,2576,0.168443078532662,9606,Homo sapiens,"RARB","P10826","R-HSA-9009817;R-HSA-5634103;R-HSA-5334854"
