hsa04014  	Ras signaling pathway
hsa04015  	Rap1 signaling pathway
hsa04022  	cGMP-PKG signaling pathway
hsa04024  	cAMP signaling pathway
hsa04062  	Chemokine signaling pathway
hsa04071  	Sphingolipid signaling pathway
hsa04072  	Phospholipase D signaling pathway
hsa04081  	Hormone signaling
hsa04144  	Endocytosis
hsa04150  	mTOR signaling pathway
hsa04270  	Vascular smooth muscle contraction
hsa04310  	Wnt signaling pathway
hsa04350  	TGF-beta signaling pathway
hsa04360  	Axon guidance
hsa04510  	Focal adhesion
hsa04517  	IgSF CAM signaling
hsa04519  	Cadherin signaling
hsa04520  	Adherens junction
hsa04530  	Tight junction
hsa04611  	Platelet activation
hsa04621  	NOD-like receptor signaling pathway
hsa04625  	C-type lectin receptor signaling pathway
hsa04660  	T cell receptor signaling pathway
hsa04670  	Leukocyte transendothelial migration
hsa04722  	Neurotrophin signaling pathway
hsa04810  	Regulation of actin cytoskeleton
hsa04921  	Oxytocin signaling pathway
hsa04928  	Parathyroid hormone synthesis, secretion and action
hsa04972  	Pancreatic secretion
hsa05100  	Bacterial invasion of epithelial cells
hsa05130  	Pathogenic Escherichia coli infection
hsa05131  	Shigellosis
hsa05132  	Salmonella infection
hsa05133  	Pertussis
hsa05135  	Yersinia infection
hsa05152  	Tuberculosis
hsa05163  	Human cytomegalovirus infection
hsa05200  	Pathways in cancer
hsa05203  	Viral carcinogenesis
hsa05205  	Proteoglycans in cancer
hsa05206  	MicroRNAs in cancer
hsa05210  	Colorectal cancer
hsa05417  	Lipid and atherosclerosis
hsa05418  	Fluid shear stress and atherosclerosis
