Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9694719,"Maturation of protein 3a",1,10,8.25695648583932E-4,8.25695648583924E-4,0.0068532738832466356,1,7,4.5216717266326466E-4,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-9694718"
R-HSA-9683673,"Maturation of protein 3a",1,10,8.25695648583932E-4,8.25695648583924E-4,0.0068532738832466356,1,7,4.5216717266326466E-4,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-9683769"
R-HSA-975577,"N-Glycan antennae elongation",1,15,0.0012385434728758979,0.001238543472875886,0.0068532738832466356,1,6,3.8757186228279824E-4,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-975902"
R-HSA-977068,"Termination of O-glycan biosynthesis",1,26,0.0021468086863182232,0.0021468086863182245,0.0068532738832466356,1,4,2.583812415218655E-4,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-977071"
R-HSA-975576,"N-glycan antennae elongation in the medial/trans-Golgi",1,26,0.0021468086863182232,0.0021468086863182245,0.0068532738832466356,1,14,9.043343453265293E-4,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-975902"
R-HSA-4085001,"Sialic acid metabolism",1,33,0.0027247956403269754,0.0027247956403270157,0.0068532738832466356,1,16,0.001033524966087462,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-4085033"
R-HSA-9683701,"Translation of Structural Proteins",1,34,0.0028073652051853687,0.0028073652051853193,0.0068532738832466356,1,37,0.002390026484077256,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-9683769"
R-HSA-9694548,"Maturation of spike protein",1,42,0.0034679217240525142,0.003467921724052525,0.0068532738832466356,1,12,7.751437245655965E-4,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-9697018"
R-HSA-913709,"O-linked glycosylation of mucins",1,65,0.005367021715795558,0.005367021715795506,0.0068532738832466356,1,16,0.001033524966087462,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-977071"
R-HSA-446219,"Synthesis of substrates in N-glycan biosythesis",1,65,0.005367021715795558,0.005367021715795506,0.0068532738832466356,1,44,0.0028421936567405207,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-4085033"
R-HSA-9694635,"Translation of Structural Proteins",1,66,0.005449591280653951,0.00544959128065392,0.0068532738832466356,2,46,0.0029713842775014533,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-9697018;R-HSA-9694718"
R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",1,80,0.006605565188671456,0.006605565188671503,0.0068532738832466356,1,58,0.00374652800206705,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-4085033"
R-HSA-9772573,"Late SARS-CoV-2 Infection Events",1,83,0.0068532738832466356,0.0068532738832466356,0.0068532738832466356,2,69,0.00445707641625218,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-9697018;R-HSA-9694718"
R-HSA-5173105,"O-linked glycosylation",1,127,0.010486334737015936,0.01048633473701599,0.01048633473701599,1,37,0.002390026484077256,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-977071"
R-HSA-9678108,"SARS-CoV-1 Infection",1,154,0.012715712988192553,0.012715712988192518,0.012715712988192518,1,156,0.010076868419352755,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-9683769"
R-HSA-948021,"Transport to the Golgi and subsequent modification",1,187,0.015440508628519528,0.015440508628519534,0.015440508628519534,1,59,0.0038111233124475162,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-975902"
R-HSA-446203,"Asparagine N-linked glycosylation",1,312,0.025761704235818677,0.025761704235818694,0.025761704235818694,2,136,0.008784962211743427,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-975902;R-HSA-4085033"
R-HSA-9694516,"SARS-CoV-2 Infection",1,320,0.026422260754685824,0.02642226075468579,0.02642226075468579,2,209,0.013500419869517473,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-9697018;R-HSA-9694718"
R-HSA-9679506,"SARS-CoV Infections",1,513,0.042358186772355706,0.0423581867723557,0.0423581867723557,3,397,0.025644338221045154,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-9697018;R-HSA-9683769;R-HSA-9694718"
R-HSA-9824446,"Viral Infection Pathways",1,1282,0.10585418214846008,0.1058541821484601,0.1058541821484601,3,887,0.05729604030747368,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-9697018;R-HSA-9683769;R-HSA-9694718"
R-HSA-597592,"Post-translational protein modification",1,1483,0.12245066468499712,0.1224506646849971,0.1224506646849971,3,594,0.03836961436599703,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-975902;R-HSA-977071;R-HSA-4085033"
R-HSA-5663205,"Infectious disease",1,1729,0.14276277764016185,0.14276277764016188,0.14276277764016188,3,1201,0.07757896776694012,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-9697018;R-HSA-9683769;R-HSA-9694718"
R-HSA-392499,"Metabolism of proteins",1,2113,0.1744694905457848,0.17446949054578487,0.17446949054578487,3,912,0.05891092306698534,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-975902;R-HSA-977071;R-HSA-4085033"
R-HSA-1643685,"Disease",1,2575,0.21261662951036248,0.21261662951036242,0.21261662951036242,3,2137,0.13804017828305665,9606,Homo sapiens,"ST6GAL1","P15907","R-HSA-9697018;R-HSA-9683769;R-HSA-9694718"
