2026-08-13 09:15:15 | OK | 32684 | 689043.pdbqt|rep1
2026-08-13 09:15:29 | OK | 3439 | 689043.pdbqt|rep2
2026-08-13 09:15:44 | OK | 15329 | 689043.pdbqt|rep3
2026-08-13 09:16:08 | OK | 10052 | 49831816.pdbqt|rep1
2026-08-13 09:16:35 | OK | 30077 | 49831816.pdbqt|rep2
2026-08-13 09:17:00 | OK | 21050 | 49831816.pdbqt|rep3
2026-08-13 09:17:12 | OK | 25545 | 107.pdbqt|rep1
2026-08-13 09:17:24 | OK | 26491 | 107.pdbqt|rep2
2026-08-13 09:17:35 | OK | 32134 | 107.pdbqt|rep3
2026-08-13 09:17:52 | OK | 4790 | 6262.pdbqt|rep1
2026-08-13 09:18:10 | OK | 31225 | 6262.pdbqt|rep2
2026-08-13 09:18:28 | OK | 14789 | 6262.pdbqt|rep3
2026-08-13 09:18:45 | OK | 7082 | 10176710.pdbqt|rep1
2026-08-13 09:19:03 | OK | 18446 | 10176710.pdbqt|rep2
2026-08-13 09:19:20 | OK | 29821 | 10176710.pdbqt|rep3
2026-08-13 09:20:01 | OK | 2916 | m5.pdbqt|rep1
2026-08-13 09:20:41 | OK | 28728 | m5.pdbqt|rep2
2026-08-13 09:21:22 | OK | 6017 | m5.pdbqt|rep3
2026-08-13 09:21:39 | OK | 2062 | 348154.pdbqt|rep1
2026-08-13 09:21:55 | OK | 10514 | 348154.pdbqt|rep2
2026-08-13 09:22:11 | OK | 23373 | 348154.pdbqt|rep3
2026-08-13 09:22:25 | OK | 27291 | 10394.pdbqt|rep1
2026-08-13 09:22:39 | OK | 28537 | 10394.pdbqt|rep2
2026-08-13 09:22:53 | OK | 9752 | 10394.pdbqt|rep3
2026-08-13 09:23:23 | OK | 19831 | m1.pdbqt|rep1
2026-08-13 09:23:56 | OK | 28767 | m1.pdbqt|rep2
2026-08-13 09:24:25 | OK | 16826 | m1.pdbqt|rep3
2026-08-13 09:24:49 | OK | 21903 | m3.pdbqt|rep1
2026-08-13 09:25:12 | OK | 4760 | m3.pdbqt|rep2
2026-08-13 09:25:37 | OK | 2915 | m3.pdbqt|rep3
2026-08-13 09:25:58 | OK | 18649 | rolR.pdbqt|rep1
2026-08-13 09:26:20 | OK | 4180 | rolR.pdbqt|rep2
2026-08-13 09:26:42 | OK | 25177 | rolR.pdbqt|rep3
2026-08-13 09:27:27 | OK | 8484 | rf.pdbqt|rep1
2026-08-13 09:28:10 | OK | 16224 | rf.pdbqt|rep2
2026-08-13 09:28:53 | OK | 4055 | rf.pdbqt|rep3
2026-08-13 09:29:00 | OK | 22694 | 104775.pdbqt|rep1
2026-08-13 09:29:07 | OK | 31238 | 104775.pdbqt|rep2
2026-08-13 09:29:14 | OK | 116 | 104775.pdbqt|rep3
2026-08-13 09:29:38 | OK | 8990 | m2.pdbqt|rep1
2026-08-13 09:30:03 | OK | 20616 | m2.pdbqt|rep2
2026-08-13 09:30:28 | OK | 26083 | m2.pdbqt|rep3
2026-08-13 09:30:49 | OK | 19903 | rolS.pdbqt|rep1
2026-08-13 09:31:11 | OK | 27589 | rolS.pdbqt|rep2
2026-08-13 09:31:33 | OK | 14349 | rolS.pdbqt|rep3
2026-08-13 09:31:54 | OK | 22270 | 10559720.pdbqt|rep1
2026-08-13 09:32:16 | OK | 7485 | 10559720.pdbqt|rep2
2026-08-13 09:32:39 | OK | 25522 | 10559720.pdbqt|rep3
2026-08-13 09:32:44 | OK | 32620 | 175.pdbqt|rep1
2026-08-13 09:32:49 | OK | 21924 | 175.pdbqt|rep2
2026-08-13 09:32:53 | OK | 6760 | 175.pdbqt|rep3
2026-08-13 09:33:15 | OK | 32703 | 439435.pdbqt|rep1
2026-08-13 09:33:37 | OK | 606 | 439435.pdbqt|rep2
2026-08-13 09:33:58 | OK | 5694 | 439435.pdbqt|rep3
2026-08-13 09:34:42 | OK | 16290 | m4.pdbqt|rep1
2026-08-13 09:35:26 | OK | 13882 | m4.pdbqt|rep2
2026-08-13 09:36:10 | OK | 26062 | m4.pdbqt|rep3
2026-08-13 09:36:29 | OK | 5122 | 9877619.pdbqt|rep1
2026-08-13 09:36:48 | OK | 8792 | 9877619.pdbqt|rep2
2026-08-13 09:37:09 | OK | 11974 | 9877619.pdbqt|rep3
