nohup: ignoring input
Analyzing PDE4B_catalytic_rf.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_6262.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_6262.pdb, chain B, intra-chain interactions...
Analyzing PDE4B_monomer_689043.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_catalytic_175.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_catalytic_rf.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_6262.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_6262.pdb, chain B, intra-chain interactions...
Analyzing PDE4D_monomer_104775.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_catalytic_104775.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_439435.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_439435.pdb, chain B, intra-chain interactions...
Analyzing PDE4B_dimer_rolS.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_rolS.pdb, chain B, intra-chain interactions...
Analyzing PDE4D_dimer_9877619.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_9877619.pdb, chain B, intra-chain interactions...
Analyzing PDE4D_monomer_689043.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_catalytic_689043.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_49831816.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_49831816.pdb, chain B, intra-chain interactions...
Analyzing PDE4B_monomer_10394.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_monomer_rf.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_689043.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_689043.pdb, chain B, intra-chain interactions...
Analyzing PDE4D_monomer_175.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_catalytic_10394.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_9877619.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_9877619.pdb, chain B, intra-chain interactions...
Analyzing PDE4B_monomer_104775.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_catalytic_104775.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_10176710.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_10176710.pdb, chain B, intra-chain interactions...
Analyzing PDE4D_dimer_m1.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_m1.pdb, chain B, intra-chain interactions...
Analyzing PDE4B_dimer_348154.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_348154.pdb, chain B, intra-chain interactions...
Analyzing PDE4B_dimer_rf.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_rf.pdb, chain B, intra-chain interactions...
Analyzing PDE4D_dimer_10559720.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_10559720.pdb, chain B, intra-chain interactions...
Analyzing PDE4D_dimer_m4.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_m4.pdb, chain B, intra-chain interactions...
Analyzing PDE4B_dimer_175.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_175.pdb, chain B, intra-chain interactions...
Analyzing PDE4B_dimer_m1.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_m1.pdb, chain B, intra-chain interactions...
Analyzing PDE4D_dimer_10394.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_10394.pdb, chain B, intra-chain interactions...
Analyzing PDE4D_dimer_m2.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_m2.pdb, chain B, intra-chain interactions...
Analyzing PDE4B_dimer_10394.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_10394.pdb, chain B, intra-chain interactions...
Analyzing PDE4B_dimer_m3.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_m3.pdb, chain B, intra-chain interactions...
Analyzing PDE4D_dimer_104775.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_104775.pdb, chain B, intra-chain interactions...
Analyzing PDE4D_dimer_m3.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_m3.pdb, chain B, intra-chain interactions...
Analyzing PDE4B_dimer_10559720.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_10559720.pdb, chain B, intra-chain interactions...
Analyzing PDE4B_dimer_m2.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_m2.pdb, chain B, intra-chain interactions...
Analyzing PDE4D_dimer_175.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_175.pdb, chain B, intra-chain interactions...
Analyzing PDE4D_dimer_rf.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_rf.pdb, chain B, intra-chain interactions...
Analyzing PDE4B_dimer_107.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_107.pdb, chain B, intra-chain interactions...
Analyzing PDE4B_dimer_m5.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_m5.pdb, chain B, intra-chain interactions...
Analyzing PDE4D_dimer_107.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_107.pdb, chain B, intra-chain interactions...
Analyzing PDE4D_dimer_m5.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_m5.pdb, chain B, intra-chain interactions...
Analyzing PDE4B_dimer_104775.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_104775.pdb, chain B, intra-chain interactions...
Analyzing PDE4B_dimer_rolR.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_rolR.pdb, chain B, intra-chain interactions...
Analyzing PDE4D_dimer_348154.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_348154.pdb, chain B, intra-chain interactions...
Analyzing PDE4D_dimer_rolS.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_rolS.pdb, chain B, intra-chain interactions...
Analyzing PDE4B_dimer_10176710.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_10176710.pdb, chain B, intra-chain interactions...
Analyzing PDE4B_dimer_m4.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_m4.pdb, chain B, intra-chain interactions...
Analyzing PDE4D_dimer_439435.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_439435.pdb, chain B, intra-chain interactions...
Analyzing PDE4D_dimer_rolR.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_rolR.pdb, chain B, intra-chain interactions...
Analyzing PDE4B_catalytic_175.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_689043.pdb, chain A, intra-chain interactions...
Analyzing PDE4B_dimer_689043.pdb, chain B, intra-chain interactions...
Analyzing PDE4B_monomer_175.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_catalytic_10394.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_catalytic_689043.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_49831816.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_dimer_49831816.pdb, chain B, intra-chain interactions...
Analyzing PDE4D_monomer_10394.pdb, chain A, intra-chain interactions...
Analyzing PDE4D_monomer_rf.pdb, chain A, intra-chain interactions...
Done. 484 Q615 intra-chain interactions written to Q615_intra_interactions.csv
