2026-06-24 17:04:23 | OK | 23774 | 49831816.pdbqt|rep1
2026-06-24 17:08:20 | OK | 17074 | 49831816.pdbqt|rep2
2026-06-24 17:12:17 | OK | 19538 | 49831816.pdbqt|rep3
2026-06-24 17:20:00 | OK | 23337 | no7.pdbqt|rep1
2026-06-24 17:27:46 | OK | 8770 | no7.pdbqt|rep2
2026-06-24 17:35:23 | OK | 30957 | no7.pdbqt|rep3
2026-06-24 17:36:57 | OK | 32276 | 107.pdbqt|rep1
2026-06-24 17:38:31 | OK | 25561 | 107.pdbqt|rep2
2026-06-24 17:40:05 | OK | 23288 | 107.pdbqt|rep3
2026-06-24 17:42:35 | OK | 3666 | 348154.pdbqt|rep1
2026-06-24 17:45:08 | OK | 14458 | 348154.pdbqt|rep2
2026-06-24 17:47:40 | OK | 19612 | 348154.pdbqt|rep3
2026-06-24 17:54:46 | OK | 2762 | roflumilast.pdbqt|rep1
2026-06-24 18:01:11 | OK | 29926 | roflumilast.pdbqt|rep2
2026-06-24 18:07:55 | OK | 12897 | roflumilast.pdbqt|rep3
2026-06-24 18:08:41 | OK | 14130 | 104775.pdbqt|rep1
2026-06-24 18:09:26 | OK | 31250 | 104775.pdbqt|rep2
2026-06-24 18:10:10 | OK | 29940 | 104775.pdbqt|rep3
2026-06-24 18:13:07 | OK | 3593 | 10559720.pdbqt|rep1
2026-06-24 18:16:10 | OK | 1680 | 10559720.pdbqt|rep2
2026-06-24 18:19:16 | OK | 13711 | 10559720.pdbqt|rep3
2026-06-24 18:23:49 | OK | 16607 | no12.pdbqt|rep1
2026-06-24 18:28:15 | OK | 5893 | no12.pdbqt|rep2
2026-06-24 18:32:54 | OK | 18614 | no12.pdbqt|rep3
2026-06-24 18:36:06 | OK | 21110 | rolipram.pdbqt|rep1
2026-06-24 18:39:25 | OK | 6850 | rolipram.pdbqt|rep2
2026-06-24 18:42:53 | OK | 280 | rolipram.pdbqt|rep3
2026-06-24 18:46:41 | OK | 10594 | no17.pdbqt|rep1
2026-06-24 18:50:37 | OK | 17559 | no17.pdbqt|rep2
2026-06-24 18:54:22 | OK | 24398 | no17.pdbqt|rep3
2026-06-24 18:57:40 | OK | 18554 | 6047.pdbqt|rep1
2026-06-24 19:01:02 | OK | 13278 | 6047.pdbqt|rep2
2026-06-24 19:04:26 | OK | 27495 | 6047.pdbqt|rep3
2026-06-24 19:08:26 | OK | 13926 | no13.pdbqt|rep1
2026-06-24 19:12:26 | OK | 5801 | no13.pdbqt|rep2
2026-06-24 19:16:26 | OK | 6711 | no13.pdbqt|rep3
2026-06-30 15:54:07 | OK | 21559 | Srolipram_ph.pdbqt|rep1
2026-06-30 15:54:27 | OK | 21450 | Srolipram_ph.pdbqt|rep2
2026-06-30 15:54:47 | OK | 21047 | Srolipram_ph.pdbqt|rep3
2026-06-30 15:55:07 | OK | 13600 | Rrolipram_ph.pdbqt|rep1
2026-06-30 15:55:28 | OK | 12007 | Rrolipram_ph.pdbqt|rep2
2026-06-30 15:55:49 | OK | 19060 | Rrolipram_ph.pdbqt|rep3
