2026-06-26 15:02:36 | OK | 17557 | 49831816.pdbqt|rep1
2026-06-26 15:03:03 | OK | 22805 | 49831816.pdbqt|rep2
2026-06-26 15:03:32 | OK | 26930 | 49831816.pdbqt|rep3
2026-06-26 15:04:19 | OK | 13104 | no7.pdbqt|rep1
2026-06-26 15:05:10 | OK | 27502 | no7.pdbqt|rep2
2026-06-26 15:05:58 | OK | 30850 | no7.pdbqt|rep3
2026-06-26 15:06:10 | OK | 21378 | 107.pdbqt|rep1
2026-06-26 15:06:23 | OK | 15577 | 107.pdbqt|rep2
2026-06-26 15:06:35 | OK | 20467 | 107.pdbqt|rep3
2026-06-26 15:06:53 | OK | 24687 | 348154.pdbqt|rep1
2026-06-26 15:07:12 | OK | 25167 | 348154.pdbqt|rep2
2026-06-26 15:07:30 | OK | 14060 | 348154.pdbqt|rep3
2026-06-26 15:08:23 | OK | 4815 | roflumilast.pdbqt|rep1
2026-06-26 15:09:13 | OK | 3884 | roflumilast.pdbqt|rep2
2026-06-26 15:10:11 | OK | 14978 | roflumilast.pdbqt|rep3
2026-06-26 15:10:17 | OK | 556 | 104775.pdbqt|rep1
2026-06-26 15:10:25 | OK | 28814 | 104775.pdbqt|rep2
2026-06-26 15:10:32 | OK | 19692 | 104775.pdbqt|rep3
2026-06-26 15:10:53 | OK | 14402 | 10559720.pdbqt|rep1
2026-06-26 15:11:16 | OK | 4027 | 10559720.pdbqt|rep2
2026-06-26 15:11:39 | OK | 8769 | 10559720.pdbqt|rep3
2026-06-26 15:12:08 | OK | 28904 | no12.pdbqt|rep1
2026-06-26 15:12:39 | OK | 12982 | no12.pdbqt|rep2
2026-06-26 15:13:10 | OK | 28399 | no12.pdbqt|rep3
2026-06-26 15:13:35 | OK | 6212 | rolipram.pdbqt|rep1
2026-06-26 15:14:01 | OK | 18533 | rolipram.pdbqt|rep2
2026-06-26 15:14:28 | OK | 18687 | rolipram.pdbqt|rep3
2026-06-26 15:14:56 | OK | 657 | no17.pdbqt|rep1
2026-06-26 15:15:25 | OK | 10218 | no17.pdbqt|rep2
2026-06-26 15:15:52 | OK | 28012 | no17.pdbqt|rep3
2026-06-26 15:16:20 | OK | 21813 | 6047.pdbqt|rep1
2026-06-26 15:16:46 | OK | 2616 | 6047.pdbqt|rep2
2026-06-26 15:17:11 | OK | 25431 | 6047.pdbqt|rep3
2026-06-26 15:17:41 | OK | 12843 | no13.pdbqt|rep1
2026-06-26 15:18:09 | OK | 30657 | no13.pdbqt|rep2
2026-06-26 15:18:36 | OK | 629 | no13.pdbqt|rep3
