2026-06-22 08:44:29 | OK | 28425 | 49831816.pdbqt|rep1
2026-06-22 08:44:56 | OK | 29922 | 49831816.pdbqt|rep2
2026-06-22 08:45:22 | OK | 30457 | 49831816.pdbqt|rep3
2026-06-22 08:46:10 | OK | 19525 | no7.pdbqt|rep1
2026-06-22 08:46:56 | OK | 12408 | no7.pdbqt|rep2
2026-06-22 08:47:45 | OK | 15853 | no7.pdbqt|rep3
2026-06-22 08:47:58 | OK | 17434 | 107.pdbqt|rep1
2026-06-22 08:48:11 | OK | 30155 | 107.pdbqt|rep2
2026-06-22 08:48:24 | OK | 12229 | 107.pdbqt|rep3
2026-06-22 08:48:42 | OK | 26871 | 348154.pdbqt|rep1
2026-06-22 08:49:00 | OK | 9191 | 348154.pdbqt|rep2
2026-06-22 08:49:20 | OK | 1286 | 348154.pdbqt|rep3
2026-06-22 08:50:08 | OK | 11324 | roflumilast.pdbqt|rep1
2026-06-22 08:50:54 | OK | 12563 | roflumilast.pdbqt|rep2
2026-06-22 08:51:40 | OK | 18217 | roflumilast.pdbqt|rep3
2026-06-22 08:51:47 | OK | 32470 | 104775.pdbqt|rep1
2026-06-22 08:51:53 | OK | 6728 | 104775.pdbqt|rep2
2026-06-22 08:52:00 | OK | 17950 | 104775.pdbqt|rep3
2026-06-22 08:52:20 | OK | 11223 | 10559720.pdbqt|rep1
2026-06-22 08:52:41 | OK | 6135 | 10559720.pdbqt|rep2
2026-06-22 08:53:02 | OK | 21955 | 10559720.pdbqt|rep3
2026-06-22 08:53:31 | OK | 21762 | no12.pdbqt|rep1
2026-06-22 08:54:01 | OK | 19558 | no12.pdbqt|rep2
2026-06-22 08:54:31 | OK | 22350 | no12.pdbqt|rep3
2026-06-22 08:54:55 | OK | 28140 | rolipram.pdbqt|rep1
2026-06-22 08:55:18 | OK | 32229 | rolipram.pdbqt|rep2
2026-06-22 08:55:42 | OK | 21763 | rolipram.pdbqt|rep3
2026-06-22 08:56:08 | OK | 2170 | no17.pdbqt|rep1
2026-06-22 08:56:34 | OK | 3176 | no17.pdbqt|rep2
2026-06-22 08:56:59 | OK | 27054 | no17.pdbqt|rep3
2026-06-22 08:57:21 | OK | 47 | 6047.pdbqt|rep1
2026-06-22 08:57:44 | OK | 32191 | 6047.pdbqt|rep2
2026-06-22 08:58:06 | OK | 11769 | 6047.pdbqt|rep3
2026-06-22 08:58:31 | OK | 3401 | no13.pdbqt|rep1
2026-06-22 08:58:58 | OK | 979 | no13.pdbqt|rep2
2026-06-22 08:59:25 | OK | 166 | no13.pdbqt|rep3
