2026-06-22 10:31:00 | OK | 11728 | 49831816.pdbqt|rep1
2026-06-22 10:34:51 | OK | 4253 | 49831816.pdbqt|rep2
2026-06-22 10:38:41 | OK | 26132 | 49831816.pdbqt|rep3
2026-06-22 10:46:10 | OK | 6992 | no7.pdbqt|rep1
2026-06-22 10:53:18 | OK | 23514 | no7.pdbqt|rep2
2026-06-22 11:00:56 | OK | 30454 | no7.pdbqt|rep3
2026-06-22 11:02:28 | OK | 3346 | 107.pdbqt|rep1
2026-06-22 11:04:03 | OK | 2651 | 107.pdbqt|rep2
2026-06-22 11:05:39 | OK | 967 | 107.pdbqt|rep3
2026-06-22 11:08:11 | OK | 23032 | 348154.pdbqt|rep1
2026-06-22 11:10:44 | OK | 2094 | 348154.pdbqt|rep2
2026-06-22 11:13:16 | OK | 12984 | 348154.pdbqt|rep3
2026-06-22 11:20:17 | OK | 29170 | roflumilast.pdbqt|rep1
2026-06-22 11:27:05 | OK | 20312 | roflumilast.pdbqt|rep2
2026-06-22 11:34:12 | OK | 117 | roflumilast.pdbqt|rep3
2026-06-22 11:34:58 | OK | 2765 | 104775.pdbqt|rep1
2026-06-22 11:35:46 | OK | 16807 | 104775.pdbqt|rep2
2026-06-22 11:36:33 | OK | 1243 | 104775.pdbqt|rep3
2026-06-22 11:39:46 | OK | 13122 | 10559720.pdbqt|rep1
2026-06-22 11:42:53 | OK | 10760 | 10559720.pdbqt|rep2
2026-06-22 11:46:06 | OK | 17898 | 10559720.pdbqt|rep3
2026-06-22 11:50:42 | OK | 19862 | no12.pdbqt|rep1
2026-06-22 11:55:28 | OK | 22668 | no12.pdbqt|rep2
2026-06-22 12:00:03 | OK | 25847 | no12.pdbqt|rep3
2026-06-22 12:03:17 | OK | 10804 | rolipram.pdbqt|rep1
2026-06-22 12:06:36 | OK | 2542 | rolipram.pdbqt|rep2
2026-06-22 12:09:58 | OK | 21803 | rolipram.pdbqt|rep3
2026-06-22 12:13:44 | OK | 17475 | no17.pdbqt|rep1
2026-06-22 12:17:31 | OK | 31916 | no17.pdbqt|rep2
2026-06-22 12:21:26 | OK | 9137 | no17.pdbqt|rep3
2026-06-22 12:24:44 | OK | 14988 | 6047.pdbqt|rep1
2026-06-22 12:28:02 | OK | 13937 | 6047.pdbqt|rep2
2026-06-22 12:31:14 | OK | 11182 | 6047.pdbqt|rep3
2026-06-22 12:35:05 | OK | 1106 | no13.pdbqt|rep1
2026-06-22 12:39:02 | OK | 27772 | no13.pdbqt|rep2
2026-06-22 12:42:53 | OK | 1515 | no13.pdbqt|rep3
