protein,ligand,mean_affinity,std_affinity,n
PDE4B_catalytic,104775,-3.7000000000000006,0.0,3
PDE4B_catalytic,10559720,-6.599999999999999,0.0,3
PDE4B_catalytic,107,-6.2,0.0,3
PDE4B_catalytic,348154,-6.133333333333333,0.05773502691896327,3
PDE4B_catalytic,49831816,-6.666666666666667,0.05773502691896295,3
PDE4B_catalytic,6047,-6.2,0.0,3
PDE4B_catalytic,no12,-6.666666666666667,0.05773502691896295,3
PDE4B_catalytic,no13,-6.400000000000001,0.0,3
PDE4B_catalytic,no17,-6.366666666666667,0.05773502691896288,3
PDE4B_catalytic,no7,-6.966666666666666,0.15275252316519444,3
PDE4B_catalytic,roflumilast,-8.033333333333333,0.05773502691896288,3
PDE4B_catalytic,rolipram,-7.599999999999999,0.0,3
PDE4B_catalytic2,104775,-3.7000000000000006,0.0,3
PDE4B_catalytic2,10559720,-6.599999999999999,0.0,3
PDE4B_catalytic2,107,-6.166666666666667,0.05773502691896256,3
PDE4B_catalytic2,348154,-6.133333333333333,0.05773502691896301,3
PDE4B_catalytic2,49831816,-6.7,0.0,3
PDE4B_catalytic2,6047,-6.2,0.0,3
PDE4B_catalytic2,no12,-6.7,0.0,3
PDE4B_catalytic2,no13,-6.400000000000001,0.0,3
PDE4B_catalytic2,no17,-6.366666666666667,0.05773502691896288,3
PDE4B_catalytic2,no7,-7.066666666666666,0.05773502691896237,3
PDE4B_catalytic2,roflumilast,-8.1,0.0,3
PDE4B_catalytic2,rolipram,-7.466666666666666,0.11547005383792475,3
PDE4B_monomer,104775,-4.0,0.0,3
PDE4B_monomer,10559720,-6.366666666666667,0.11547005383792538,3
PDE4B_monomer,107,-6.400000000000001,0.0,3
PDE4B_monomer,348154,-6.666666666666667,0.05773502691896256,3
PDE4B_monomer,49831816,-6.633333333333333,0.05773502691896327,3
PDE4B_monomer,6047,-6.8,0.0,3
PDE4B_monomer,no12,-6.900000000000001,0.0,3
PDE4B_monomer,no13,-6.900000000000001,0.0,3
PDE4B_monomer,no17,-6.733333333333333,0.05773502691896237,3
PDE4B_monomer,no7,-6.599999999999999,0.0,3
PDE4B_monomer,roflumilast,-8.033333333333333,0.05773502691896237,3
PDE4B_monomer,rolipram,-7.433333333333334,0.05773502691896237,3
PDE4D_catalytic,104775,-4.2,0.0,3
PDE4D_catalytic,10559720,-6.966666666666666,0.15275252316519472,3
PDE4D_catalytic,107,-6.599999999999999,0.0,3
PDE4D_catalytic,348154,-6.766666666666667,0.05773502691896237,3
PDE4D_catalytic,49831816,-7.166666666666667,0.05773502691896301,3
PDE4D_catalytic,6047,-6.7,0.0,3
PDE4D_catalytic,no12,-7.3,0.1732050807568882,3
PDE4D_catalytic,no13,-7.033333333333334,0.11547005383792475,3
PDE4D_catalytic,no17,-7.099999999999999,0.0,3
PDE4D_catalytic,no7,-7.5,0.09999999999999964,3
PDE4D_catalytic,roflumilast,-9.166666666666666,0.05773502691896237,3
PDE4D_catalytic,rolipram,-9.0,0.0,3
