2026-08-03 16:42:34 | OK | 5904 | 49831816.pdbqt|rep1
2026-08-03 16:43:02 | OK | 7505 | 49831816.pdbqt|rep2
2026-08-03 16:43:30 | OK | 3871 | 49831816.pdbqt|rep3
2026-08-03 16:44:18 | OK | 3898 | no7.pdbqt|rep1
2026-08-03 16:45:09 | OK | 2450 | no7.pdbqt|rep2
2026-08-03 16:46:00 | OK | 5193 | no7.pdbqt|rep3
2026-08-03 16:46:15 | OK | 17255 | 107.pdbqt|rep1
2026-08-03 16:46:31 | OK | 18535 | 107.pdbqt|rep2
2026-08-03 16:46:47 | OK | 15872 | 107.pdbqt|rep3
2026-08-03 16:47:07 | OK | 28543 | 348154.pdbqt|rep1
2026-08-03 16:47:27 | OK | 15469 | 348154.pdbqt|rep2
2026-08-03 16:47:48 | OK | 25822 | 348154.pdbqt|rep3
2026-08-03 16:48:34 | OK | 30114 | roflumilast.pdbqt|rep1
2026-08-03 16:49:21 | OK | 31114 | roflumilast.pdbqt|rep2
2026-08-03 16:50:07 | OK | 8886 | roflumilast.pdbqt|rep3
2026-08-03 16:50:18 | OK | 30808 | 104775.pdbqt|rep1
2026-08-03 16:50:29 | OK | 1377 | 104775.pdbqt|rep2
2026-08-03 16:50:40 | OK | 3674 | 104775.pdbqt|rep3
2026-08-03 16:51:05 | OK | 12711 | Srolipram_ph.pdbqt|rep1
2026-08-03 16:51:30 | OK | 10559 | Srolipram_ph.pdbqt|rep2
2026-08-03 16:51:55 | OK | 3555 | Srolipram_ph.pdbqt|rep3
2026-08-03 16:52:21 | OK | 3813 | Rrolipram_ph.pdbqt|rep1
2026-08-03 16:52:46 | OK | 13671 | Rrolipram_ph.pdbqt|rep2
2026-08-03 16:53:11 | OK | 7621 | Rrolipram_ph.pdbqt|rep3
2026-08-03 16:53:36 | OK | 9451 | 10559720.pdbqt|rep1
2026-08-03 16:53:59 | OK | 22128 | 10559720.pdbqt|rep2
2026-08-03 16:54:22 | OK | 26453 | 10559720.pdbqt|rep3
2026-08-03 16:54:52 | OK | 22850 | no12.pdbqt|rep1
2026-08-03 16:55:23 | OK | 14896 | no12.pdbqt|rep2
2026-08-03 16:55:54 | OK | 27497 | no12.pdbqt|rep3
2026-08-03 16:56:21 | OK | 12187 | no17.pdbqt|rep1
2026-08-03 16:56:48 | OK | 24102 | no17.pdbqt|rep2
2026-08-03 16:57:15 | OK | 32389 | no17.pdbqt|rep3
2026-08-03 16:57:40 | OK | 27387 | 6047.pdbqt|rep1
2026-08-03 16:58:04 | OK | 28259 | 6047.pdbqt|rep2
2026-08-03 16:58:30 | OK | 6282 | 6047.pdbqt|rep3
2026-08-03 16:58:56 | OK | 914 | no13.pdbqt|rep1
2026-08-03 16:59:24 | OK | 14935 | no13.pdbqt|rep2
2026-08-03 16:59:51 | OK | 2051 | no13.pdbqt|rep3
2026-08-07 16:45:12 | OK | 863 | 689043.pdbqt|rep1
2026-08-07 16:45:55 | OK | 4935 | 689043.pdbqt|rep2
2026-08-07 16:46:41 | OK | 25444 | 689043.pdbqt|rep3
2026-08-07 16:47:33 | OK | 6563 | 6262.pdbqt|rep1
2026-08-07 16:48:28 | OK | 23313 | 6262.pdbqt|rep2
2026-08-07 16:49:18 | OK | 13141 | 6262.pdbqt|rep3
2026-08-07 16:50:07 | OK | 24052 | 10176710.pdbqt|rep1
2026-08-07 16:50:49 | OK | 4863 | 10176710.pdbqt|rep2
2026-08-07 16:51:24 | OK | 6295 | 10176710.pdbqt|rep3
2026-08-07 16:51:51 | OK | 9266 | 10394.pdbqt|rep1
2026-08-07 16:52:39 | OK | 13612 | 10394.pdbqt|rep2
2026-08-07 16:53:36 | OK | 8832 | 10394.pdbqt|rep3
2026-08-07 16:54:04 | OK | 27590 | 175.pdbqt|rep1
2026-08-07 16:54:33 | OK | 18845 | 175.pdbqt|rep2
2026-08-07 16:55:01 | OK | 10294 | 175.pdbqt|rep3
2026-08-07 16:55:48 | OK | 10925 | 439435.pdbqt|rep1
2026-08-07 16:56:23 | OK | 4287 | 439435.pdbqt|rep2
2026-08-07 16:56:51 | OK | 6007 | 439435.pdbqt|rep3
2026-08-07 16:57:13 | OK | 741 | 9877619.pdbqt|rep1
2026-08-07 16:57:36 | OK | 3103 | 9877619.pdbqt|rep2
2026-08-07 16:57:58 | OK | 31104 | 9877619.pdbqt|rep3
