2026-08-05 13:19:43 | OK | 617 | 49831816.pdbqt|rep1
2026-08-05 13:20:06 | OK | 22402 | 49831816.pdbqt|rep2
2026-08-05 13:20:29 | OK | 21183 | 49831816.pdbqt|rep3
2026-08-05 13:21:13 | OK | 8510 | no7.pdbqt|rep1
2026-08-05 13:21:57 | OK | 6752 | no7.pdbqt|rep2
2026-08-05 13:22:41 | OK | 441 | no7.pdbqt|rep3
2026-08-05 13:22:51 | OK | 29704 | 107.pdbqt|rep1
2026-08-05 13:23:02 | OK | 3021 | 107.pdbqt|rep2
2026-08-05 13:23:14 | OK | 417 | 107.pdbqt|rep3
2026-08-05 13:23:31 | OK | 4909 | 348154.pdbqt|rep1
2026-08-05 13:23:47 | OK | 11849 | 348154.pdbqt|rep2
2026-08-05 13:24:04 | OK | 32303 | 348154.pdbqt|rep3
2026-08-05 13:24:45 | OK | 27792 | roflumilast.pdbqt|rep1
2026-08-05 13:25:24 | OK | 2424 | roflumilast.pdbqt|rep2
2026-08-05 13:26:03 | OK | 27429 | roflumilast.pdbqt|rep3
2026-08-05 13:26:10 | OK | 8793 | 104775.pdbqt|rep1
2026-08-05 13:26:16 | OK | 15303 | 104775.pdbqt|rep2
2026-08-05 13:26:23 | OK | 17203 | 104775.pdbqt|rep3
2026-08-05 13:26:44 | OK | 23263 | Srolipram_ph.pdbqt|rep1
2026-08-05 13:27:04 | OK | 26678 | Srolipram_ph.pdbqt|rep2
2026-08-05 13:27:23 | OK | 17245 | Srolipram_ph.pdbqt|rep3
2026-08-05 13:27:43 | OK | 9224 | Rrolipram_ph.pdbqt|rep1
2026-08-05 13:28:03 | OK | 22944 | Rrolipram_ph.pdbqt|rep2
2026-08-05 13:28:23 | OK | 26557 | Rrolipram_ph.pdbqt|rep3
2026-08-05 13:28:41 | OK | 14264 | 10559720.pdbqt|rep1
2026-08-05 13:29:00 | OK | 4554 | 10559720.pdbqt|rep2
2026-08-05 13:29:19 | OK | 7523 | 10559720.pdbqt|rep3
2026-08-05 13:29:46 | OK | 7411 | no12.pdbqt|rep1
2026-08-05 13:30:12 | OK | 21136 | no12.pdbqt|rep2
2026-08-05 13:30:38 | OK | 8068 | no12.pdbqt|rep3
2026-08-05 13:31:01 | OK | 5339 | no17.pdbqt|rep1
2026-08-05 13:31:24 | OK | 723 | no17.pdbqt|rep2
2026-08-05 13:31:47 | OK | 30854 | no17.pdbqt|rep3
2026-08-05 13:32:08 | OK | 22658 | 6047.pdbqt|rep1
2026-08-05 13:32:28 | OK | 15838 | 6047.pdbqt|rep2
2026-08-05 13:32:48 | OK | 13400 | 6047.pdbqt|rep3
2026-08-05 13:33:11 | OK | 9966 | no13.pdbqt|rep1
2026-08-05 13:33:34 | OK | 25652 | no13.pdbqt|rep2
2026-08-05 13:33:57 | OK | 7723 | no13.pdbqt|rep3
2026-08-07 16:45:15 | OK | 18082 | 689043.pdbqt|rep1
2026-08-07 16:45:54 | OK | 32572 | 689043.pdbqt|rep2
2026-08-07 16:46:26 | OK | 7605 | 689043.pdbqt|rep3
2026-08-07 16:47:15 | OK | 3596 | 6262.pdbqt|rep1
2026-08-07 16:48:06 | OK | 5180 | 6262.pdbqt|rep2
2026-08-07 16:48:51 | OK | 4588 | 6262.pdbqt|rep3
2026-08-07 16:49:29 | OK | 12177 | 10176710.pdbqt|rep1
2026-08-07 16:50:00 | OK | 1136 | 10176710.pdbqt|rep2
2026-08-07 16:50:28 | OK | 11346 | 10176710.pdbqt|rep3
2026-08-07 16:51:00 | OK | 26315 | 10394.pdbqt|rep1
2026-08-07 16:51:30 | OK | 24341 | 10394.pdbqt|rep2
2026-08-07 16:51:54 | OK | 26324 | 10394.pdbqt|rep3
2026-08-07 16:52:06 | OK | 14242 | 175.pdbqt|rep1
2026-08-07 16:52:27 | OK | 8120 | 175.pdbqt|rep2
2026-08-07 16:52:48 | OK | 8629 | 175.pdbqt|rep3
2026-08-07 16:53:23 | OK | 209 | 439435.pdbqt|rep1
2026-08-07 16:54:00 | OK | 30999 | 439435.pdbqt|rep2
2026-08-07 16:54:39 | OK | 9333 | 439435.pdbqt|rep3
2026-08-07 16:55:21 | OK | 16188 | 9877619.pdbqt|rep1
2026-08-07 16:55:59 | OK | 28598 | 9877619.pdbqt|rep2
2026-08-07 16:56:34 | OK | 7260 | 9877619.pdbqt|rep3
