2026-07-02 13:39:32 | OK | 20653 | 49831816.pdbqt|rep1
2026-07-02 13:39:55 | OK | 22188 | 49831816.pdbqt|rep2
2026-07-02 13:40:19 | OK | 10811 | 49831816.pdbqt|rep3
2026-07-02 13:41:05 | OK | 3090 | no7.pdbqt|rep1
2026-07-02 13:41:54 | OK | 18494 | no7.pdbqt|rep2
2026-07-02 13:42:38 | OK | 2777 | no7.pdbqt|rep3
2026-07-02 13:42:49 | OK | 13735 | 107.pdbqt|rep1
2026-07-02 13:43:00 | OK | 10550 | 107.pdbqt|rep2
2026-07-02 13:43:10 | OK | 19664 | 107.pdbqt|rep3
2026-07-02 13:43:27 | OK | 23500 | 348154.pdbqt|rep1
2026-07-02 13:43:43 | OK | 25476 | 348154.pdbqt|rep2
2026-07-02 13:43:59 | OK | 22008 | 348154.pdbqt|rep3
2026-07-02 13:44:40 | OK | 25662 | roflumilast.pdbqt|rep1
2026-07-02 13:45:24 | OK | 21831 | roflumilast.pdbqt|rep2
2026-07-02 13:46:04 | OK | 5540 | roflumilast.pdbqt|rep3
2026-07-02 13:46:11 | OK | 31781 | 104775.pdbqt|rep1
2026-07-02 13:46:17 | OK | 2149 | 104775.pdbqt|rep2
2026-07-02 13:46:23 | OK | 29927 | 104775.pdbqt|rep3
2026-07-02 13:46:43 | OK | 19939 | Srolipram_ph.pdbqt|rep1
2026-07-02 13:47:03 | OK | 12570 | Srolipram_ph.pdbqt|rep2
2026-07-02 13:47:23 | OK | 1797 | Srolipram_ph.pdbqt|rep3
2026-07-02 13:47:42 | OK | 28369 | Rrolipram_ph.pdbqt|rep1
2026-07-02 13:48:02 | OK | 14190 | Rrolipram_ph.pdbqt|rep2
2026-07-02 13:48:23 | OK | 4911 | Rrolipram_ph.pdbqt|rep3
2026-07-02 13:48:42 | OK | 31625 | 10559720.pdbqt|rep1
2026-07-02 13:49:01 | OK | 4766 | 10559720.pdbqt|rep2
2026-07-02 13:49:20 | OK | 13281 | 10559720.pdbqt|rep3
2026-07-02 13:49:46 | OK | 13403 | no12.pdbqt|rep1
2026-07-02 13:50:13 | OK | 20584 | no12.pdbqt|rep2
2026-07-02 13:50:40 | OK | 19534 | no12.pdbqt|rep3
2026-07-02 13:51:02 | OK | 12862 | no17.pdbqt|rep1
2026-07-02 13:51:24 | OK | 23085 | no17.pdbqt|rep2
2026-07-02 13:51:47 | OK | 2144 | no17.pdbqt|rep3
2026-07-02 13:52:07 | OK | 25444 | 6047.pdbqt|rep1
2026-07-02 13:52:27 | OK | 23211 | 6047.pdbqt|rep2
2026-07-02 13:52:47 | OK | 20758 | 6047.pdbqt|rep3
2026-07-02 13:53:11 | OK | 3616 | no13.pdbqt|rep1
2026-07-02 13:53:35 | OK | 30758 | no13.pdbqt|rep2
2026-07-02 13:53:57 | OK | 4895 | no13.pdbqt|rep3
