2026-08-04 13:04:56 | OK | 12594 | 49831816.pdbqt|rep1
2026-08-04 13:05:19 | OK | 31165 | 49831816.pdbqt|rep2
2026-08-04 13:05:42 | OK | 18288 | 49831816.pdbqt|rep3
2026-08-04 13:06:26 | OK | 16091 | no7.pdbqt|rep1
2026-08-04 13:07:10 | OK | 11522 | no7.pdbqt|rep2
2026-08-04 13:07:54 | OK | 18386 | no7.pdbqt|rep3
2026-08-04 13:08:05 | OK | 8240 | 107.pdbqt|rep1
2026-08-04 13:08:15 | OK | 10529 | 107.pdbqt|rep2
2026-08-04 13:08:26 | OK | 16976 | 107.pdbqt|rep3
2026-08-04 13:08:42 | OK | 15655 | 348154.pdbqt|rep1
2026-08-04 13:08:58 | OK | 11849 | 348154.pdbqt|rep2
2026-08-04 13:09:15 | OK | 3343 | 348154.pdbqt|rep3
2026-08-04 13:09:56 | OK | 7540 | roflumilast.pdbqt|rep1
2026-08-04 13:10:36 | OK | 11505 | roflumilast.pdbqt|rep2
2026-08-04 13:11:15 | OK | 2036 | roflumilast.pdbqt|rep3
2026-08-04 13:11:22 | OK | 8130 | 104775.pdbqt|rep1
2026-08-04 13:11:29 | OK | 29762 | 104775.pdbqt|rep2
2026-08-04 13:11:35 | OK | 28349 | 104775.pdbqt|rep3
2026-08-04 13:11:56 | OK | 30288 | Srolipram_ph.pdbqt|rep1
2026-08-04 13:12:16 | OK | 1172 | Srolipram_ph.pdbqt|rep2
2026-08-04 13:12:36 | OK | 24286 | Srolipram_ph.pdbqt|rep3
2026-08-04 13:12:56 | OK | 17470 | Rrolipram_ph.pdbqt|rep1
2026-08-04 13:13:16 | OK | 19576 | Rrolipram_ph.pdbqt|rep2
2026-08-04 13:13:37 | OK | 21393 | Rrolipram_ph.pdbqt|rep3
2026-08-04 13:13:56 | OK | 9668 | 10559720.pdbqt|rep1
2026-08-04 13:14:15 | OK | 21561 | 10559720.pdbqt|rep2
2026-08-04 13:14:34 | OK | 25254 | 10559720.pdbqt|rep3
2026-08-04 13:15:02 | OK | 9032 | no12.pdbqt|rep1
2026-08-04 13:15:30 | OK | 1605 | no12.pdbqt|rep2
2026-08-04 13:16:02 | OK | 6715 | no12.pdbqt|rep3
2026-08-04 13:16:27 | OK | 6793 | no17.pdbqt|rep1
2026-08-04 13:16:51 | OK | 4390 | no17.pdbqt|rep2
2026-08-04 13:17:16 | OK | 15052 | no17.pdbqt|rep3
2026-08-04 13:17:37 | OK | 32501 | 6047.pdbqt|rep1
2026-08-04 13:17:58 | OK | 21946 | 6047.pdbqt|rep2
2026-08-04 13:18:19 | OK | 18352 | 6047.pdbqt|rep3
2026-08-04 13:18:46 | OK | 25327 | no13.pdbqt|rep1
2026-08-04 13:19:10 | OK | 4553 | no13.pdbqt|rep2
2026-08-04 13:19:34 | OK | 8691 | no13.pdbqt|rep3
2026-08-09 13:23:49 | OK | 17634 | 689043.pdbqt|rep1
2026-08-09 13:24:02 | OK | 2473 | 689043.pdbqt|rep2
2026-08-09 13:24:16 | OK | 2816 | 689043.pdbqt|rep3
2026-08-09 13:24:31 | OK | 17773 | 6262.pdbqt|rep1
2026-08-09 13:24:47 | OK | 3023 | 6262.pdbqt|rep2
2026-08-09 13:25:02 | OK | 28321 | 6262.pdbqt|rep3
2026-08-09 13:25:18 | OK | 1617 | 10176710.pdbqt|rep1
2026-08-09 13:25:34 | OK | 11889 | 10176710.pdbqt|rep2
2026-08-09 13:25:50 | OK | 9775 | 10176710.pdbqt|rep3
2026-08-09 13:26:03 | OK | 23190 | 10394.pdbqt|rep1
2026-08-09 13:26:16 | OK | 10281 | 10394.pdbqt|rep2
2026-08-09 13:26:27 | OK | 6059 | 10394.pdbqt|rep3
2026-08-09 13:26:31 | OK | 9715 | 175.pdbqt|rep1
2026-08-09 13:26:35 | OK | 9572 | 175.pdbqt|rep2
2026-08-09 13:26:39 | OK | 18888 | 175.pdbqt|rep3
2026-08-09 13:26:58 | OK | 24182 | 439435.pdbqt|rep1
2026-08-09 13:27:18 | OK | 32448 | 439435.pdbqt|rep2
2026-08-09 13:27:37 | OK | 30176 | 439435.pdbqt|rep3
2026-08-09 13:27:55 | OK | 29836 | 9877619.pdbqt|rep1
2026-08-09 13:28:13 | OK | 8870 | 9877619.pdbqt|rep2
2026-08-09 13:28:30 | OK | 11559 | 9877619.pdbqt|rep3
