2026-08-15 16:16:26 | OK | 18686 | 689043.pdbqt|rep1
2026-08-15 16:16:40 | OK | 18505 | 689043.pdbqt|rep2
2026-08-15 16:16:55 | OK | 25034 | 689043.pdbqt|rep3
2026-08-15 16:17:19 | OK | 11542 | 49831816.pdbqt|rep1
2026-08-15 16:17:44 | OK | 28561 | 49831816.pdbqt|rep2
2026-08-15 16:18:08 | OK | 15320 | 49831816.pdbqt|rep3
2026-08-15 16:18:20 | OK | 5923 | 107.pdbqt|rep1
2026-08-15 16:18:31 | OK | 8995 | 107.pdbqt|rep2
2026-08-15 16:18:42 | OK | 32015 | 107.pdbqt|rep3
2026-08-15 16:18:59 | OK | 31626 | 6262.pdbqt|rep1
2026-08-15 16:19:15 | OK | 23250 | 6262.pdbqt|rep2
2026-08-15 16:19:31 | OK | 22446 | 6262.pdbqt|rep3
2026-08-15 16:19:48 | OK | 4455 | 10176710.pdbqt|rep1
2026-08-15 16:20:06 | OK | 9023 | 10176710.pdbqt|rep2
2026-08-15 16:20:24 | OK | 27053 | 10176710.pdbqt|rep3
2026-08-15 16:21:04 | OK | 32165 | m5.pdbqt|rep1
2026-08-15 16:21:44 | OK | 4342 | m5.pdbqt|rep2
2026-08-15 16:22:25 | OK | 30578 | m5.pdbqt|rep3
2026-08-15 16:22:41 | OK | 10148 | 348154.pdbqt|rep1
2026-08-15 16:22:57 | OK | 21462 | 348154.pdbqt|rep2
2026-08-15 16:23:13 | OK | 5642 | 348154.pdbqt|rep3
2026-08-15 16:23:27 | OK | 17478 | 10394.pdbqt|rep1
2026-08-15 16:23:41 | OK | 20464 | 10394.pdbqt|rep2
2026-08-15 16:23:54 | OK | 27204 | 10394.pdbqt|rep3
2026-08-15 16:24:22 | OK | 28524 | m1.pdbqt|rep1
2026-08-15 16:24:49 | OK | 20182 | m1.pdbqt|rep2
2026-08-15 16:25:17 | OK | 2797 | m1.pdbqt|rep3
2026-08-15 16:25:41 | OK | 2400 | m3.pdbqt|rep1
2026-08-15 16:26:05 | OK | 10387 | m3.pdbqt|rep2
2026-08-15 16:26:29 | OK | 20273 | m3.pdbqt|rep3
2026-08-15 16:26:50 | OK | 26458 | rolR.pdbqt|rep1
2026-08-15 16:27:12 | OK | 7191 | rolR.pdbqt|rep2
2026-08-15 16:27:33 | OK | 3882 | rolR.pdbqt|rep3
2026-08-15 16:28:19 | OK | 1113 | rf.pdbqt|rep1
2026-08-15 16:29:04 | OK | 2003 | rf.pdbqt|rep2
2026-08-15 16:29:50 | OK | 551 | rf.pdbqt|rep3
2026-08-15 16:29:57 | OK | 24410 | 104775.pdbqt|rep1
2026-08-15 16:30:04 | OK | 12768 | 104775.pdbqt|rep2
2026-08-15 16:30:11 | OK | 25530 | 104775.pdbqt|rep3
2026-08-15 16:30:35 | OK | 31351 | m2.pdbqt|rep1
2026-08-15 16:30:59 | OK | 6085 | m2.pdbqt|rep2
2026-08-15 16:31:23 | OK | 10561 | m2.pdbqt|rep3
2026-08-15 16:31:44 | OK | 8903 | rolS.pdbqt|rep1
2026-08-15 16:32:05 | OK | 13172 | rolS.pdbqt|rep2
2026-08-15 16:32:26 | OK | 3874 | rolS.pdbqt|rep3
2026-08-15 16:32:46 | OK | 26158 | 10559720.pdbqt|rep1
2026-08-15 16:33:06 | OK | 24461 | 10559720.pdbqt|rep2
2026-08-15 16:33:26 | OK | 14990 | 10559720.pdbqt|rep3
2026-08-15 16:33:30 | OK | 12026 | 175.pdbqt|rep1
2026-08-15 16:33:35 | OK | 23804 | 175.pdbqt|rep2
2026-08-15 16:33:39 | OK | 13114 | 175.pdbqt|rep3
2026-08-15 16:33:59 | OK | 28772 | 439435.pdbqt|rep1
2026-08-15 16:34:20 | OK | 31365 | 439435.pdbqt|rep2
2026-08-15 16:34:41 | OK | 6081 | 439435.pdbqt|rep3
2026-08-15 16:35:25 | OK | 10543 | m4.pdbqt|rep1
2026-08-15 16:36:09 | OK | 1841 | m4.pdbqt|rep2
2026-08-15 16:36:54 | OK | 1682 | m4.pdbqt|rep3
2026-08-15 16:37:13 | OK | 8898 | 9877619.pdbqt|rep1
2026-08-15 16:37:32 | OK | 17578 | 9877619.pdbqt|rep2
2026-08-15 16:37:51 | OK | 10521 | 9877619.pdbqt|rep3
