2026-08-04 13:34:07 | OK | 19658 | 49831816.pdbqt|rep1
2026-08-04 13:34:33 | OK | 10602 | 49831816.pdbqt|rep2
2026-08-04 13:34:58 | OK | 5530 | 49831816.pdbqt|rep3
2026-08-04 13:35:44 | OK | 17073 | no7.pdbqt|rep1
2026-08-04 13:36:28 | OK | 114 | no7.pdbqt|rep2
2026-08-04 13:37:14 | OK | 19359 | no7.pdbqt|rep3
2026-08-04 13:37:26 | OK | 32380 | 107.pdbqt|rep1
2026-08-04 13:37:37 | OK | 20435 | 107.pdbqt|rep2
2026-08-04 13:37:48 | OK | 13106 | 107.pdbqt|rep3
2026-08-04 13:38:06 | OK | 20692 | 348154.pdbqt|rep1
2026-08-04 13:38:23 | OK | 22152 | 348154.pdbqt|rep2
2026-08-04 13:38:40 | OK | 20323 | 348154.pdbqt|rep3
2026-08-04 13:39:27 | OK | 22397 | roflumilast.pdbqt|rep1
2026-08-04 13:40:11 | OK | 17612 | roflumilast.pdbqt|rep2
2026-08-04 13:40:55 | OK | 17546 | roflumilast.pdbqt|rep3
2026-08-04 13:41:02 | OK | 21756 | 104775.pdbqt|rep1
2026-08-04 13:41:08 | OK | 21876 | 104775.pdbqt|rep2
2026-08-04 13:41:15 | OK | 31413 | 104775.pdbqt|rep3
2026-08-04 13:41:39 | OK | 31595 | Srolipram_ph.pdbqt|rep1
2026-08-04 13:42:02 | OK | 30268 | Srolipram_ph.pdbqt|rep2
2026-08-04 13:42:25 | OK | 25431 | Srolipram_ph.pdbqt|rep3
2026-08-04 13:42:50 | OK | 12626 | Rrolipram_ph.pdbqt|rep1
2026-08-04 13:43:12 | OK | 28488 | Rrolipram_ph.pdbqt|rep2
2026-08-04 13:43:35 | OK | 24454 | Rrolipram_ph.pdbqt|rep3
2026-08-04 13:43:56 | OK | 10677 | 10559720.pdbqt|rep1
2026-08-04 13:44:16 | OK | 15585 | 10559720.pdbqt|rep2
2026-08-04 13:44:37 | OK | 30531 | 10559720.pdbqt|rep3
2026-08-04 13:45:07 | OK | 17700 | no12.pdbqt|rep1
2026-08-04 13:45:35 | OK | 6914 | no12.pdbqt|rep2
2026-08-04 13:46:04 | OK | 18370 | no12.pdbqt|rep3
2026-08-04 13:46:29 | OK | 11498 | no17.pdbqt|rep1
2026-08-04 13:46:55 | OK | 8024 | no17.pdbqt|rep2
2026-08-04 13:47:19 | OK | 4974 | no17.pdbqt|rep3
2026-08-04 13:47:41 | OK | 8349 | 6047.pdbqt|rep1
2026-08-04 13:48:06 | OK | 14861 | 6047.pdbqt|rep2
2026-08-04 13:48:29 | OK | 13679 | 6047.pdbqt|rep3
2026-08-04 13:48:54 | OK | 21020 | no13.pdbqt|rep1
2026-08-04 13:49:21 | OK | 30800 | no13.pdbqt|rep2
2026-08-04 13:49:46 | OK | 28292 | no13.pdbqt|rep3
2026-08-07 16:44:29 | OK | 3001 | 689043.pdbqt|rep1
2026-08-07 16:44:47 | OK | 19906 | 689043.pdbqt|rep2
2026-08-07 16:45:21 | OK | 5391 | 689043.pdbqt|rep3
2026-08-07 16:46:03 | OK | 24498 | 6262.pdbqt|rep1
2026-08-07 16:46:44 | OK | 10600 | 6262.pdbqt|rep2
2026-08-07 16:47:24 | OK | 13309 | 6262.pdbqt|rep3
2026-08-07 16:48:00 | OK | 20888 | 10176710.pdbqt|rep1
2026-08-07 16:48:33 | OK | 18913 | 10176710.pdbqt|rep2
2026-08-07 16:49:13 | OK | 10419 | 10176710.pdbqt|rep3
2026-08-07 16:49:54 | OK | 16168 | 10394.pdbqt|rep1
2026-08-07 16:50:38 | OK | 31472 | 10394.pdbqt|rep2
2026-08-07 16:51:11 | OK | 9582 | 10394.pdbqt|rep3
2026-08-07 16:51:29 | OK | 5932 | 175.pdbqt|rep1
2026-08-07 16:51:47 | OK | 22721 | 175.pdbqt|rep2
2026-08-07 16:51:56 | OK | 27628 | 175.pdbqt|rep3
2026-08-07 16:52:22 | OK | 18170 | 439435.pdbqt|rep1
2026-08-07 16:52:51 | OK | 2016 | 439435.pdbqt|rep2
2026-08-07 16:53:45 | OK | 25680 | 439435.pdbqt|rep3
2026-08-07 16:54:20 | OK | 9466 | 9877619.pdbqt|rep1
2026-08-07 16:54:55 | OK | 18382 | 9877619.pdbqt|rep2
2026-08-07 16:55:37 | OK | 32185 | 9877619.pdbqt|rep3
2026-08-13 10:00:00 | OK | 18998 | m5.pdbqt|rep1
2026-08-13 10:03:11 | OK | 13163 | m5.pdbqt|rep2
2026-08-13 10:06:09 | OK | 7709 | m5.pdbqt|rep3
