2026-08-10 16:24:38 | OK | 24625 | 689043.pdbqt|rep1
2026-08-10 16:24:53 | OK | 28093 | 689043.pdbqt|rep2
2026-08-10 16:25:09 | OK | 14624 | 689043.pdbqt|rep3
2026-08-10 16:25:27 | OK | 17859 | 6262.pdbqt|rep1
2026-08-10 16:25:44 | OK | 26094 | 6262.pdbqt|rep2
2026-08-10 16:26:01 | OK | 28099 | 6262.pdbqt|rep3
2026-08-10 16:26:22 | OK | 4692 | 10176710.pdbqt|rep1
2026-08-10 16:26:41 | OK | 32318 | 10176710.pdbqt|rep2
2026-08-10 16:26:58 | OK | 754 | 10176710.pdbqt|rep3
2026-08-10 16:27:10 | OK | 11349 | 10394.pdbqt|rep1
2026-08-10 16:27:22 | OK | 13132 | 10394.pdbqt|rep2
2026-08-10 16:27:35 | OK | 30710 | 10394.pdbqt|rep3
2026-08-10 16:27:39 | OK | 26630 | 175.pdbqt|rep1
2026-08-10 16:27:43 | OK | 9447 | 175.pdbqt|rep2
2026-08-10 16:27:46 | OK | 9233 | 175.pdbqt|rep3
2026-08-10 16:28:07 | OK | 14978 | 439435.pdbqt|rep1
2026-08-10 16:28:28 | OK | 15884 | 439435.pdbqt|rep2
2026-08-10 16:28:48 | OK | 16801 | 439435.pdbqt|rep3
2026-08-10 16:29:06 | OK | 19536 | 9877619.pdbqt|rep1
2026-08-10 16:29:24 | OK | 7757 | 9877619.pdbqt|rep2
2026-08-10 16:29:44 | OK | 9196 | 9877619.pdbqt|rep3
2026-08-10 17:05:21 | OK | 9868 | 49831816.pdbqt|rep1
2026-08-10 17:05:44 | OK | 14817 | 49831816.pdbqt|rep2
2026-08-10 17:06:08 | OK | 19638 | 49831816.pdbqt|rep3
2026-08-10 17:06:19 | OK | 23280 | 107.pdbqt|rep1
2026-08-10 17:06:30 | OK | 27189 | 107.pdbqt|rep2
2026-08-10 17:06:40 | OK | 8829 | 107.pdbqt|rep3
2026-08-10 17:06:56 | OK | 32140 | 348154.pdbqt|rep1
2026-08-10 17:07:12 | OK | 21589 | 348154.pdbqt|rep2
2026-08-10 17:07:28 | OK | 19232 | 348154.pdbqt|rep3
2026-08-10 17:07:55 | OK | 25051 | m1.pdbqt|rep1
2026-08-10 17:08:22 | OK | 29177 | m1.pdbqt|rep2
2026-08-10 17:08:49 | OK | 8249 | m1.pdbqt|rep3
2026-08-10 17:09:14 | OK | 5840 | m3.pdbqt|rep1
2026-08-10 17:09:37 | OK | 16910 | m3.pdbqt|rep2
2026-08-10 17:10:00 | OK | 26929 | m3.pdbqt|rep3
2026-08-10 17:10:21 | OK | 13140 | rolR.pdbqt|rep1
2026-08-10 17:10:41 | OK | 18474 | rolR.pdbqt|rep2
2026-08-10 17:11:01 | OK | 31335 | rolR.pdbqt|rep3
2026-08-10 17:11:41 | OK | 25562 | rf.pdbqt|rep1
2026-08-10 17:12:21 | OK | 21667 | rf.pdbqt|rep2
2026-08-10 17:13:02 | OK | 28983 | rf.pdbqt|rep3
2026-08-10 17:13:08 | OK | 1443 | 104775.pdbqt|rep1
2026-08-10 17:13:14 | OK | 9689 | 104775.pdbqt|rep2
2026-08-10 17:13:21 | OK | 12294 | 104775.pdbqt|rep3
2026-08-10 17:13:44 | OK | 25169 | m2.pdbqt|rep1
2026-08-10 17:14:07 | OK | 12654 | m2.pdbqt|rep2
2026-08-10 17:14:30 | OK | 934 | m2.pdbqt|rep3
2026-08-10 17:14:50 | OK | 31965 | rolS.pdbqt|rep1
2026-08-10 17:15:11 | OK | 21259 | rolS.pdbqt|rep2
2026-08-10 17:15:31 | OK | 31561 | rolS.pdbqt|rep3
2026-08-10 17:15:51 | OK | 30012 | 10559720.pdbqt|rep1
2026-08-10 17:16:10 | OK | 16647 | 10559720.pdbqt|rep2
2026-08-10 17:16:29 | OK | 11135 | 10559720.pdbqt|rep3
2026-08-10 17:17:12 | OK | 27254 | m4.pdbqt|rep1
2026-08-10 17:17:55 | OK | 27339 | m4.pdbqt|rep2
2026-08-10 17:18:39 | OK | 2631 | m4.pdbqt|rep3
2026-08-13 10:01:02 | OK | 22325 | m5.pdbqt|rep1
2026-08-13 10:04:20 | OK | 236 | m5.pdbqt|rep2
2026-08-13 10:07:02 | OK | 17691 | m5.pdbqt|rep3
