2026-08-14 10:46:16 | OK | 8454 | 689043.pdbqt|rep1
2026-08-14 10:46:30 | OK | 15011 | 689043.pdbqt|rep2
2026-08-14 10:46:45 | OK | 28715 | 689043.pdbqt|rep3
2026-08-14 10:47:09 | OK | 29087 | 49831816.pdbqt|rep1
2026-08-14 10:47:34 | OK | 23253 | 49831816.pdbqt|rep2
2026-08-14 10:47:58 | OK | 24985 | 49831816.pdbqt|rep3
2026-08-14 10:48:10 | OK | 31573 | 107.pdbqt|rep1
2026-08-14 10:48:22 | OK | 4616 | 107.pdbqt|rep2
2026-08-14 10:48:34 | OK | 11566 | 107.pdbqt|rep3
2026-08-14 10:48:50 | OK | 17591 | 6262.pdbqt|rep1
2026-08-14 10:49:08 | OK | 14426 | 6262.pdbqt|rep2
2026-08-14 10:49:25 | OK | 32303 | 6262.pdbqt|rep3
2026-08-14 10:49:42 | OK | 15641 | 10176710.pdbqt|rep1
2026-08-14 10:49:58 | OK | 23247 | 10176710.pdbqt|rep2
2026-08-14 10:50:15 | OK | 23351 | 10176710.pdbqt|rep3
2026-08-14 10:50:56 | OK | 6836 | m5.pdbqt|rep1
2026-08-14 10:51:36 | OK | 4732 | m5.pdbqt|rep2
2026-08-14 10:52:16 | OK | 3094 | m5.pdbqt|rep3
2026-08-14 10:52:33 | OK | 7623 | 348154.pdbqt|rep1
2026-08-14 10:52:50 | OK | 4491 | 348154.pdbqt|rep2
2026-08-14 10:53:07 | OK | 21387 | 348154.pdbqt|rep3
2026-08-14 10:53:20 | OK | 15993 | 10394.pdbqt|rep1
2026-08-14 10:53:34 | OK | 11341 | 10394.pdbqt|rep2
2026-08-14 10:53:47 | OK | 4537 | 10394.pdbqt|rep3
2026-08-14 10:54:15 | OK | 9427 | m1.pdbqt|rep1
2026-08-14 10:54:42 | OK | 15366 | m1.pdbqt|rep2
2026-08-14 10:55:10 | OK | 12019 | m1.pdbqt|rep3
2026-08-14 10:55:34 | OK | 19443 | m3.pdbqt|rep1
2026-08-14 10:55:58 | OK | 19853 | m3.pdbqt|rep2
2026-08-14 10:56:22 | OK | 32388 | m3.pdbqt|rep3
2026-08-14 10:56:43 | OK | 7914 | rolR.pdbqt|rep1
2026-08-14 10:57:03 | OK | 31821 | rolR.pdbqt|rep2
2026-08-14 10:57:23 | OK | 12355 | rolR.pdbqt|rep3
2026-08-14 10:58:03 | OK | 19990 | rf.pdbqt|rep1
2026-08-14 10:58:44 | OK | 24477 | rf.pdbqt|rep2
2026-08-14 10:59:25 | OK | 13653 | rf.pdbqt|rep3
2026-08-14 10:59:32 | OK | 3990 | 104775.pdbqt|rep1
2026-08-14 10:59:39 | OK | 1875 | 104775.pdbqt|rep2
2026-08-14 10:59:46 | OK | 28605 | 104775.pdbqt|rep3
2026-08-14 11:00:10 | OK | 24974 | m2.pdbqt|rep1
2026-08-14 11:00:34 | OK | 2842 | m2.pdbqt|rep2
2026-08-14 11:00:58 | OK | 919 | m2.pdbqt|rep3
2026-08-14 11:01:18 | OK | 7872 | rolS.pdbqt|rep1
2026-08-14 11:01:38 | OK | 4192 | rolS.pdbqt|rep2
2026-08-14 11:01:58 | OK | 13544 | rolS.pdbqt|rep3
2026-08-14 11:02:19 | OK | 10000 | 10559720.pdbqt|rep1
2026-08-14 11:02:40 | OK | 1959 | 10559720.pdbqt|rep2
2026-08-14 11:03:01 | OK | 28400 | 10559720.pdbqt|rep3
2026-08-14 11:03:05 | OK | 30288 | 175.pdbqt|rep1
2026-08-14 11:03:09 | OK | 5140 | 175.pdbqt|rep2
2026-08-14 11:03:13 | OK | 15897 | 175.pdbqt|rep3
2026-08-14 11:03:34 | OK | 10916 | 439435.pdbqt|rep1
2026-08-14 11:03:56 | OK | 9650 | 439435.pdbqt|rep2
2026-08-14 11:04:17 | OK | 28344 | 439435.pdbqt|rep3
2026-08-14 11:04:59 | OK | 13550 | m4.pdbqt|rep1
2026-08-14 11:05:42 | OK | 27098 | m4.pdbqt|rep2
2026-08-14 11:06:26 | OK | 347 | m4.pdbqt|rep3
2026-08-14 11:06:45 | OK | 22098 | 9877619.pdbqt|rep1
2026-08-14 11:07:03 | OK | 10184 | 9877619.pdbqt|rep2
2026-08-14 11:07:22 | OK | 27653 | 9877619.pdbqt|rep3
