2026-08-12 09:21:04 | OK | 4785 | 689043.pdbqt|rep1
2026-08-12 09:21:57 | OK | 4149 | 689043.pdbqt|rep2
2026-08-12 09:23:07 | OK | 16603 | 689043.pdbqt|rep3
2026-08-12 09:24:53 | OK | 15629 | 49831816.pdbqt|rep1
2026-08-12 09:26:41 | OK | 11745 | 49831816.pdbqt|rep2
2026-08-12 09:28:08 | OK | 5170 | 49831816.pdbqt|rep3
2026-08-12 09:28:44 | OK | 3934 | 107.pdbqt|rep1
2026-08-12 09:29:18 | OK | 23238 | 107.pdbqt|rep2
2026-08-12 09:29:48 | OK | 19704 | 107.pdbqt|rep3
2026-08-12 09:31:17 | OK | 1217 | 6262.pdbqt|rep1
2026-08-12 09:33:08 | OK | 22291 | 6262.pdbqt|rep2
2026-08-12 09:34:00 | OK | 29179 | 6262.pdbqt|rep3
2026-08-12 09:35:00 | OK | 29786 | 10176710.pdbqt|rep1
2026-08-12 09:36:00 | OK | 20798 | 10176710.pdbqt|rep2
2026-08-12 09:36:49 | OK | 26684 | 10176710.pdbqt|rep3
2026-08-12 09:37:47 | OK | 1212 | 348154.pdbqt|rep1
2026-08-12 09:38:36 | OK | 21785 | 348154.pdbqt|rep2
2026-08-12 09:40:05 | OK | 22520 | 348154.pdbqt|rep3
2026-08-12 09:40:45 | OK | 477 | 10394.pdbqt|rep1
2026-08-12 09:41:40 | OK | 192 | 10394.pdbqt|rep2
2026-08-12 09:42:20 | OK | 6003 | 10394.pdbqt|rep3
2026-08-12 09:44:33 | OK | 25055 | m1.pdbqt|rep1
2026-08-12 09:46:52 | OK | 22513 | m1.pdbqt|rep2
2026-08-12 09:49:00 | OK | 7836 | m1.pdbqt|rep3
2026-08-12 09:50:42 | OK | 30818 | m3.pdbqt|rep1
2026-08-12 09:52:32 | OK | 7433 | m3.pdbqt|rep2
2026-08-12 09:54:35 | OK | 7238 | m3.pdbqt|rep3
2026-08-12 09:56:00 | OK | 6487 | rolR.pdbqt|rep1
2026-08-12 09:57:34 | OK | 25414 | rolR.pdbqt|rep2
2026-08-12 09:58:58 | OK | 18105 | rolR.pdbqt|rep3
2026-08-12 10:03:00 | OK | 11388 | rf.pdbqt|rep1
2026-08-12 10:06:11 | OK | 30281 | rf.pdbqt|rep2
2026-08-12 10:09:57 | OK | 21009 | rf.pdbqt|rep3
2026-08-12 10:10:23 | OK | 1222 | 104775.pdbqt|rep1
2026-08-12 10:10:47 | OK | 27214 | 104775.pdbqt|rep2
2026-08-12 10:11:14 | OK | 5806 | 104775.pdbqt|rep3
2026-08-12 10:13:13 | OK | 24771 | m2.pdbqt|rep1
2026-08-12 10:14:35 | OK | 13551 | m2.pdbqt|rep2
2026-08-12 10:16:18 | OK | 4974 | m2.pdbqt|rep3
2026-08-12 10:18:08 | OK | 15963 | rolS.pdbqt|rep1
2026-08-12 10:19:26 | OK | 8811 | rolS.pdbqt|rep2
2026-08-12 10:21:08 | OK | 10485 | rolS.pdbqt|rep3
2026-08-12 10:22:23 | OK | 5874 | 10559720.pdbqt|rep1
2026-08-12 10:23:47 | OK | 2611 | 10559720.pdbqt|rep2
2026-08-12 10:25:22 | OK | 22602 | 10559720.pdbqt|rep3
2026-08-12 10:25:51 | OK | 6977 | 175.pdbqt|rep1
2026-08-12 10:26:17 | OK | 1789 | 175.pdbqt|rep2
2026-08-12 10:26:44 | OK | 27336 | 175.pdbqt|rep3
2026-08-12 10:27:47 | OK | 22318 | 439435.pdbqt|rep1
2026-08-12 10:28:56 | OK | 28248 | 439435.pdbqt|rep2
2026-08-12 10:30:06 | OK | 24024 | 439435.pdbqt|rep3
2026-08-12 10:33:32 | OK | 19901 | m4.pdbqt|rep1
2026-08-12 10:37:18 | OK | 17149 | m4.pdbqt|rep2
2026-08-12 10:40:07 | OK | 25359 | m4.pdbqt|rep3
2026-08-12 10:41:05 | OK | 17944 | 9877619.pdbqt|rep1
2026-08-12 10:42:07 | OK | 8144 | 9877619.pdbqt|rep2
2026-08-12 10:43:00 | OK | 13264 | 9877619.pdbqt|rep3
2026-08-13 09:59:23 | OK | 16575 | m5.pdbqt|rep1
2026-08-13 10:02:34 | OK | 5231 | m5.pdbqt|rep2
2026-08-13 10:05:40 | OK | 74 | m5.pdbqt|rep3
