protein,ligand,replicate,affinity
PDE4B_catalytic,no17,2,-6.5
PDE4B_catalytic,no17,3,-6.7
PDE4B_catalytic,no17,1,-6.6
PDE4B_catalytic,107,3,-6.4
PDE4B_catalytic,107,2,-6.3
PDE4B_catalytic,107,1,-6.3
PDE4B_catalytic,104775,2,-4.0
PDE4B_catalytic,104775,3,-4.0
PDE4B_catalytic,104775,1,-4.0
PDE4B_catalytic,49831816,2,-6.4
PDE4B_catalytic,49831816,3,-6.4
PDE4B_catalytic,49831816,1,-6.2
PDE4B_catalytic,no12,3,-6.7
PDE4B_catalytic,no12,2,-6.5
PDE4B_catalytic,no12,1,-6.8
PDE4B_catalytic,no13,3,-6.7
PDE4B_catalytic,no13,1,-6.7
PDE4B_catalytic,no13,2,-6.7
PDE4B_catalytic,348154,3,-6.6
PDE4B_catalytic,348154,1,-6.6
PDE4B_catalytic,348154,2,-6.6
PDE4B_catalytic,6047,3,-6.7
PDE4B_catalytic,6047,2,-6.7
PDE4B_catalytic,6047,1,-6.7
PDE4B_catalytic,10559720,3,-6.6
PDE4B_catalytic,10559720,2,-6.4
PDE4B_catalytic,10559720,1,-6.4
PDE4B_catalytic,Srolipram,2,-7.9
PDE4B_catalytic,Srolipram,3,-7.7
PDE4B_catalytic,Srolipram,1,-7.8
PDE4B_catalytic,roflumilast,1,-8.1
PDE4B_catalytic,roflumilast,2,-8.1
PDE4B_catalytic,roflumilast,3,-8.1
PDE4B_catalytic,Rrolipram,2,-8.2
PDE4B_catalytic,Rrolipram,1,-8.2
PDE4B_catalytic,Rrolipram,3,-8.2
PDE4B_catalytic,no7,1,-6.8
PDE4B_catalytic,no7,2,-6.8
PDE4B_catalytic,no7,3,-6.9
PDE4B_dimer,no17,2,-18.5
PDE4B_dimer,no17,3,-18.4
PDE4B_dimer,no17,1,-18.5
PDE4B_dimer,107,3,-17.7
PDE4B_dimer,107,2,-17.6
PDE4B_dimer,107,1,-17.6
PDE4B_dimer,104775,2,-11.2
PDE4B_dimer,104775,3,-11.2
PDE4B_dimer,104775,1,-11.2
PDE4B_dimer,49831816,2,-19.1
PDE4B_dimer,49831816,3,-19.1
PDE4B_dimer,49831816,1,-19.1
PDE4B_dimer,no12,3,-19.0
PDE4B_dimer,no12,2,-19.3
PDE4B_dimer,no12,1,-19.0
PDE4B_dimer,no13,3,-19.3
PDE4B_dimer,no13,1,-18.7
PDE4B_dimer,no13,2,-18.8
PDE4B_dimer,348154,3,-18.5
PDE4B_dimer,348154,1,-18.5
PDE4B_dimer,348154,2,-18.5
PDE4B_dimer,6047,3,-18.2
PDE4B_dimer,6047,2,-18.2
PDE4B_dimer,6047,1,-18.2
PDE4B_dimer,10559720,3,-18.9
PDE4B_dimer,10559720,2,-18.9
PDE4B_dimer,10559720,1,-19.0
PDE4B_dimer,Srolipram,3,-21.3
PDE4B_dimer,Srolipram,1,-21.3
PDE4B_dimer,Srolipram,2,-21.3
PDE4B_dimer,roflumilast,1,-23.2
PDE4B_dimer,roflumilast,2,-23.1
PDE4B_dimer,roflumilast,3,-23.1
PDE4B_dimer,Rrolipram,2,-21.3
PDE4B_dimer,Rrolipram,3,-21.3
PDE4B_dimer,Rrolipram,1,-21.1
PDE4B_dimer,no7,1,-19.6
PDE4B_dimer,no7,2,-19.6
PDE4B_dimer,no7,3,-19.6
PDE4B_monomer,no17,2,-6.8
PDE4B_monomer,no17,3,-6.8
PDE4B_monomer,no17,1,-6.6
PDE4B_monomer,107,3,-6.2
PDE4B_monomer,107,2,-6.3
PDE4B_monomer,107,1,-6.2
PDE4B_monomer,104775,2,-4.1
PDE4B_monomer,104775,3,-4.1
PDE4B_monomer,104775,1,-4.1
PDE4B_monomer,49831816,2,-6.9
PDE4B_monomer,49831816,3,-6.9
PDE4B_monomer,49831816,1,-6.9
PDE4B_monomer,no12,3,-7.2
PDE4B_monomer,no12,2,-7.2
PDE4B_monomer,no12,1,-7.2
PDE4B_monomer,no13,3,-7.2
PDE4B_monomer,no13,1,-7.2
PDE4B_monomer,no13,2,-7.2
PDE4B_monomer,348154,3,-6.6
PDE4B_monomer,348154,1,-6.7
PDE4B_monomer,348154,2,-6.6
PDE4B_monomer,6047,3,-6.8
PDE4B_monomer,6047,2,-6.8
PDE4B_monomer,6047,1,-6.8
PDE4B_monomer,10559720,3,-6.6
PDE4B_monomer,10559720,2,-6.7
PDE4B_monomer,10559720,1,-6.7
PDE4B_monomer,Srolipram,2,-7.3
PDE4B_monomer,Srolipram,3,-7.3
PDE4B_monomer,Srolipram,1,-7.3
PDE4B_monomer,roflumilast,1,-7.4
PDE4B_monomer,roflumilast,2,-7.4
PDE4B_monomer,roflumilast,3,-7.3
PDE4B_monomer,Rrolipram,2,-7.4
PDE4B_monomer,Rrolipram,1,-7.4
PDE4B_monomer,Rrolipram,3,-7.4
PDE4B_monomer,no7,1,-7.5
PDE4B_monomer,no7,2,-7.5
PDE4B_monomer,no7,3,-7.5
PDE4B_monomer_md,no17,2,-6.4
PDE4B_monomer_md,no17,3,-6.4
PDE4B_monomer_md,no17,1,-6.4
PDE4B_monomer_md,107,3,-6.2
PDE4B_monomer_md,107,2,-6.1
PDE4B_monomer_md,107,1,-6.2
PDE4B_monomer_md,104775,2,-3.9
PDE4B_monomer_md,104775,3,-3.9
PDE4B_monomer_md,104775,1,-3.9
PDE4B_monomer_md,49831816,2,-6.6
PDE4B_monomer_md,49831816,3,-6.6
PDE4B_monomer_md,49831816,1,-6.6
PDE4B_monomer_md,no12,3,-6.8
PDE4B_monomer_md,no12,2,-6.8
PDE4B_monomer_md,no12,1,-6.8
PDE4B_monomer_md,no13,3,-6.3
PDE4B_monomer_md,no13,1,-6.2
PDE4B_monomer_md,no13,2,-6.3
PDE4B_monomer_md,348154,3,-6.7
PDE4B_monomer_md,348154,1,-6.7
PDE4B_monomer_md,348154,2,-6.7
PDE4B_monomer_md,6047,3,-6.6
PDE4B_monomer_md,6047,2,-6.6
PDE4B_monomer_md,6047,1,-6.6
PDE4B_monomer_md,10559720,3,-6.4
PDE4B_monomer_md,10559720,2,-6.4
PDE4B_monomer_md,10559720,1,-6.4
PDE4B_monomer_md,Srolipram,3,-7.1
PDE4B_monomer_md,Srolipram,1,-7.1
PDE4B_monomer_md,Srolipram,2,-7.1
