protein,ligand,mean_affinity,std_affinity,n
PDE4B_catalytic,104775,-4.0,0.0,3
PDE4B_catalytic,10559720,-6.466666666666666,0.11547005383792475,3
PDE4B_catalytic,107,-6.333333333333333,0.05773502691896256,3
PDE4B_catalytic,348154,-6.599999999999999,0.0,3
PDE4B_catalytic,49831816,-6.333333333333333,0.11547005383792538,3
PDE4B_catalytic,6047,-6.7,0.0,3
PDE4B_catalytic,Rrolipram,-8.2,0.0,3
PDE4B_catalytic,Srolipram,-7.8,0.10000000000000031,3
PDE4B_catalytic,no12,-6.666666666666667,0.15275252316519475,3
PDE4B_catalytic,no13,-6.7,0.0,3
PDE4B_catalytic,no17,-6.6000000000000005,0.10000000000000031,3
PDE4B_catalytic,no7,-6.833333333333333,0.05773502691896301,3
PDE4B_catalytic,roflumilast,-8.1,0.0,3
PDE4B_dimer,104775,-11.199999999999998,0.0,3
PDE4B_dimer,10559720,-18.933333333333334,0.05773502691896288,3
PDE4B_dimer,107,-17.633333333333336,0.05773502691896006,3
PDE4B_dimer,348154,-18.5,0.0,3
PDE4B_dimer,49831816,-19.1,0.0,3
PDE4B_dimer,6047,-18.2,0.0,3
PDE4B_dimer,Rrolipram,-21.233333333333334,0.11547005383792475,3
PDE4B_dimer,Srolipram,-21.3,0.0,3
PDE4B_dimer,no12,-19.099999999999998,0.17320508075688815,3
PDE4B_dimer,no13,-18.933333333333334,0.32145502536643233,3
PDE4B_dimer,no17,-18.466666666666665,0.05773502691896366,3
PDE4B_dimer,no7,-19.6,0.0,3
PDE4B_dimer,roflumilast,-23.133333333333336,0.05773502691896006,3
PDE4B_monomer,104775,-4.1,0.0,3
PDE4B_monomer,10559720,-6.666666666666667,0.05773502691896256,3
PDE4B_monomer,107,-6.233333333333333,0.05773502691896237,3
PDE4B_monomer,348154,-6.633333333333333,0.05773502691896288,3
PDE4B_monomer,49831816,-6.900000000000001,0.0,3
PDE4B_monomer,6047,-6.8,0.0,3
PDE4B_monomer,Rrolipram,-7.400000000000001,0.0,3
PDE4B_monomer,Srolipram,-7.3,0.0,3
PDE4B_monomer,no12,-7.2,0.0,3
PDE4B_monomer,no13,-7.2,0.0,3
PDE4B_monomer,no17,-6.733333333333333,0.11547005383792538,3
PDE4B_monomer,no7,-7.5,0.0,3
PDE4B_monomer,roflumilast,-7.366666666666667,0.05773502691896301,3
PDE4B_monomer_md,104775,-3.9,0.0,3
PDE4B_monomer_md,10559720,-6.400000000000001,0.0,3
PDE4B_monomer_md,107,-6.166666666666667,0.05773502691896295,3
PDE4B_monomer_md,348154,-6.7,0.0,3
PDE4B_monomer_md,49831816,-6.599999999999999,0.0,3
PDE4B_monomer_md,6047,-6.599999999999999,0.0,3
PDE4B_monomer_md,Rrolipram,-7.2,0.0,3
PDE4B_monomer_md,Srolipram,-7.099999999999999,0.0,3
PDE4B_monomer_md,no12,-6.8,0.0,3
PDE4B_monomer_md,no13,-6.266666666666667,0.05773502691896237,3
PDE4B_monomer_md,no17,-6.400000000000001,0.0,3
PDE4B_monomer_md,no7,-6.966666666666666,0.05773502691896237,3
PDE4B_monomer_md,roflumilast,-7.8,0.09999999999999998,3
PDE4D_catalytic,104775,-4.4,0.0,3
PDE4D_catalytic,10559720,-6.966666666666666,0.05773502691896237,3
PDE4D_catalytic,107,-6.766666666666667,0.05773502691896237,3
PDE4D_catalytic,348154,-6.8,0.0,3
PDE4D_catalytic,49831816,-6.933333333333334,0.05773502691896237,3
PDE4D_catalytic,6047,-6.766666666666667,0.05773502691896237,3
PDE4D_catalytic,Rrolipram,-9.1,0.0,3
PDE4D_catalytic,Srolipram,-9.233333333333333,0.05773502691896327,3
PDE4D_catalytic,no12,-7.2,0.0,3
PDE4D_catalytic,no13,-7.099999999999999,0.0,3
PDE4D_catalytic,no17,-7.5,0.0,3
PDE4D_catalytic,no7,-7.733333333333333,0.05773502691896237,3
PDE4D_catalytic,roflumilast,-8.8,0.0,3
