"Host Species","Gut Microbe (ID)",Rank,"Metabolite (ID)",Evidence,"Evidence Number"
human,Acidaminobacter(65402),genus,"Glutamic Acid(33032, CHEBI:16015)",correlatively,1
human,Acidaminobacter(65402),genus,"Threonine(6288, CHEBI:16857)",correlatively,1
human,"Acidipropionibacterium acidipropionici(1748)",species,"Propionate(104745, CHEBI:17272)",causally,1
human,"Acidipropionibacterium acidipropionici(1748)",species,"Succinate(160419, CHEBI:30031)",causally,1
human,Acinetobacter(469),genus,"4-Pyridoxic acid(6723, CHEBI:17405)",causally,1
human,"Acinetobacter baumannii(470)",species,"Trimethylamine(1146, CHEBI:18139)",causally,1
human,Actinomycetota(201174),phylum,"3-Phenylpropionic acid(107, CHEBI:28631)",correlatively,1
human,Actinomycetota(201174),phylum,"Trimethylamine(1146, CHEBI:18139)",causally,1
human,"Adlercreutzia equolifaciens(446660)",species,"(2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)-propan-2-ol",causally;causally,2
human,"Adlercreutzia equolifaciens(446660)",species,"(2S)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",causally,1
human,"Adlercreutzia equolifaciens(446660)",species,"(2S)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)propan-2-ol",causally,1
human,"Adlercreutzia equolifaciens(446660)",species,"3,4-Dihydroxy-trans-stilbene(10176710)",causally,1
human,"Adlercreutzia equolifaciens(446660)",species,"Dihydroresveratrol(185914, CHEBI:4582)",causally,1
human,"Adlercreutzia equolifaciens(446660)",species,"Equol(91469, CHEBI:34741)",causally;causally,2
human,"Adlercreutzia equolifaciens(446660)",species,"Lunularin(181511, CHEBI:6568)",causally,1
human,"Adlercreutzia equolifaciens subsp. celatus(394340)",species,"(2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)-propan-2-ol",causally,1
human,"Adlercreutzia equolifaciens subsp. celatus(394340)",species,"(2S)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)propan-2-ol",causally,1
human,Agathobacter(1766253),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,Agathobacter(1766253),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,Agathobacter(1766253),genus,"Arachidonic Acid(444899, CHEBI:15843)",correlatively,1
human,"Agathobacter rectalis(39491)",species,"Acetate(175, CHEBI:30089)",correlatively,1
human,"Agathobacter rectalis(39491)",species,"Butyrate(104775, CHEBI:17968)",causally;causally,2
human,Akkermansia(239934),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,Akkermansia(239934),genus,"Amylotriose(439586, CHEBI:140999)",correlatively,1
human,Akkermansia(239934),genus,"Creatine(586, CHEBI:16919)",correlatively,1
human,Akkermansia(239934),genus,"Glycocholic acid(10140, CHEBI:17687)",causally,1
human,"Akkermansia muciniphila(239935)",species,"Acetate(175, CHEBI:30089)",causally,1
human,"Akkermansia muciniphila(239935)",species,"Propionate(104745, CHEBI:17272)",causally,1
human,Alistipes(239759),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,Alistipes(239759),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,Alistipes(239759),genus,"Isoallolithocholic acid(94228, CHEBI:166734)",causally,1
human,"Alistipes indistinctus(626932)",species,"(10-[(Acetyloxy)methyl]-9-anthryl)methyl acetate(613145)",causally,1
human,"Alistipes indistinctus(626932)",species,"Isovaleric acid(10430, CHEBI:28484)",causally,1
human,"Alistipes indistinctus(626932)",species,"Succinate(160419, CHEBI:30031)",causally,1
human,"Alistipes shahii(328814)",species,"Trimethylamine oxide(1145, CHEBI:15724)",correlatively,1
human,Allisonella(209879),genus,"procollagen type 1 n-terminal propeptide",causally,1
human,Allisonella(209879),genus,"type I collagen cross-linked c-telopeptide",causally,1
human,"Amedibacillus dolichus(31971)",species,"3-Indolepropionic acid(3744, CHEBI:43580)",causally,1
