C(CC(=O)O)[C@@H](C(=O)O)N cid33032
C[C@H]([C@@H](C(=O)O)N)O cid6288
CCC(=O)[O-] cid104745
C(CC(=O)[O-])C(=O)[O-] cid160419
CC1=NC=C(C(=C1O)C(=O)O)CO cid6723
CN(C)C cid1146
C1=CC=C(C=C1)CCC(=O)O cid107
C1=CC=C(C=C1)/C=C/C2=CC(=C(C=C2)O)O cid10176710
C1=CC(=CC=C1CCC2=CC(=CC(=C2)O)O)O cid185914
C1[C@H](COC2=C1C=CC(=C2)O)C3=CC=C(C=C3)O cid91469
C1=CC(=CC(=C1)O)CCC2=CC=C(C=C2)O cid181511
C1=CC(=C(C=C1CCCCC(=O)O)O)O cid49831816
C1=CC(=CC(=C1)O)CCCCC(=O)O cid10559720
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O cid444899
CC(=O)[O-] cid175
CCCC(=O)[O-] cid104775
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)CO)O)O)O)O cid92146
CN(CC(=O)O)C(=N)N cid586
C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C cid10140
C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C cid94228
CC(=O)OCC1=C2C=CC=CC2=C(C3=CC=CC=C31)COC(=O)C cid613145
CC(C)CC(=O)O cid10430
C[N+](C)(C)[O-] cid1145
C1=CC=C2C(=C1)C(=CN2)CCC(=O)O cid3744
CN1C2=C(N=CC(=C2)C3=CC=CC=C3)[N+]4=C1NC(CC4)O.[Cl-] cid129849310
C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C cid9903
C1=CC=C(C=C1)C(=O)[O-] cid242
C1=CC(=CC=C1C[C@H](C(=O)[O-])O)O cid9548632
CCOC(=O)[C@H](CC1=CC=CC=C1)O cid9877619
C[C@H]1CCCC(CC(=O)C2=C(CC(=O)O1)C=C(C=C2O)O)OC cid10381440
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O cid5280804
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H](CO[C@H]2OC(=O)[C@]34CCC(C[C@H]3C5=CC[C@H]6[C@]([C@@]5(C[C@H]4O)C)(CC[C@@H]7[C@@]6(C[C@@H]([C@@H](C7(CO)CO)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)C)C)(C)C)O)O)O)O)O[C@H]9[C@@H]([C@H]([C@@H](CO9)O)O[C@H]1[C@@H]([C@](CO1)(CO)O)O)O cid162859
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O cid5280343
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O)O cid5282160
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O cid5280459
C1=CC(=C(C=C1C2C(C(C3=C(C=C(C=C3O2)O)O)O)O)O)O cid71629
C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O cid5281708
