"Source"	"Target"
"PDE4B"	"999"
"PDE4B"	"11005"
"PDE4B"	"135398658"
"PDE4B"	"439763"
"PDE4B"	"445580"
"PDE4B"	"102066451"
"PDE4B"	"104775"
"PDE4B"	"115089"
"PDE4B"	"1188"
"PDE4B"	"13580"
"PDE4B"	"147608"
"PDE4B"	"159660"
"PDE4B"	"176907"
"PDE4B"	"25201019"
"PDE4B"	"3587356"
"PDE4B"	"4183249"
"PDE4B"	"444873"
"PDE4B"	"4615423"
"PDE4B"	"480764"
"PDE4B"	"500189"
"PDE4B"	"5280443"
"PDE4B"	"5281607"
"PDE4B"	"5282160"
"PDE4B"	"5315606"
"PDE4B"	"5317750"
"PDE4B"	"5318980"
"PDE4B"	"5610"
"PDE4B"	"586"
"PDE4B"	"5950"
"PDE4B"	"602"
"PDE4B"	"6140"
"PDE4B"	"61503"
"PDE4B"	"6287"
"PDE4B"	"681"
"PDE4B"	"79041"
"PDE4B"	"8892"
"PDE4B"	"91"
"PDE4B"	"92904"
"PDE4B"	"96384"
"PDE4B"	"nocid16"
"PDE4B"	"nocid17"
"PDE4B"	"R-HSA-111885"
"PDE4B"	"HSA00230  "
"PDE4B"	"HSA04928  "
"PDE4B"	"HSA05032  "
"MDD"	"HSA00232"
"MDD"	"HSA00630"
"MDD"	"HSA00650"
"MDD"	"HSA01100"
"MDD"	"HSA04010"
"MDD"	"HSA04024"
"MDD"	"HSA04060"
"MDD"	"HSA04080"
"MDD"	"HSA04146"
"MDD"	"HSA04211"
"MDD"	"HSA04540"
"MDD"	"HSA04713"
"MDD"	"HSA04724"
"MDD"	"HSA04726"
"MDD"	"HSA04911"
"MDD"	"HSA04915"
"MDD"	"HSA05010"
"MDD"	"HSA05162"
"MDD"	"HSA05412"
"MDD"	"R-HSA-110313"
"MDD"	"R-HSA-112310"
"MDD"	"R-HSA-112399"
"MDD"	"R-HSA-114604"
"MDD"	"R-HSA-1169410"
"MDD"	"R-HSA-1280218"
"MDD"	"R-HSA-1430728"
"MDD"	"R-HSA-1643685"
"MDD"	"R-HSA-166520"
"MDD"	"R-HSA-168249"
"MDD"	"R-HSA-169893"
"MDD"	"R-HSA-170968"
"MDD"	"R-HSA-180292"
"MDD"	"R-HSA-180336"
"MDD"	"R-HSA-187706"
"MDD"	"R-HSA-2730905"
"MDD"	"R-HSA-373076"
"MDD"	"R-HSA-375280"
"MDD"	"R-HSA-392451"
"MDD"	"R-HSA-416476"
"MDD"	"R-HSA-451927"
"MDD"	"R-HSA-73893"
"MDD"	"R-HSA-73894"
"MDD"	"R-HSA-74259"
"MDD"	"R-HSA-8866376"
"MDD"	"R-HSA-913531"
"MDD"	"R-HSA-936440"
"Alistipes"	"MDD"
"Megamonas"	"MDD"
"Faecalibacterium"	"MDD"
"Prevotella"	"MDD"
"Bifidobacterium"	"MDD"
"Eggerthella"	"MDD"
"Enterobacteriaceae"	"MDD"
"Anaerobutyricum"	"129849310"
"Anaerobutyricum"	"104775"
"Bifidobacterium"	"5315606"
"Bifidobacterium"	"91"
"Bifidobacterium"	"13580"
"Bifidobacterium"	"nocid7"
"Bifidobacterium"	"nocid8"
"Bifidobacterium"	"135398658"
"Bifidobacterium"	"159660"
"Bifidobacterium"	"999"
"Bifidobacterium"	"104775"
"Bifidobacterium"	"5317750"
"Bifidobacterium"	"25201019"
"Candidatus"	"11005"
"Christensenella"	"104775"
"Christensenellaceae"	"586"
"Citrobacter"	"8892"
"Eggerthella"	"115089"
"Enterococcus"	"681"
"Enterococcus"	"5610"
"Eubacteriales"	"104775"
"Faecalibacterium"	"104775"
"Faecalibacterium"	"61503"
"Flavonifractor"	"nocid16"
"Flavonifractor"	"nocid17"
"Flavonifractor"	"nocid18"
"Flavonifractor"	"nocid20"
"Flavonifractor"	"129849310"
"Fusobacterium"	"439183"
"Lactococcus"	"176907"
"Latilactobacillus"	"445580"
"Limosilactobacillus"	"176907"
"Limosilactobacillus"	"129849310"
"Methanobrevibacter"	"102066451"
"Oscillospiraceae"	"586"
"Oscillospiraceae"	"3587356"
"Parvimonas"	"6287"
"Peptostreptococcus"	"11005"
"Prevotella"	"445580"
"Prevotella"	"3587356"
"Pseudobutyrivibrio"	"104775"
"uncultured"	"586"
"Wickerhamiella"	"439763"
