"name"	"type"	"layer"
"Acinetobacter"	"Species"	1
"Actinomycetota"	"Species"	1
"Adlercreutzia"	"Species"	1
"Alistipes"	"Species"	1
"Amedibacillus"	"Species"	1
"Anaerobutyricum"	"Species"	1
"Anaerotignum"	"Species"	1
"Bifidobacterium"	"Species"	1
"Candidatus"	"Species"	1
"Caproiciproducens"	"Species"	1
"Catenibacterium"	"Species"	1
"Christensenella"	"Species"	1
"Christensenellaceae"	"Species"	1
"Citrobacter"	"Species"	1
"Dysgonomonas"	"Species"	1
"Eggerthella"	"Species"	1
"Emergencia"	"Species"	1
"Enterococcus"	"Species"	1
"Eubacteriales"	"Species"	1
"Faecalibacterium"	"Species"	1
"Flavonifractor"	"Species"	1
"Fusobacterium"	"Species"	1
"Holdemanella"	"Species"	1
"Intestinimonas"	"Species"	1
"Lactiplantibacillus"	"Species"	1
"Lactococcus"	"Species"	1
"Latilactobacillus"	"Species"	1
"Limosilactobacillus"	"Species"	1
"Mediterraneibacter"	"Species"	1
"Methanobrevibacter"	"Species"	1
"Microbacterium"	"Species"	1
"Odoribacter"	"Species"	1
"Oscillospiraceae"	"Species"	1
"Paraeggerthella"	"Species"	1
"Paraprevotella"	"Species"	1
"Parvimonas"	"Species"	1
"Peptostreptococcus"	"Species"	1
"Prevotella"	"Species"	1
"Proteus"	"Species"	1
"Pseudobutyrivibrio"	"Species"	1
"Shigella"	"Species"	1
"Slackia"	"Species"	1
"Subdoligranulum"	"Species"	1
"Thomasclavelia"	"Species"	1
"Turicibacter"	"Species"	1
"uncultured"	"Species"	1
"Veillonellaceae"	"Species"	1
"Wickerhamiella"	"Species"	1
"104775"	"Metabolite"	3
"586"	"Metabolite"	3
"129849310"	"Metabolite"	3
"5282160"	"Metabolite"	3
"5318980"	"Metabolite"	3
"92904"	"Metabolite"	3
"3587356"	"Metabolite"	3
"1188"	"Metabolite"	3
"602"	"Metabolite"	3
"5315606"	"Metabolite"	3
"91"	"Metabolite"	3
"13580"	"Metabolite"	3
"nocid7"	"Metabolite"	3
"nocid8"	"Metabolite"	3
"135398658"	"Metabolite"	3
"159660"	"Metabolite"	3
"999"	"Metabolite"	3
"5317750"	"Metabolite"	3
"25201019"	"Metabolite"	3
"8892"	"Metabolite"	3
"5950"	"Metabolite"	3
"500189"	"Metabolite"	3
"115089"	"Metabolite"	3
"nocid9"	"Metabolite"	3
"5280443"	"Metabolite"	3
"5281607"	"Metabolite"	3
"11005"	"Metabolite"	3
"96384"	"Metabolite"	3
"4183249"	"Metabolite"	3
"444873"	"Metabolite"	3
"176907"	"Metabolite"	3
"681"	"Metabolite"	3
"5610"	"Metabolite"	3
"79041"	"Metabolite"	3
"480764"	"Metabolite"	3
"147608"	"Metabolite"	3
"nocid11"	"Metabolite"	3
"61503"	"Metabolite"	3
"nocid16"	"Metabolite"	3
"nocid17"	"Metabolite"	3
"nocid18"	"Metabolite"	3
"nocid20"	"Metabolite"	3
"439183"	"Metabolite"	3
"445580"	"Metabolite"	3
"102066451"	"Metabolite"	3
"4615423"	"Metabolite"	3
"6287"	"Metabolite"	3
"6140"	"Metabolite"	3
"1031"	"Metabolite"	3
"439763"	"Metabolite"	3
"PDE4B"	"Gene"	4
"Megamonas"	"Species"	1
"Enterobacteriaceae"	"Species"	1
"MDD"	"Disorder"	4
"HSA00232"	"Pathway"	2
"HSA00630"	"Pathway"	2
"HSA00650"	"Pathway"	2
"HSA01100"	"Pathway"	2
"HSA04010"	"Pathway"	2
"HSA04024"	"Pathway"	2
"HSA04060"	"Pathway"	2
"HSA04080"	"Pathway"	2
"HSA04146"	"Pathway"	2
"HSA04211"	"Pathway"	2
"HSA04540"	"Pathway"	2
"HSA04713"	"Pathway"	2
"HSA04724"	"Pathway"	2
"HSA04726"	"Pathway"	2
"HSA04911"	"Pathway"	2
"HSA04915"	"Pathway"	2
"HSA05010"	"Pathway"	2
"HSA05162"	"Pathway"	2
"HSA05412"	"Pathway"	2
"R-HSA-110313"	"Pathway"	2
"R-HSA-112310"	"Pathway"	2
"R-HSA-112399"	"Pathway"	2
"R-HSA-114604"	"Pathway"	2
"R-HSA-1169410"	"Pathway"	2
"R-HSA-1280218"	"Pathway"	2
"R-HSA-1430728"	"Pathway"	2
"R-HSA-1643685"	"Pathway"	2
"R-HSA-166520"	"Pathway"	2
"R-HSA-168249"	"Pathway"	2
"R-HSA-169893"	"Pathway"	2
"R-HSA-170968"	"Pathway"	2
"R-HSA-180292"	"Pathway"	2
"R-HSA-180336"	"Pathway"	2
"R-HSA-187706"	"Pathway"	2
"R-HSA-2730905"	"Pathway"	2
"R-HSA-373076"	"Pathway"	2
"R-HSA-375280"	"Pathway"	2
"R-HSA-392451"	"Pathway"	2
"R-HSA-416476"	"Pathway"	2
"R-HSA-451927"	"Pathway"	2
"R-HSA-73893"	"Pathway"	2
"R-HSA-73894"	"Pathway"	2
"R-HSA-74259"	"Pathway"	2
"R-HSA-8866376"	"Pathway"	2
"R-HSA-913531"	"Pathway"	2
"R-HSA-936440"	"Pathway"	2
"HSA00230  "	"Pathway"	2
"HSA04928  "	"Pathway"	2
"HSA05032  "	"Pathway"	2
"R-HSA-111885"	"Pathway"	2
