"Source"	"Target"
"RARB"	"3-Hydroxybenzoic acid"
"RARB"	"Capric Acid"
"RARB"	"3,4-Dihydroxybenzoic acid"
"RARB"	"3-(4-Hydroxyphenyl)propionic acid"
"RARB"	"4-Hydroxybenzoic acid"
"RARB"	"Linoleic Acid"
"RARB"	"Gondoic Acid"
"RARB"	"Valeric acid"
"RARB"	"5-(3,4-Dihydroxyphenyl)pentanoic acid"
"RARB"	"Caproic Acid"
"RARB"	"3-Phenylpropionic acid"
"RARB"	"Myristic Acid"
"RARB"	"3,4-Dihydroxy-trans-stilbene"
"RARB"	"Palmitoleic Acid"
"RARB"	"5-(3-hydroxyphenyl)pentanoic Acid"
"RARB"	"Palmitic Acid"
"RARB"	"Caffeic Acid"
"RARB"	"Oleic Acid"
"RARB"	"Tretinoin"
"RARB"	"Chenodiol"
"RARB"	"Glycocholic acid"
"RARB"	"Glycoursodeoxycholic acid"
"RARB"	"Glycochenodeoxycholic acid"
"RARB"	"Benzoate"
"RARB"	"Ursodiol"
"RARB"	"Arachidonic Acid"
"RARB"	"Doconexent"
"RARB"	"Isoallolithocholic acid"
"RARB"	"Lithocholic acid"
"RARB"	"Dihydroglycitein"
"RARB"	"Cohibin B"
"RARB"	"Indoxyl sulfate"
"RARB"	"1,6-di-O-phosphono-beta-D-fructofuranose"
"RARB"	"Propylene Glycol"
"RARB"	"10-Oxo-11-octadecenoic acid"
"RARB"	"11-Methoxycurvularin"
"RARB"	"Isovaleric acid"
"RARB"	"Loganetin"
"RARB"	"Propionate"
"RARB"	"Butyrate"
"RARB"	"Pyruvate"
"RARB"	"(20S)-Protopanaxadiol"
"RARB"	"Thymine"
"RARB"	"Trimethylamine oxide"
"RARB"	"Valerate"
"RARB"	"Tryptamine"
"RARB"	"Enterodiol"
"RARB"	"Ginsenoside Rd"
"RARB"	"Xanthine"
"RARB"	"Gamma-Aminobutyric Acid"
"RARB"	"Ginsenoside Rh2"
"RARB"	"N-acetylputrescine"
"RARB"	"5-hydroxy-1H-imidazole-4-carboxamide"
"RARB"	"Glutathione"
"RARB"	"4-Methylpentanoic acid"
"RARB"	"L-homoserine"
"RARB"	"4-Hydroxyphenylacetic acid"
"RARB"	"Hydroxyquercitrin"
"RARB"	"4-[(Z)-15,16-dihydroxydotriacont-19-enyl]-2-methyl-2H-uran-5-one"
"RARB"	"D-Xylose"
"RARB"	"2'-Deoxyguanosine"
"RARB"	"2'-Deoxyinosine"
"RARB"	"Hypoxanthine"
"RARB"	"Folic Acid"
"RARB"	"7-Aminoheptanoic acid"
"RARB"	"1,3-Diphenylpropan-2-ol"
"RARB"	"Colibactin"
"RARB"	"Aglycone"
"RARB"	"Proline"
"RARB"	"Hesperetin dihydrochalcone"
"RARB"	"Tricarballylic acid"
"RARB"	"2-Amino-1-methyl-6-phenylimidazo(4,5-b)pyridine"
"RARB"	"(R)-(+)-Lactamide"
"RARB"	"p-Cresol glucuronide"
"RARB"	"n,n,n-Trimethyllysine"
"RARB"	"Succinate"
"RARB"	"3-Hydroxy-2-methylbutanoic acid"
"RARB"	"Allocholic acid"
"RARB"	"Platycodin D"
"RARB"	"Dihydrodaidzein"
"RARB"	"Acetoin"
"RARB"	"Lunularin"
"RARB"	"5-Hydroxyindole-3-acetic acid"
"RARB"	"Dihydroresveratrol"
"RARB"	"5-Methoxyindole-3-acetic acid"
"RARB"	"2-hydroxy-3-(5-hydroxy-1H-indol-3-yl)propanoic acid"
"RARB"	"Agmatine"
"RARB"	"6'-Hydroxy-O-desmethylangolensin"
"RARB"	"3-(3',4'-Dihydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)-propan-2-ol"
"RARB"	"Deoxycholic Acid"
"RARB"	"2-Methylbutyrate"
"RARB"	"10-keto-12Z-octadecenoic acid"
"RARB"	"Ponciretin"
"RARB"	"2,3-Butanediol"
"RARB"	"Taurodeoxycholic acid"
"RARB"	"3-Hydroxy-4-methoxybenzenepropanoic acid"
"RARB"	"Citric Acid"
"RARB"	"Coumarin"
"RARB"	"3-(1H-indol-3-yl)propanoate"
"RARB"	"Glutamic Acid"
"RARB"	"Lariciresinol"
"RARB"	"Dihydrocaffeic acid"
"RARB"	"Isovalerate"
"RARB"	"Phloroglucinol"
"RARB"	"3-Indolepropionic acid"
"RARB"	"Acetyl phosphate(2-)"
"RARB"	"DL-Aspartic acid"
"RARB"	"N-acetylornithine"
"RARB"	"3-(3,4-Dihydroxyphenyl)-2-hydroxypropanoic acid"
"RARB"	"Bile acid"
"RARB"	"beta-D-fructofuranose"
"RARB"	"Taurolithocholic acid"
"RARB"	"Hexanoate"
"RARB"	"Lacto-N-tetraose"
"RARB"	"Genipin"
"RARB"	"2,4-Dioxopentanedioic acid"
"RARB"	"6-[(4R,5S)-5-methyl-2-oxoimidazolidin-4-yl]hexanoic acid"
"RARB"	"5-(3,4-Dihydroxyphenyl)-valerolactone"
"RARB"	"p-Cresol sulfate"
"RARB"	"Palmitoylethanolamide"
"RARB"	"Phloretin"
"RARB"	"8-Prenylnaringenin"
"RARB"	"2,3-Bis(3,4-dihydroxybenzyl)butyrolactone"
"RARB"	"N,O-Bis-(trimethylsilyl)phenylalanine"
"RARB"	"Quercetin"
"RARB"	"Acacetin"
"RARB"	"Apigenin"
"RARB"	"Luteolin"
"RARB"	"Quercitrin"
"RARB"	"Isoquercetin"
"RARB"	"Kaempferol"
"RARB"	"Naringenin chalcone"
"RARB"	"Genistein"
"RARB"	"Chrysin"
"RARB"	"Diosmetin"
"RARB"	"Norathyriol"
"RARB"	"Myricetin"
"RARB"	"Daidzein"
"RARB"	"Quercimeritrin"
"RARB"	"6,7,4'-Trihydroxyisoflavone"
"RARB"	"5-(3,4-Dihydroxyphenyl)-4-hydroxypentanoic acid"
"RARB"	"1-O-Caffeoylglycerol"
"RARB"	"Glycitein"
"RARB"	"Icaritin"
"RARB"	"20(R)-Ginsenoside Rh2"
"RARB"	"Sedoheptulose"
"RARB"	"L-lactate"
"RARB"	"Ascorbic Acid"
"RARB"	"3,4-Dihydroxyphenylacetic acid"
"RARB"	"Baohuoside I"
"RARB"	"Tyramine"
"RARB"	"1-18:1-lysoPE"
"RARB"	"Creatine"
