"Source"	"Target"
"PDE4B"	"64981"
"PDE4B"	"999"
"PDE4B"	"384870"
"PDE4B"	"127"
"PDE4B"	"101101166"
"PDE4B"	"10258"
"PDE4B"	"10308378"
"PDE4B"	"10381440"
"PDE4B"	"11005"
"PDE4B"	"11213350"
"PDE4B"	"135398638"
"PDE4B"	"135398658"
"PDE4B"	"139597845"
"PDE4B"	"2733768"
"PDE4B"	"3081033"
"PDE4B"	"439763"
"PDE4B"	"444899"
"PDE4B"	"445580"
"PDE4B"	"445639"
"PDE4B"	"5481990"
"PDE4B"	"6675"
"PDE4B"	"9920281"
"PDE4B"	"99474"
"PDE4B"	"10133"
"PDE4B"	"10140"
"PDE4B"	"10176710"
"PDE4B"	"102066451"
"PDE4B"	"10267"
"PDE4B"	"1030"
"PDE4B"	"10376459"
"PDE4B"	"10394"
"PDE4B"	"10430"
"PDE4B"	"10466307"
"PDE4B"	"104745"
"PDE4B"	"104775"
"PDE4B"	"10559720"
"PDE4B"	"107"
"PDE4B"	"107735"
"PDE4B"	"1135"
"PDE4B"	"1145"
"PDE4B"	"114781"
"PDE4B"	"1150"
"PDE4B"	"115089"
"PDE4B"	"11679800"
"PDE4B"	"1188"
"PDE4B"	"119"
"PDE4B"	"119307"
"PDE4B"	"122356"
"PDE4B"	"12310288"
"PDE4B"	"124343"
"PDE4B"	"124886"
"PDE4B"	"12544"
"PDE4B"	"12587"
"PDE4B"	"12647"
"PDE4B"	"129887767"
"PDE4B"	"131751737"
"PDE4B"	"135"
"PDE4B"	"135191"
"PDE4B"	"135398592"
"PDE4B"	"135398593"
"PDE4B"	"13580"
"PDE4B"	"138478"
"PDE4B"	"138805674"
"PDE4B"	"145742"
"PDE4B"	"147608"
"PDE4B"	"14925"
"PDE4B"	"1530"
"PDE4B"	"1530236"
"PDE4B"	"154035"
"PDE4B"	"159660"
"PDE4B"	"160419"
"PDE4B"	"160471"
"PDE4B"	"160636"
"PDE4B"	"162859"
"PDE4B"	"176907"
"PDE4B"	"179"
"PDE4B"	"181511"
"PDE4B"	"1826"
"PDE4B"	"185914"
"PDE4B"	"18986"
"PDE4B"	"192215"
"PDE4B"	"199"
"PDE4B"	"20601635"
"PDE4B"	"21722175"
"PDE4B"	"222528"
"PDE4B"	"22253297"
"PDE4B"	"242"
"PDE4B"	"24970825"
"PDE4B"	"25201019"
"PDE4B"	"262"
"PDE4B"	"2752054"
"PDE4B"	"2969"
"PDE4B"	"311"
"PDE4B"	"31401"
"PDE4B"	"323"
"PDE4B"	"3292996"
"PDE4B"	"33032"
"PDE4B"	"332427"
"PDE4B"	"348154"
"PDE4B"	"3587356"
"PDE4B"	"359"
"PDE4B"	"3744"
"PDE4B"	"4183249"
"PDE4B"	"424"
"PDE4B"	"439232"
"PDE4B"	"439435"
"PDE4B"	"439520"
"PDE4B"	"439586"
"PDE4B"	"439709"
"PDE4B"	"4398339"
"PDE4B"	"440993"
"PDE4B"	"442424"
"PDE4B"	"444873"
"PDE4B"	"445027"
"PDE4B"	"445638"
"PDE4B"	"445881"
"PDE4B"	"45093073"
"PDE4B"	"4615423"
"PDE4B"	"4671"
"PDE4B"	"4788"
"PDE4B"	"480764"
"PDE4B"	"49831816"
"PDE4B"	"500189"
"PDE4B"	"522502"
"PDE4B"	"5280343"
"PDE4B"	"5280442"
"PDE4B"	"5280443"
"PDE4B"	"5280445"
"PDE4B"	"5280450"
"PDE4B"	"5280459"
"PDE4B"	"5280804"
"PDE4B"	"5280863"
"PDE4B"	"5280960"
"PDE4B"	"5280961"
"PDE4B"	"5281607"
"PDE4B"	"5281612"
"PDE4B"	"5281656"
"PDE4B"	"5281672"
"PDE4B"	"5281708"
"PDE4B"	"5282160"
"PDE4B"	"5282768"
"PDE4B"	"5284649"
"PDE4B"	"52920332"
"PDE4B"	"5315606"
"PDE4B"	"5317750"
"PDE4B"	"5318980"
"PDE4B"	"54580480"
"PDE4B"	"5459879"
"PDE4B"	"5460161"
"PDE4B"	"54670067"
"PDE4B"	"547"
"PDE4B"	"5488822"
"PDE4B"	"5610"
"PDE4B"	"58177709"
"PDE4B"	"586"
"PDE4B"	"5862"
"PDE4B"	"5950"
"PDE4B"	"5951"
"PDE4B"	"5960"
"PDE4B"	"602"
"PDE4B"	"6047"
"PDE4B"	"6057"
"PDE4B"	"6106"
"PDE4B"	"613145"
"PDE4B"	"6137"
"PDE4B"	"6140"
"PDE4B"	"61503"
"PDE4B"	"6262"
"PDE4B"	"6267"
"PDE4B"	"6274"
"PDE4B"	"6287"
"PDE4B"	"6288"
