"name"	"type"	"layer"
"F3"	"Gene"	1
"FOS"	"Gene"	1
"20(R)-Ginsenoside Rh2"	"Metabolite"	2
"Ginsenoside Rh2"	"Metabolite"	2
"Ginsenoside Rd"	"Metabolite"	2
"Platycodin D"	"Metabolite"	2
"Caffeic Acid"	"Metabolite"	2
"Naringenin chalcone"	"Metabolite"	2
"Dihydroglycitein"	"Metabolite"	2
"Dihydrodaidzein"	"Metabolite"	2
"Lunularin"	"Metabolite"	2
"Dihydroresveratrol"	"Metabolite"	2
"Phloretin"	"Metabolite"	2
"8-Prenylnaringenin"	"Metabolite"	2
"2,3-Bis(3,4-dihydroxybenzyl)butyrolactone"	"Metabolite"	2
"Arctigenin"	"Metabolite"	2
"Equol"	"Metabolite"	2
"5,7-Dihydroxy-2-(4-hydroxyphenyl)chroman-4-one"	"Metabolite"	2
"5-OH-Equol"	"Metabolite"	2
"Lariciresinol"	"Metabolite"	2
"(2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)-propan-2-ol"	"Metabolite"	2
"3-(3,4-Dihydroxyphenyl)-2-hydroxypropanoic acid"	"Metabolite"	2
"5-(3,4-Dihydroxyphenyl)-4-hydroxypentanoic acid"	"Metabolite"	2
"1-O-Caffeoylglycerol"	"Metabolite"	2
"3-(3',4'-Dihydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)-propan-2-ol"	"Metabolite"	2
"Levodopa"	"Metabolite"	2
"Secoisolariciresinol"	"Metabolite"	2
"(4R)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid"	"Metabolite"	2
"(2S)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol"	"Metabolite"	2
"3,4-Dihydroxy-trans-stilbene"	"Metabolite"	2
"3-Hydroxy-4-methoxybenzenepropanoic acid"	"Metabolite"	2
"Hesperetin dihydrochalcone"	"Metabolite"	2
"(4S)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid"	"Metabolite"	2
"Dopamine"	"Metabolite"	2
"3,4-Dihydroxyphenylacetic acid"	"Metabolite"	2
"Adlercreutzia"	"Species"	3
"Bacillus"	"Species"	3
"Bacteroides"	"Species"	3
"Bifidobacterium"	"Species"	3
"Blautia"	"Species"	3
"Clostridium"	"Species"	3
"Eggerthella"	"Species"	3
"Eggerthella."	"Species"	3
"Enterococcus"	"Species"	3
"Escherichia"	"Species"	3
"Eubacterium"	"Species"	3
"Finegoldia"	"Species"	3
"Flavonifractor"	"Species"	3
"Fusobacterium"	"Species"	3
"human"	"Species"	3
"Lacticaseibacillus"	"Species"	3
"Lactiplantibacillus"	"Species"	3
"Lactobacillus"	"Species"	3
"Lactococcus"	"Species"	3
"Limosilactobacillus"	"Species"	3
"Parabacteroides"	"Species"	3
"Paraeggerthella"	"Species"	3
"Phocaeicola"	"Species"	3
"Slackia"	"Species"	3
"Streptococcus"	"Species"	3
"Veillonella"	"Species"	3
"MDD"	"Disorder"	4
"AGE-RAGE signaling pathway in diabetic complications"	"Pathway"	5
"MAPK signaling pathway"	"Pathway"	5
"cAMP signaling pathway"	"Pathway"	5
"Th1 and Th2 cell differentiation"	"Pathway"	5
"Th17 cell differentiation"	"Pathway"	5
"T cell receptor signaling pathway"	"Pathway"	5
"TNF signaling pathway"	"Pathway"	5
"Circadian entrainment"	"Pathway"	5
"Cholinergic synapse"	"Pathway"	5
"Dopaminergic synapse"	"Pathway"	5
"Estrogen signaling pathway"	"Pathway"	5
"Oxytocin signaling pathway"	"Pathway"	5
"Amphetamine addiction"	"Pathway"	5
"Measles"	"Pathway"	5
"Fluid shear stress and atherosclerosis"	"Pathway"	5
"Hemostasis"	"Pathway"	5
"Signal Transduction"	"Pathway"	5
"Signaling by Interleukins"	"Pathway"	5
"Cytokine Signaling in Immune system"	"Pathway"	5
"Generic Transcription Pathway"	"Pathway"	5
"FCERI mediated MAPK activation"	"Pathway"	5
"Fc epsilon receptor (FCERI) signaling"	"Pathway"	5
"Immune System"	"Pathway"	5
"Cellular responses to stress"	"Pathway"	5
"Innate Immune System"	"Pathway"	5
