Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9634638,"Estrogen-dependent nuclear events downstream of ESR-membrane signaling",2,29,0.0018057285180572852,3.2606554809522237E-6,2.672147876335851E-4,2,12,7.715057220007715E-4,9606,Homo sapiens,"FOS","","R-HSA-9625479;R-HSA-9625465"
R-HSA-9768919,"NPAS4 regulates expression of target genes",2,41,0.002552926525529265,6.517433844721587E-6,2.672147876335851E-4,2,35,0.0022502250225022503,9606,Homo sapiens,"FOS","","R-HSA-9768950;R-HSA-9768945"
R-HSA-9634815,"Transcriptional Regulation by NPAS4",2,60,0.0037359900373599006,1.3957621559201883E-5,3.7685578209845083E-4,2,46,0.0029574386010029576,9606,Homo sapiens,"FOS","","R-HSA-9768950;R-HSA-9768945"
R-HSA-9009391,"Extra-nuclear estrogen signaling",2,112,0.006973848069738481,4.863455689974039E-5,9.726911379948078E-4,2,39,0.0025073935965025072,9606,Homo sapiens,"FOS","","R-HSA-9625479;R-HSA-9625465"
R-HSA-6785807,"Interleukin-4 and Interleukin-13 signaling",2,211,0.013138231631382316,1.7261313039984572E-4,0.0027618100863975314,1,47,0.0030217307445030215,9606,Homo sapiens,"FOS","","R-HSA-6790036"
R-HSA-8939211,"ESR-mediated signaling",2,257,0.016002490660024907,2.5607970732421936E-4,0.0033290361952148517,4,114,0.007329304359007329,9606,Homo sapiens,"FOS","","R-HSA-9009371;R-HSA-9625479;R-HSA-9625465;R-HSA-9009378"
R-HSA-9006931,"Signaling by Nuclear Receptors",2,383,0.023848069738480696,5.687304302514073E-4,0.005975350840326854,4,195,0.012536967982512536,9606,Homo sapiens,"FOS","","R-HSA-9009371;R-HSA-9625479;R-HSA-9625465;R-HSA-9009378"
R-HSA-450341,"Activation of the AP-1 family of transcription factors",1,12,7.471980074719801E-4,0.0014938377100817135,0.005975350840326854,2,5,3.2146071750032145E-4,9606,Homo sapiens,"FOS","","R-HSA-450292;R-HSA-450325"
R-HSA-449147,"Signaling by Interleukins",2,646,0.0402241594022416,0.001617982999616907,0.006471931998467628,3,505,0.032467532467532464,9606,Homo sapiens,"FOS","","R-HSA-450292;R-HSA-450325;R-HSA-6790036"
R-HSA-450282,"MAPK targets/ Nuclear events mediated by MAP kinases",1,35,0.0021793275217932753,0.004353905575139372,0.008707811150278744,2,16,0.0010286742960010286,9606,Homo sapiens,"FOS","","R-HSA-450292;R-HSA-450325"
