"name"	"type"	"layer"
"FGFR3"	"Gene"	4
"Serotonin"	"Metabolite"	3
"Skatole"	"Metabolite"	3
"Indole-3-carboxylic acid"	"Metabolite"	3
"Dihydroglycitein"	"Metabolite"	3
"Chenodiol"	"Metabolite"	3
"Glycocholic acid"	"Metabolite"	3
"3,4-Dihydroxy-trans-stilbene"	"Metabolite"	3
"Cohibin B"	"Metabolite"	3
"Indoxyl sulfate"	"Metabolite"	3
"1,6-di-O-phosphono-beta-D-fructofuranose"	"Metabolite"	3
"Propylene Glycol"	"Metabolite"	3
"10-Oxo-11-octadecenoic acid"	"Metabolite"	3
"11-Methoxycurvularin"	"Metabolite"	3
"3-(4-Hydroxyphenyl)propionic acid"	"Metabolite"	3
"Isovaleric acid"	"Metabolite"	3
"Loganetin"	"Metabolite"	3
"Propionate"	"Metabolite"	3
"Butyrate"	"Metabolite"	3
"5-(3-hydroxyphenyl)pentanoic Acid"	"Metabolite"	3
"3-Phenylpropionic acid"	"Metabolite"	3
"Pyruvate"	"Metabolite"	3
"Myristic Acid"	"Metabolite"	3
"(20S)-Protopanaxadiol"	"Metabolite"	3
"Thymine"	"Metabolite"	3
"Trimethylamine oxide"	"Metabolite"	3
"Valerate"	"Metabolite"	3
"Tryptamine"	"Metabolite"	3
"Enterodiol"	"Metabolite"	3
"Ginsenoside Rd"	"Metabolite"	3
"Xanthine"	"Metabolite"	3
"Gamma-Aminobutyric Acid"	"Metabolite"	3
"Ginsenoside Rh2"	"Metabolite"	3
"N-acetylputrescine"	"Metabolite"	3
"Glycoursodeoxycholic acid"	"Metabolite"	3
"5-hydroxy-1H-imidazole-4-carboxamide"	"Metabolite"	3
"Glutathione"	"Metabolite"	3
"Glycochenodeoxycholic acid"	"Metabolite"	3
"4-Methylpentanoic acid"	"Metabolite"	3
"L-homoserine"	"Metabolite"	3
"4-Hydroxyphenylacetic acid"	"Metabolite"	3
"Hydroxyquercitrin"	"Metabolite"	3
"4-[(Z)-15,16-dihydroxydotriacont-19-enyl]-2-methyl-2H-uran-5-one"	"Metabolite"	3
"4-Hydroxybenzoic acid"	"Metabolite"	3
"D-Xylose"	"Metabolite"	3
"2'-Deoxyguanosine"	"Metabolite"	3
"2'-Deoxyinosine"	"Metabolite"	3
"Hypoxanthine"	"Metabolite"	3
"Folic Acid"	"Metabolite"	3
"7-Aminoheptanoic acid"	"Metabolite"	3
"1,3-Diphenylpropan-2-ol"	"Metabolite"	3
"Colibactin"	"Metabolite"	3
"Aglycone"	"Metabolite"	3
"Proline"	"Metabolite"	3
"Hesperetin dihydrochalcone"	"Metabolite"	3
"Tricarballylic acid"	"Metabolite"	3
"2-Amino-1-methyl-6-phenylimidazo(4,5-b)pyridine"	"Metabolite"	3
"(R)-(+)-Lactamide"	"Metabolite"	3
"p-Cresol glucuronide"	"Metabolite"	3
"n,n,n-Trimethyllysine"	"Metabolite"	3
"Succinate"	"Metabolite"	3
"3-Hydroxy-2-methylbutanoic acid"	"Metabolite"	3
"Allocholic acid"	"Metabolite"	3
"Platycodin D"	"Metabolite"	3
"Dihydrodaidzein"	"Metabolite"	3
"Acetoin"	"Metabolite"	3
"Lunularin"	"Metabolite"	3
"5-Hydroxyindole-3-acetic acid"	"Metabolite"	3
