Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-2033514,"FGFR3 mutant receptor activation",3,14,0.001158652652486965,1.5554633137071505E-9,2.955380296043586E-8,10,10,6.53893938403191E-4,9606,Homo sapiens,"FGFR3","P22607-2;P22607;P22607-1","R-HSA-2033485;R-HSA-8853317;R-HSA-2012074;R-HSA-2012073;R-HSA-2012084;R-HSA-8853309;R-HSA-2033476;R-HSA-2012082;R-HSA-2038387;R-HSA-2038386"
R-HSA-1839130,"Signaling by activated point mutants of FGFR3",3,14,0.001158652652486965,1.5554633137071505E-9,2.955380296043586E-8,6,6,3.923363630419146E-4,9606,Homo sapiens,"FGFR3","P22607-2;P22607;P22607-1","R-HSA-2033485;R-HSA-2012074;R-HSA-2012073;R-HSA-2012084;R-HSA-2033476;R-HSA-2012082"
R-HSA-5655332,"Signaling by FGFR3 in disease",3,25,0.0020690225937267234,8.857184652377725E-9,1.1514340048091043E-7,21,21,0.0013731772706467012,9606,Homo sapiens,"FGFR3","P22607-2;P22607;P22607-1","R-HSA-8853317;R-HSA-5655285;R-HSA-5655315;R-HSA-5655262;R-HSA-5655295;R-HSA-2012084;R-HSA-2012082;R-HSA-2038387;R-HSA-2038386;R-HSA-5655289;R-HSA-5655270;R-HSA-2033485;R-HSA-2077420;R-HSA-2012074;R-HSA-2012073;R-HSA-5655247;R-HSA-5655244;R-HSA-8853309;R-HSA-2033476;R-HSA-5655277;R-HSA-5655243"
R-HSA-1226099,"Signaling by FGFR in disease",3,73,0.006041545973682032,2.205181061087913E-7,1.9846629549791217E-6,21,99,0.0064735499901915905,9606,Homo sapiens,"FGFR3","P22607-2;P22607;P22607-1","R-HSA-8853317;R-HSA-5655285;R-HSA-5655315;R-HSA-5655262;R-HSA-5655295;R-HSA-2012084;R-HSA-2012082;R-HSA-2038387;R-HSA-2038386;R-HSA-5655289;R-HSA-5655270;R-HSA-2033485;R-HSA-2077420;R-HSA-2012074;R-HSA-2012073;R-HSA-5655247;R-HSA-5655244;R-HSA-8853309;R-HSA-2033476;R-HSA-5655277;R-HSA-5655243"
R-HSA-5654227,"Phospholipase C-mediated cascade; FGFR3",2,14,0.001158652652486965,4.024316980655307E-6,2.4145901883931842E-5,3,3,1.961681815209573E-4,9606,Homo sapiens,"FGFR3","P22607-2;P22607-1","R-HSA-5654148;R-HSA-5654224;R-HSA-5654222"
R-HSA-190239,"FGFR3 ligand binding and activation",2,14,0.001158652652486965,4.024316980655307E-6,2.4145901883931842E-5,4,6,3.923363630419146E-4,9606,Homo sapiens,"FGFR3","P22607-2;P22607-1","R-HSA-190385;R-HSA-190263;R-HSA-190388;R-HSA-190261"
R-HSA-5654710,"PI-3K cascade:FGFR3",2,19,0.0015724571712323098,7.410088483039701E-6,3.6204853655963376E-5,6,7,4.577257568822337E-4,9606,Homo sapiens,"FGFR3","P22607-2;P22607-1","R-HSA-5654709;R-HSA-5654643;R-HSA-5654640;R-HSA-5654641;R-HSA-5654705;R-HSA-5654637"
R-HSA-5654704,"SHC-mediated cascade:FGFR3",2,21,0.0017379789787304476,9.051213413990844E-6,3.6204853655963376E-5,4,4,2.615575753612764E-4,9606,Homo sapiens,"FGFR3","P22607-2;P22607-1","R-HSA-5654646;R-HSA-5654647;R-HSA-5654625;R-HSA-5654634"
R-HSA-5654706,"FRS-mediated FGFR3 signaling",2,22,0.0018207398824795166,9.933209312307234E-6,3.9732837249228936E-5,9,9,5.885045445628719E-4,9606,Homo sapiens,"FGFR3","P22607-2;P22607-1","R-HSA-5654631;R-HSA-5654628;R-HSA-8941628;R-HSA-5654416;R-HSA-5654623;R-HSA-5654413;R-HSA-5654408;R-HSA-5654633;R-HSA-5654409"
R-HSA-5654708,"Downstream signaling of activated FGFR3",2,28,0.00231730530497393,1.6084824215889526E-5,4.825447264766858E-5,22,23,0.0015039560583273394,9606,Homo sapiens,"FGFR3","P22607-2;P22607-1","R-HSA-5654646;R-HSA-5654647;R-HSA-5654709;R-HSA-5654643;R-HSA-5654640;R-HSA-5654416;R-HSA-5654224;R-HSA-5654641;R-HSA-5654705;R-HSA-5654623;R-HSA-5654631;R-HSA-5654628;R-HSA-5654148;R-HSA-8941628;R-HSA-5654625;R-HSA-5654222;R-HSA-5654637;R-HSA-5654413;R-HSA-5654634;R-HSA-5654408;R-HSA-5654633;R-HSA-5654409"
R-HSA-5654732,"Negative regulation of FGFR3 signaling",2,30,0.002482827112472068,1.8462680981046198E-5,5.5388042943138593E-5,3,14,9.154515137644675E-4,9606,Homo sapiens,"FGFR3","P22607-2;P22607-1","R-HSA-5654679;R-HSA-5654565;R-HSA-5654730"
