Source	Target
GAPDH	5610
GAPDH	135398593
GAPDH	135398592
GAPDH	5202
GAPDH	681
GAPDH	3081033
GAPDH	6047
GAPDH	no7
GAPDH	14969
GAPDH	440993
SLC1A2	61503
SLC1A2	6306
SLC1A2	6106
SLC1A2	5862
SLC1A2	12647
SLC1A2	92258
SLC1A2	6267
SLC1A2	6137
SLC1A2	9877619
SLC1A2	6287
SLC1A2	6047
SLC1A2	33032
SLC1A2	424
SLC1A2	875
SLC1A2	107
SLC1A2	522502
SLC1A2	67678
SLC1A2	824
SLC1A2	6288
SLC1A2	84815
SLC1A2	5950
SLC1A2	6140
SLC1A2	6590
SLC1A2	5960
SLC1A2	602
SLC1A2	6262
SLC1A2	5951
SLC1A2	6057
SLC1A2	10140
SLC1A2	119
SLC1A2	12310288
SLC1A2	12544
SLC1A2	12587
SLC1A2	13580
SLC1A2	145742
SLC1A2	14925
SLC1A2	159660
SLC1A2	2752054
SLC1A2	311
SLC1A2	439232
SLC1A2	439435
SLC1A2	4398339
SLC1A2	444873
SLC1A2	5459879
SLC1A2	586
SLC1A2	6274
SLC1A2	6508
SLC1A2	6613
SLC1A2	849
SLC1A2	8892
SLC1A2	94228
SLC1A2	970
SLC1A2	9903
SLC1A2	154035
SLC1A2	65065
CHRM1	999
CHRM1	9877619
CHRM1	107
CHRM1	6140
CHRM1	10394
CHRM1	10661294
CHRM1	115089
CHRM1	127
CHRM1	129849310
CHRM1	129858541
CHRM1	162859
CHRM1	181511
CHRM1	18986
CHRM1	199
CHRM1	2969
CHRM1	440993
CHRM1	4829
CHRM1	522502
CHRM1	547
CHRM1	5610
CHRM1	58177709
CHRM1	6274
CHRM1	6971268
CHRM1	71352575
CHRM1	849
CHRM1	92258
CHRM1	9378
CHRM1	9548632
CHRM1	9750
CHRM1	9831622
CHRM1	no7
CHRM1	101101166
CHRM1	10133
CHRM1	10140
CHRM1	10176710
CHRM1	102066451
CHRM1	10258
CHRM1	10267
CHRM1	1030
CHRM1	10308378
CHRM1	1031
CHRM1	10381440
CHRM1	10430
CHRM1	10466307
CHRM1	104745
CHRM1	104775
CHRM1	10559720
CHRM1	107735
CHRM1	10802382
CHRM1	11005
CHRM1	11213350
CHRM1	1135
CHRM1	1145
CHRM1	1146
CHRM1	114781
CHRM1	1150
CHRM1	11679800
CHRM1	1188
CHRM1	119
CHRM1	119307
CHRM1	122356
CHRM1	12310288
CHRM1	124343
CHRM1	124886
CHRM1	12544
CHRM1	12587
CHRM1	12647
CHRM1	129887767
CHRM1	131751737
CHRM1	135
CHRM1	135191
CHRM1	135398592
CHRM1	135398593
CHRM1	135398638
CHRM1	135398658
CHRM1	13580
CHRM1	138478
CHRM1	138805674
CHRM1	139597845
CHRM1	145742
CHRM1	147608
CHRM1	14925
CHRM1	14969
CHRM1	150923
CHRM1	1530
CHRM1	1530236
CHRM1	153520426
CHRM1	154035
CHRM1	159660
CHRM1	160419
CHRM1	160471
CHRM1	160636
CHRM1	175
CHRM1	176907
CHRM1	179
CHRM1	1826
CHRM1	185914
CHRM1	18950
CHRM1	192215
CHRM1	20601635
CHRM1	21722175
CHRM1	222528
CHRM1	22253297
CHRM1	23676771
CHRM1	242
CHRM1	24970825
CHRM1	25201019
CHRM1	262
CHRM1	2733768
CHRM1	2752054
CHRM1	283
CHRM1	3081033
CHRM1	311
CHRM1	31401
CHRM1	321710
CHRM1	323
CHRM1	3292996
CHRM1	33032
CHRM1	332427
CHRM1	348154
CHRM1	3587356
CHRM1	359
CHRM1	36159
CHRM1	3744
CHRM1	3845
CHRM1	384870
CHRM1	402
CHRM1	4183249
CHRM1	424
CHRM1	439183
CHRM1	439232
CHRM1	439435
CHRM1	439520
CHRM1	439586
CHRM1	439709
CHRM1	439763
CHRM1	4398339
CHRM1	442424
CHRM1	444795
CHRM1	444873
CHRM1	444899
CHRM1	445027
CHRM1	445580
CHRM1	445638
CHRM1	445639
CHRM1	45093073
CHRM1	45093080
CHRM1	4615423
CHRM1	4671
CHRM1	4788
CHRM1	480764
CHRM1	49831816
CHRM1	500189
CHRM1	51576
CHRM1	5202
CHRM1	5280343
CHRM1	5280442
CHRM1	5280443
CHRM1	5280445
CHRM1	5280450
CHRM1	5280459
CHRM1	5280804
CHRM1	5280863
CHRM1	5280960
CHRM1	5280961
CHRM1	5281605
CHRM1	5281607
CHRM1	5281612
CHRM1	5281656
CHRM1	5281672
CHRM1	5281708
CHRM1	5282155
CHRM1	5282160
CHRM1	5282768
CHRM1	5284649
CHRM1	52920332
CHRM1	5315606
CHRM1	5317750
CHRM1	5318980
CHRM1	5327011
CHRM1	5375048
CHRM1	54580480
CHRM1	5459879
CHRM1	5460161
CHRM1	54670067
CHRM1	5481990
CHRM1	5488186
CHRM1	5488822
CHRM1	586
CHRM1	5862
CHRM1	5950
CHRM1	5951
CHRM1	5960
CHRM1	602
CHRM1	6047
CHRM1	6057
CHRM1	6106
CHRM1	613145
CHRM1	6137
CHRM1	61503
CHRM1	6262
CHRM1	6267
CHRM1	6287
CHRM1	6288
CHRM1	6306
CHRM1	64981
CHRM1	64982
CHRM1	650
CHRM1	65065
CHRM1	6508
CHRM1	65373
CHRM1	6590
CHRM1	6613
CHRM1	6675
CHRM1	6723
CHRM1	6736
CHRM1	67678
CHRM1	681
CHRM1	689043
CHRM1	6971058
CHRM1	6971271
CHRM1	69867
CHRM1	702
CHRM1	71629
CHRM1	72
CHRM1	7420
CHRM1	750
CHRM1	753
CHRM1	783
CHRM1	785
CHRM1	79041
CHRM1	798
