name	type	layer
Acidaminobacter	Species	3
Acidipropionibacterium	Species	3
Acinetobacter	Species	3
Actinomycetota	Species	3
Adlercreutzia	Species	3
Agathobacter	Species	3
Akkermansia	Species	3
Alistipes	Species	3
Allisonella	Species	3
Amedibacillus	Species	3
Anaerobutyricum	Species	3
Anaerostipes	Species	3
Anaerotignum	Species	3
Bacillota	Species	3
Bacillus	Species	3
bacterium	Species	3
Bacteroides	Species	3
Barnesiella	Species	3
Bifidobacteriaceae	Species	3
Bifidobacterium	Species	3
Bilophila	Species	3
Blautia	Species	3
Bulleidia	Species	3
Butyricimonas	Species	3
Candidatus	Species	3
Caproiciproducens	Species	3
Catenibacillus	Species	3
Catenibacterium	Species	3
Christensenella	Species	3
Christensenellaceae	Species	3
Citrobacter	Species	3
Clostridiales	Species	3
Clostridioides	Species	3
Clostridium	Species	3
Colidextribacter	Species	3
Collinsella	Species	3
Coprococcus	Species	3
Cronobacter	Species	3
Cutibacterium	Species	3
Desulfovibrio	Species	3
Dialister	Species	3
Dorea	Species	3
Dysgonomonas	Species	3
Eggerthella	Species	3
Eisenbergiella	Species	3
Emergencia	Species	3
END-49	Species	3
Enorma	Species	3
Enterocloster	Species	3
Enterococcus	Species	3
Erysipelotrichaceae	Species	3
Escherichia	Species	3
Eubacteriales	Species	3
Eubacterium	Species	3
Faecalibacterium	Species	3
Faecalitalea	Species	3
Finegoldia	Species	3
Flavonifractor	Species	3
Fusobacterium	Species	3
Gemmiger	Species	3
Holdemanella	Species	3
Holdemania	Species	3
human	Species	3
Hungatella	Species	3
Intestinimonas	Species	3
Klebsiella	Species	3
Kocuria	Species	3
Lachnoclostridium	Species	3
Lachnospira	Species	3
Lachnospiraceae	Species	3
Lacticaseibacillus	Species	3
Lactiplantibacillus	Species	3
Lactobacillus	Species	3
Lactococcus	Species	3
Latilactobacillus	Species	3
Lawsonibacter	Species	3
Limosilactobacillus	Species	3
Marvinbryantia	Species	3
Mediterraneibacter	Species	3
Megasphaera	Species	3
Methanobrevibacter	Species	3
Microbacterium	Species	3
Mogibacterium	Species	3
Mollicutes	Species	3
Morganella	Species	3
Mycoplasmatota	Species	3
Odoribacter	Species	3
Oscillibacter	Species	3
Oscillospira	Species	3
Oscillospiraceae	Species	3
Parabacteroides	Species	3
Paraeggerthella	Species	3
Paraprevotella	Species	3
Parasutterella	Species	3
Parvimonas	Species	3
Peptostreptococcus	Species	3
Phascolarctobacterium	Species	3
Phocaeicola	Species	3
Porphyromonas	Species	3
Prevotella	Species	3
Prevotellaceae	Species	3
Proteus	Species	3
Pseudobutyrivibrio	Species	3
Pseudomonadota	Species	3
Pseudomonas	Species	3
Pyramidobacter	Species	3
Roseburia	Species	3
Ruminococcus	Species	3
Saccharomyces	Species	3
Saccharomycetales	Species	3
Shigella	Species	3
Slackia	Species	3
Streptococcus	Species	3
Subdoligranulum	Species	3
Succinatimonas	Species	3
Succinivibrio	Species	3
Sutterella	Species	3
Synergistes	Species	3
Thomasclavelia	Species	3
Turicibacter	Species	3
unclassified	Species	3
uncultured	Species	3
Veillonella	Species	3
Veillonellaceae	Species	3
Weissella	Species	3
Wickerhamiella	Species	3
33032	Metabolite	5
6288	Metabolite	5
104745	Metabolite	5
160419	Metabolite	5
6723	Metabolite	5
1146	Metabolite	5
107	Metabolite	5
10661294	Metabolite	5
71352575	Metabolite	5
no3	Metabolite	5
10176710	Metabolite	5
185914	Metabolite	5
91469	Metabolite	5
181511	Metabolite	5
49831816	Metabolite	5
10559720	Metabolite	5
444899	Metabolite	5
175	Metabolite	5
104775	Metabolite	5
439586	Metabolite	5
586	Metabolite	5
10140	Metabolite	5
94228	Metabolite	5
613145	Metabolite	5
10430	Metabolite	5
1145	Metabolite	5
no4	Metabolite	5
no5	Metabolite	5
3744	Metabolite	5
129849310	Metabolite	5
9903	Metabolite	5
242	Metabolite	5
9548632	Metabolite	5
9877619	Metabolite	5
10381440	Metabolite	5
5280804	Metabolite	5
162859	Metabolite	5
5280343	Metabolite	5
5282160	Metabolite	5
5280459	Metabolite	5
71629	Metabolite	5
5281708	Metabolite	5
5488822	Metabolite	5
5318980	Metabolite	5
135398592	Metabolite	5
135398593	Metabolite	5
22253297	Metabolite	5
160471	Metabolite	5
18986	Metabolite	5
323	Metabolite	5
424	Metabolite	5
4398339	Metabolite	5
92904	Metabolite	5
6590	Metabolite	5
3587356	Metabolite	5
6306	Metabolite	5
92817	Metabolite	5
6137	Metabolite	5
970	Metabolite	5
4671	Metabolite	5
6613	Metabolite	5
1135	Metabolite	5
1188	Metabolite	5
875	Metabolite	5
442424	Metabolite	5
65373	Metabolite	5
72	Metabolite	5
129887767	Metabolite	5
139597845	Metabolite	5
5281656	Metabolite	5
54580480	Metabolite	5
119307	Metabolite	5
9920281	Metabolite	5
11213350	Metabolite	5
6267	Metabolite	5
5862	Metabolite	5
67678	Metabolite	5
602	Metabolite	5
283	Metabolite	5
124886	Metabolite	5
6274	Metabolite	5
91435	Metabolite	5
135	Metabolite	5
1530236	Metabolite	5
5315606	Metabolite	5
3292996	Metabolite	5
91	Metabolite	5
83404	Metabolite	5
445027	Metabolite	5
13580	Metabolite	5
160636	Metabolite	5
689043	Metabolite	5
84815	Metabolite	5
no6	Metabolite	5
348154	Metabolite	5
no7	Metabolite	5
no8	Metabolite	5
824	Metabolite	5
135398658	Metabolite	5
80817	Metabolite	5
159660	Metabolite	5
439232	Metabolite	5
122356	Metabolite	5
999	Metabolite	5
1030	Metabolite	5
5280961	Metabolite	5
5317750	Metabolite	5
5280863	Metabolite	5
6508	Metabolite	5
9831622	Metabolite	5
440993	Metabolite	5
25201019	Metabolite	5
64981	Metabolite	5
11679800	Metabolite	5
785	Metabolite	5
10466307	Metabolite	5
8892	Metabolite	5
222528	Metabolite	5
402	Metabolite	5
6675	Metabolite	5
5950	Metabolite	5
750	Metabolite	5
6106	Metabolite	5
145742	Metabolite	5
5951	Metabolite	5
500189	Metabolite	5
115089	Metabolite	5
384870	Metabolite	5
5280443	Metabolite	5
5281607	Metabolite	5
5282768	Metabolite	5
5280450	Metabolite	5
11005	Metabolite	5
445639	Metabolite	5
985	Metabolite	5
445638	Metabolite	5
96384	Metabolite	5
10394	Metabolite	5
702	Metabolite	5
1176	Metabolite	5
8314	Metabolite	5
522502	Metabolite	5
114781	Metabolite	5
4183249	Metabolite	5
107735	Metabolite	5
20601635	Metabolite	5
89472	Metabolite	5
444873	Metabolite	5
176907	Metabolite	5
9378	Metabolite	5
192215	Metabolite	5
439435	Metabolite	5
223	Metabolite	5
280	Metabolite	5
6262	Metabolite	5
311	Metabolite	5
5459879	Metabolite	5
14925	Metabolite	5
135191	Metabolite	5
439709	Metabolite	5
1117	Metabolite	5
65065	Metabolite	5
21722175	Metabolite	5
124343	Metabolite	5
332427	Metabolite	5
138478	Metabolite	5
10802382	Metabolite	5
681	Metabolite	5
5460161	Metabolite	5
199	Metabolite	5
9750	Metabolite	5
83697	Metabolite	5
6047	Metabolite	5
5610	Metabolite	5
5280445	Metabolite	5
5281672	Metabolite	5
10258	Metabolite	5
262	Metabolite	5
650	Metabolite	5
79041	Metabolite	5
179	Metabolite	5
138805674	Metabolite	5
9838356	Metabolite	5
849	Metabolite	5
5280442	Metabolite	5
5281612	Metabolite	5
7420	Metabolite	5
5284649	Metabolite	5
480764	Metabolite	5
101101166	Metabolite	5
6971268	Metabolite	5
547	Metabolite	5
2752054	Metabolite	5
127	Metabolite	5
932	Metabolite	5
147608	Metabolite	5
5282155	Metabolite	5
5280960	Metabolite	5
4788	Metabolite	5
359	Metabolite	5
1530	Metabolite	5
439520	Metabolite	5
94715	Metabolite	5
61503	Metabolite	5
135398638	Metabolite	5
1150	Metabolite	5
no12	Metabolite	5
no13	Metabolite	5
45093080	Metabolite	5
no15	Metabolite	5
153520426	Metabolite	5
no17	Metabolite	5
129858541	Metabolite	5
no19	Metabolite	5
no20	Metabolite	5
no21	Metabolite	5
10267	Metabolite	5
439183	Metabolite	5
24970825	Metabolite	5
10308378	Metabolite	5
52920332	Metabolite	5
45093073	Metabolite	5
54670067	Metabolite	5
1826	Metabolite	5
445580	Metabolite	5
119	Metabolite	5
58177709	Metabolite	5
131751737	Metabolite	5
102066451	Metabolite	5
154035	Metabolite	5
4615423	Metabolite	5
6287	Metabolite	5
12587	Metabolite	5
6140	Metabolite	5
7991	Metabolite	5
1031	Metabolite	5
5327011	Metabolite	5
31401	Metabolite	5
753	Metabolite	5
2969	Metabolite	5
9795113	Metabolite	5
5960	Metabolite	5
6057	Metabolite	5
10133	Metabolite	5
12544	Metabolite	5
12310288	Metabolite	5
2733768	Metabolite	5
439763	Metabolite	5
783	Metabolite	5
12647	Metabolite	5
GAPDH	Gene	2
SLC1A2	Gene	2
CHRM1	Gene	2
FGFR3	Gene	2
RARB	Gene	2
MAP3K5	Gene	2
CTSB	Gene	2
CDK5	Gene	2
GRIK1	Gene	2
ST6GAL1	Gene	2
F3	Gene	2
NR4A1	Gene	2
FKBP4	Gene	2
CPB2	Gene	2
AIP	Gene	2
EID2	Gene	2
CD81	Gene	2
PPIA	Gene	2
FOS	Gene	2
ESR2	Gene	2
FURIN	Gene	2
GRM5	Gene	2
RHOA	Gene	2
STK24	Gene	2
DRD2	Gene	2
EP300	Gene	2
ERBB4	Gene	2
FEN1	Gene	2
GRIK2	Gene	2
