Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-1679131,"Trafficking and processing of endosomal TLR",1,13,0.0010734043431591116,0.0010734043431590568,0.014367104285360366,1,7,4.5216717266326466E-4,9606,Homo sapiens,"CTSB","P07858","R-HSA-1678920"
R-HSA-9766229,"Degradation of CDH1",1,53,0.004376186937494839,0.004376186937494864,0.014367104285360366,1,10,6.459531038046638E-4,9606,Homo sapiens,"CTSB","P07858","R-HSA-9935547"
R-HSA-9764561,"Regulation of CDH1 Function",1,60,0.0049541738915035915,0.004954173891503544,0.014367104285360366,1,16,0.001033524966087462,9606,Homo sapiens,"CTSB","P07858","R-HSA-9935547"
R-HSA-2022090,"Assembly of collagen fibrils and other multimeric structures",1,61,0.005036743456361985,0.005036743456361958,0.014367104285360366,1,26,0.0016794780698921258,9606,Homo sapiens,"CTSB","P07858","R-HSA-2213200"
R-HSA-1442490,"Collagen degradation",1,64,0.005284452150937165,0.005284452150937202,0.014367104285360366,2,34,0.0021962405529358567,9606,Homo sapiens,"CTSB","P07858","R-HSA-2471621;R-HSA-2168923"
R-HSA-1474290,"Collagen formation",1,90,0.007431260837255388,0.007431260837255427,0.014367104285360366,1,77,0.004973838899295911,9606,Homo sapiens,"CTSB","P07858","R-HSA-2213200"
R-HSA-2132295,"MHC class II antigen presentation",1,130,0.010734043431591116,0.010734043431591123,0.014367104285360366,3,26,0.0016794780698921258,9606,Homo sapiens,"CTSB","P07858","R-HSA-2130706;R-HSA-2130504;R-HSA-2130349"
R-HSA-1474228,"Degradation of the extracellular matrix",1,140,0.011559739080175048,0.011559739080175047,0.014367104285360366,2,105,0.00678250758994897,9606,Homo sapiens,"CTSB","P07858","R-HSA-2471621;R-HSA-2168923"
R-HSA-9764274,"Regulation of Expression and Function of Type I Classical Cadherins",1,171,0.014119395590785237,0.014119395590785233,0.014367104285360366,1,92,0.005942768555002907,9606,Homo sapiens,"CTSB","P07858","R-HSA-9935547"
R-HSA-9764265,"Regulation of CDH1 Expression and Function",1,171,0.014119395590785237,0.014119395590785233,0.014367104285360366,1,92,0.005942768555002907,9606,Homo sapiens,"CTSB","P07858","R-HSA-9935547"
R-HSA-168898,"Toll-like Receptor Cascades",1,174,0.014367104285360416,0.014367104285360366,0.014367104285360366,1,217,0.014017182352561204,9606,Homo sapiens,"CTSB","P07858","R-HSA-1678920"
R-HSA-9759476,"Regulation of Homotypic Cell-Cell Adhesion",1,188,0.01552307819337792,0.015523078193377948,0.015523078193377948,1,123,0.007945223176797364,9606,Homo sapiens,"CTSB","P07858","R-HSA-9935547"
R-HSA-418990,"Adherens junctions interactions",1,211,0.017422178185120964,0.01742217818512093,0.01742217818512093,1,139,0.008978748142884827,9606,Homo sapiens,"CTSB","P07858","R-HSA-9935547"
R-HSA-421270,"Cell-cell junction organization",1,244,0.02014697382544794,0.020146973825447945,0.020146973825447945,1,144,0.00930172469478716,9606,Homo sapiens,"CTSB","P07858","R-HSA-9935547"
R-HSA-446728,"Cell junction organization",1,271,0.022376352076624556,0.022376352076624584,0.022376352076624584,1,160,0.01033524966087462,9606,Homo sapiens,"CTSB","P07858","R-HSA-9935547"
R-HSA-1500931,"Cell-Cell communication",1,309,0.0255139955412435,0.02551399554124345,0.02551399554124345,1,183,0.011820941799625347,9606,Homo sapiens,"CTSB","P07858","R-HSA-9935547"
R-HSA-1474244,"Extracellular matrix organization",1,321,0.026504830319544218,0.026504830319544204,0.026504830319544204,3,330,0.021316452425553904,9606,Homo sapiens,"CTSB","P07858","R-HSA-2471621;R-HSA-2213200;R-HSA-2168923"
R-HSA-6798695,"Neutrophil degranulation",1,478,0.039468252002311945,0.039468252002311965,0.039468252002311965,1,10,6.459531038046638E-4,9606,Homo sapiens,"CTSB","P07858","R-HSA-6800434"
R-HSA-1280218,"Adaptive Immune System",1,991,0.08182643877466765,0.08182643877466766,0.08182643877466766,3,324,0.020928880563271107,9606,Homo sapiens,"CTSB","P07858","R-HSA-2130706;R-HSA-2130504;R-HSA-2130349"
R-HSA-168249,"Innate Immune System",1,1201,0.09916604739493023,0.09916604739493029,0.09916604739493029,2,727,0.046960790646599054,9606,Homo sapiens,"CTSB","P07858","R-HSA-1678920;R-HSA-6800434"
R-HSA-168256,"Immune System",1,2330,0.19238708612005614,0.19238708612005617,0.19238708612005617,5,1786,0.11536722433951295,9606,Homo sapiens,"CTSB","P07858","R-HSA-1678920;R-HSA-2130706;R-HSA-6800434;R-HSA-2130504;R-HSA-2130349"
