Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9856649,"Transcriptional and post-translational regulation of MITF-M expression and activity",1,63,0.005201882586078771,0.005201882586078788,0.0363306085376931,2,37,0.002390026484077256,9606,Homo sapiens,"EDNRB","P24530","R-HSA-9730412;R-HSA-9825774"
R-HSA-9730414,"MITF-M-regulated melanocyte development",1,155,0.012798282553050945,0.012798282553050933,0.0363306085376931,2,150,0.009689296557069956,9606,Homo sapiens,"EDNRB","P24530","R-HSA-9730412;R-HSA-9825774"
R-HSA-375276,"Peptide ligand-binding receptors",1,200,0.01651391297167864,0.01651391297167859,0.0363306085376931,2,85,0.005490601382339642,9606,Homo sapiens,"EDNRB","P24530","R-HSA-388560;R-HSA-9731393"
R-HSA-416476,"G alpha (q) signalling events",1,220,0.018165304268846504,0.01816530426884655,0.0363306085376931,3,35,0.002260835863316323,9606,Homo sapiens,"EDNRB","P24530","R-HSA-749448;R-HSA-749452;R-HSA-379048"
R-HSA-373076,"Class A/1 (Rhodopsin-like receptors)",1,335,0.02766080422756172,0.027660804227561675,0.03897283461316159,2,187,0.012079323041147214,9606,Homo sapiens,"EDNRB","P24530","R-HSA-388560;R-HSA-9731393"
R-HSA-500792,"GPCR ligand binding",1,472,0.03897283461316159,0.03897283461316159,0.03897283461316159,2,219,0.014146372973322137,9606,Homo sapiens,"EDNRB","P24530","R-HSA-388560;R-HSA-9731393"
R-HSA-388396,"GPCR downstream signalling",1,638,0.05267938237965486,0.05267938237965486,0.05267938237965486,3,175,0.011304179316581616,9606,Homo sapiens,"EDNRB","P24530","R-HSA-749448;R-HSA-749452;R-HSA-379048"
R-HSA-372790,"Signaling by GPCR",1,715,0.05903723887375113,0.05903723887375112,0.05903723887375112,5,394,0.02545055228990375,9606,Homo sapiens,"EDNRB","P24530","R-HSA-749448;R-HSA-388560;R-HSA-9731393;R-HSA-749452;R-HSA-379048"
R-HSA-1266738,"Developmental Biology",1,1482,0.12236809512013871,0.12236809512013869,0.12236809512013869,2,979,0.06323880886247658,9606,Homo sapiens,"EDNRB","P24530","R-HSA-9730412;R-HSA-9825774"
R-HSA-162582,"Signal Transduction",1,2614,0.2158368425398398,0.2158368425398398,0.2158368425398398,5,2576,0.1663975195400814,9606,Homo sapiens,"EDNRB","P24530","R-HSA-749448;R-HSA-388560;R-HSA-9731393;R-HSA-749452;R-HSA-379048"
