Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-3371568,"Attenuation phase",2,47,0.002911298315163528,8.47565787986948E-6,1.0684930766835521E-4,4,5,3.150995714645828E-4,9606,Homo sapiens,"fkbp4","","R-HSA-3371554;R-HSA-5324617;R-HSA-5082369;R-HSA-5082384"
R-HSA-3371571,"HSF1-dependent transactivation",2,59,0.0036546085232903864,1.3356163458544401E-5,1.0684930766835521E-4,5,8,5.041593143433325E-4,9606,Homo sapiens,"fkbp4","","R-HSA-3371554;R-HSA-5324617;R-HSA-5082356;R-HSA-5082369;R-HSA-5082384"
R-HSA-3371556,"Cellular response to heat stress",2,135,0.008362239841427156,6.992705516550846E-5,3.496352758275423E-4,8,29,0.0018275775144945803,9606,Homo sapiens,"fkbp4","","R-HSA-3371554;R-HSA-4793819;R-HSA-5324617;R-HSA-3371467;R-HSA-5082356;R-HSA-5082369;R-HSA-5082384;R-HSA-3371518"
R-HSA-2262752,"Cellular responses to stress",2,1039,0.06435827552031714,0.00414198762794904,0.01063992421771931,24,521,0.03283337534660953,9606,Homo sapiens,"fkbp4","","R-HSA-9726580;R-HSA-9706837;R-HSA-5618099;R-HSA-9725885;R-HSA-9726621;R-HSA-5618110;R-HSA-9725855;R-HSA-5618073;R-HSA-5082369;R-HSA-3371518;R-HSA-5618085;R-HSA-9705925;R-HSA-3371554;R-HSA-9705926;R-HSA-4793819;R-HSA-9690534;R-HSA-5618080;R-HSA-5324617;R-HSA-5618093;R-HSA-3371467;R-HSA-9726509;R-HSA-5082356;R-HSA-5082384;R-HSA-9678925"
R-HSA-8953897,"Cellular responses to stimuli",2,1166,0.07222497522299307,0.005216447045961914,0.01063992421771931,24,613,0.038631207461557855,9606,Homo sapiens,"fkbp4","","R-HSA-9726580;R-HSA-9706837;R-HSA-5618099;R-HSA-9725885;R-HSA-9726621;R-HSA-5618110;R-HSA-9725855;R-HSA-5618073;R-HSA-5082369;R-HSA-3371518;R-HSA-5618085;R-HSA-9705925;R-HSA-3371554;R-HSA-9705926;R-HSA-4793819;R-HSA-9690534;R-HSA-5618080;R-HSA-5324617;R-HSA-5618093;R-HSA-3371467;R-HSA-9726509;R-HSA-5082356;R-HSA-5082384;R-HSA-9678925"
R-HSA-3371511,"HSF1 activation",1,43,0.0026635282457879088,0.005319962108859655,0.01063992421771931,1,7,4.411394000504159E-4,9606,Homo sapiens,"fkbp4","","R-HSA-4793819"
R-HSA-3371497,"HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand",1,76,0.004707631318136769,0.009393100843646085,0.01878620168729217,16,22,0.0013864381144441643,9606,Homo sapiens,"fkbp4","","R-HSA-9726580;R-HSA-9706837;R-HSA-5618099;R-HSA-9725885;R-HSA-9726621;R-HSA-5618110;R-HSA-9725855;R-HSA-5618073;R-HSA-5618085;R-HSA-9705925;R-HSA-9705926;R-HSA-9690534;R-HSA-5618080;R-HSA-5618093;R-HSA-9726509;R-HSA-9678925"
R-HSA-3371453,"Regulation of HSF1-mediated heat shock response",1,113,0.006999504459861249,0.013950015857038811,0.018864592889711207,2,14,8.822788001008318E-4,9606,Homo sapiens,"fkbp4","","R-HSA-3371467;R-HSA-3371518"
R-HSA-9018519,"Estrogen-dependent gene expression",1,153,0.009477205153617442,0.018864592889711207,0.018864592889711207,1,66,0.004159314343332493,9606,Homo sapiens,"fkbp4","","R-HSA-9038161"
R-HSA-9679191,"Potential therapeutics for SARS",1,168,0.010406342913776016,0.02070439385471301,0.02070439385471301,1,36,0.002268716914544996,9606,Homo sapiens,"fkbp4","","R-HSA-9678925"
R-HSA-8939211,"ESR-mediated signaling",1,257,0.01591922695738355,0.03158503212784647,0.03158503212784647,7,114,0.007184270229392488,9606,Homo sapiens,"fkbp4","","R-HSA-9716913;R-HSA-9032751;R-HSA-9716947;R-HSA-9038161;R-HSA-8939203;R-HSA-8939204;R-HSA-9709547"
R-HSA-9006931,"Signaling by Nuclear Receptors",1,383,0.02372398414271556,0.04688514086182738,0.04688514086182738,7,195,0.01228888328711873,9606,Homo sapiens,"fkbp4","","R-HSA-9716913;R-HSA-9032751;R-HSA-9716947;R-HSA-9038161;R-HSA-8939203;R-HSA-8939204;R-HSA-9709547"
R-HSA-9679506,"SARS-CoV Infections",1,576,0.035678889990089196,0.0700847967892535,0.0700847967892535,1,402,0.025334005545752457,9606,Homo sapiens,"fkbp4","","R-HSA-9678925"
R-HSA-9824446,"Viral Infection Pathways",1,1404,0.08696729435084243,0.16637127841497867,0.16637127841497867,1,897,0.056528863120746155,9606,Homo sapiens,"fkbp4","","R-HSA-9678925"
R-HSA-5663205,"Infectious disease",1,1962,0.12153121902874132,0.2282926008588707,0.2282926008588707,1,1225,0.0771993950088228,9606,Homo sapiens,"fkbp4","","R-HSA-9678925"
R-HSA-162582,"Signal Transduction",1,3051,0.18898662041625372,0.34225729813615025,0.34225729813615025,7,2584,0.1628434585328964,9606,Homo sapiens,"fkbp4","","R-HSA-9716913;R-HSA-9032751;R-HSA-9716947;R-HSA-9038161;R-HSA-8939203;R-HSA-8939204;R-HSA-9709547"
R-HSA-1643685,"Disease",1,3093,0.1915882061446977,0.3464703715556523,0.3464703715556523,1,2167,0.13656415427275018,9606,Homo sapiens,"fkbp4","","R-HSA-9678925"
