Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-2173796,"SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription",2,44,0.0027254707631318136,7.4281908807316555E-6,2.971276352292662E-4,2,24,0.0015124779430299975,9606,Homo sapiens,"furin","","R-HSA-9733203;R-HSA-9736953"
R-HSA-2173793,"Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer",2,64,0.003964321110009911,1.5715841863217506E-5,3.143168372643501E-4,2,51,0.0032140156289387446,9606,Homo sapiens,"furin","","R-HSA-9733203;R-HSA-9736953"
R-HSA-170834,"Signaling by TGF-beta Receptor Complex",2,108,0.006689791873141724,4.47533153059565E-5,7.16053044895304E-4,3,100,0.006301991429291656,9606,Homo sapiens,"furin","","R-HSA-9733203;R-HSA-9736953;R-HSA-170844"
R-HSA-9006936,"Signaling by TGFB family members",2,178,0.011025768087215065,1.2156756191306073E-4,0.0015803783048697895,3,148,0.009326947315351651,9606,Homo sapiens,"furin","","R-HSA-9733203;R-HSA-9736953;R-HSA-170844"
R-HSA-171286,"Synthesis and processing of ENV and VPU",1,4,2.477700693756194E-4,4.954787487438939E-4,0.0054502662361828325,1,10,6.301991429291656E-4,9606,Homo sapiens,"furin","","R-HSA-171288"
R-HSA-167060,"NGF processing",1,5,3.097125867195243E-4,6.193292515527249E-4,0.005573963263974524,1,5,3.150995714645828E-4,9606,Homo sapiens,"furin","","R-HSA-187020"
R-HSA-9036866,"Expression and Processing of Neurotrophins",1,5,3.097125867195243E-4,6.193292515527249E-4,0.005573963263974524,1,5,3.150995714645828E-4,9606,Homo sapiens,"furin","","R-HSA-187020"
R-HSA-159782,"Removal of aminoterminal propeptides from gamma-carboxylated proteins",1,10,6.194251734390486E-4,0.0012384666593325822,0.009907733274660657,9,9,5.67179228636249E-4,9606,Homo sapiens,"furin","","R-HSA-163843;R-HSA-159728;R-HSA-163798;R-HSA-159796;R-HSA-159733;R-HSA-159771;R-HSA-159868;R-HSA-6807224;R-HSA-159773"
R-HSA-9918476,"Assembly and Release of Dengue Virus Virions",1,13,8.052527254707631E-4,0.0016098570189895245,0.010401830748240526,1,9,5.67179228636249E-4,9606,Homo sapiens,"furin","","R-HSA-9919050"
R-HSA-9662834,"CD163 mediating an anti-inflammatory response",1,14,8.67195242814668E-4,0.0017336384580400876,0.010401830748240526,1,9,5.67179228636249E-4,9606,Homo sapiens,"furin","","R-HSA-9662786"
R-HSA-159854,"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",1,16,9.910802775024777E-4,0.001981178314888532,0.011139293558174668,9,27,0.0017015376859087473,9606,Homo sapiens,"furin","","R-HSA-163843;R-HSA-159728;R-HSA-163798;R-HSA-159796;R-HSA-159733;R-HSA-159771;R-HSA-159868;R-HSA-6807224;R-HSA-159773"
R-HSA-9733458,"Induction of Cell-Cell Fusion",1,20,0.001238850346878097,0.002476165943574249,0.011139293558174668,1,5,3.150995714645828E-4,9606,Homo sapiens,"furin","","R-HSA-9769949"
R-HSA-5210891,"Uptake and function of anthrax toxins",1,22,0.0013627353815659068,0.0027236137154117435,0.011139293558174668,3,20,0.0012603982858583312,9606,Homo sapiens,"furin","","R-HSA-5210935;R-HSA-9683546;R-HSA-5210912"
R-HSA-1912420,"Pre-NOTCH Processing in Golgi",1,24,0.0014866204162537165,0.002971030792245366,0.011139293558174668,2,8,5.041593143433325E-4,9606,Homo sapiens,"furin","","R-HSA-1912372;R-HSA-1912369"
R-HSA-1181150,"Signaling by NODAL",1,25,0.0015485629335976214,0.0030947278200359474,0.011139293558174668,1,12,7.562389715149988E-4,9606,Homo sapiens,"furin","","R-HSA-1181152"
