hsa01524  	Platinum drug resistance
hsa04010  	MAPK signaling pathway
hsa04071  	Sphingolipid signaling pathway
hsa04141  	Protein processing in endoplasmic reticulum
hsa04210  	Apoptosis
hsa04530  	Tight junction
hsa04668  	TNF signaling pathway
hsa04714  	Thermogenesis
hsa04722  	Neurotrophin signaling pathway
hsa04932  	Non-alcoholic fatty liver disease
hsa04936  	Alcoholic liver disease
hsa05010  	Alzheimer disease
hsa05012  	Parkinson disease
hsa05014  	Amyotrophic lateral sclerosis
hsa05016  	Huntington disease
hsa05017  	Spinocerebellar ataxia
hsa05022  	Pathways of neurodegeneration - multiple diseases
hsa05208  	Chemical carcinogenesis - reactive oxygen species
hsa05417  	Lipid and atherosclerosis
hsa05418  	Fluid shear stress and atherosclerosis
