Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-198693,"AKT phosphorylates targets in the nucleus",1,10,8.25695648583932E-4,8.25695648583924E-4,0.009908347783007088,1,4,2.583812415218655E-4,9606,Homo sapiens,"NR4A1","P22736","R-HSA-199863"
R-HSA-5674400,"Constitutive Signaling by AKT1 E17K in Cancer",1,26,0.0021468086863182232,0.0021468086863182245,0.012880852117909347,1,18,0.001162715586848395,9606,Homo sapiens,"NR4A1","P22736","R-HSA-2399988"
R-HSA-383280,"Nuclear Receptor transcription pathway",1,86,0.007100982577821815,0.007100982577821768,0.028403930311287073,2,2,1.2919062076093276E-4,9606,Homo sapiens,"NR4A1","P22736","R-HSA-382096;R-HSA-376419"
R-HSA-2219528,"PI3K/AKT Signaling in Cancer",1,124,0.010238626042440756,0.010238626042440746,0.030715878127322238,1,21,0.001356501517989794,9606,Homo sapiens,"NR4A1","P22736","R-HSA-2399988"
R-HSA-1257604,"PIP3 activates AKT signaling",1,277,0.022871769465774915,0.02287176946577496,0.03955082156717038,1,88,0.005684387313481041,9606,Homo sapiens,"NR4A1","P22736","R-HSA-199863"
R-HSA-9006925,"Intracellular signaling by second messengers",1,317,0.026174552060110642,0.026174552060110656,0.03955082156717038,1,116,0.0074930560041341,9606,Homo sapiens,"NR4A1","P22736","R-HSA-199863"
R-HSA-5663202,"Diseases of signal transduction by growth factor receptors and second messengers",1,479,0.03955082156717034,0.03955082156717038,0.03955082156717038,1,514,0.033201989535559716,9606,Homo sapiens,"NR4A1","P22736","R-HSA-2399988"
R-HSA-212436,"Generic Transcription Pathway",1,1256,0.10370737346214186,0.10370737346214187,0.10370737346214187,2,878,0.05671468251404948,9606,Homo sapiens,"NR4A1","P22736","R-HSA-382096;R-HSA-376419"
R-HSA-73857,"RNA Polymerase II Transcription",1,1379,0.11386342993972422,0.1138634299397242,0.1138634299397242,2,939,0.06065499644725793,9606,Homo sapiens,"NR4A1","P22736","R-HSA-382096;R-HSA-376419"
R-HSA-74160,"Gene expression (Transcription)",1,1575,0.13004706465196927,0.13004706465196925,0.13004706465196925,2,1137,0.07344486790259028,9606,Homo sapiens,"NR4A1","P22736","R-HSA-382096;R-HSA-376419"
R-HSA-1643685,"Disease",1,2575,0.21261662951036248,0.21261662951036242,0.21261662951036242,1,2137,0.13804017828305665,9606,Homo sapiens,"NR4A1","P22736","R-HSA-2399988"
R-HSA-162582,"Signal Transduction",1,2614,0.2158368425398398,0.2158368425398398,0.2158368425398398,1,2576,0.1663975195400814,9606,Homo sapiens,"NR4A1","P22736","R-HSA-199863"
