Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-8950505,"Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation",2,73,0.004521803766105055,2.044670929912673E-5,4.59688374501277E-4,1,36,0.002268716914544996,9606,Homo sapiens,"PPIA","","R-HSA-8950328"
R-HSA-9020591,"Interleukin-12 signaling",2,84,0.005203171456888008,2.707299320980905E-5,4.59688374501277E-4,1,56,0.0035291152004033274,9606,Homo sapiens,"PPIA","","R-HSA-8950328"
R-HSA-447115,"Interleukin-12 family signaling",2,96,0.005946481665014866,3.536064419240592E-5,4.59688374501277E-4,1,114,0.007184270229392488,9606,Homo sapiens,"PPIA","","R-HSA-8950328"
R-HSA-164525,"Plus-strand DNA synthesis",1,8,4.955401387512388E-4,9.90834717473299E-4,0.0048295710569685735,4,4,2.5207965717166626E-4,9606,Homo sapiens,"PPIA","","R-HSA-164512;R-HSA-164513;R-HSA-164505;R-HSA-173769"
R-HSA-162585,"Uncoating of the HIV Virion",1,9,5.574826560951437E-4,0.001114654525278369,0.0048295710569685735,2,2,1.2603982858583313E-4,9606,Homo sapiens,"PPIA","","R-HSA-173111;R-HSA-173642"
R-HSA-162589,"Reverse Transcription of HIV RNA",1,11,6.813676907829534E-4,0.0013622711196359383,0.0048295710569685735,12,12,7.562389715149988E-4,9606,Homo sapiens,"PPIA","","R-HSA-164512;R-HSA-164528;R-HSA-164513;R-HSA-164519;R-HSA-164503;R-HSA-9697051;R-HSA-182795;R-HSA-182859;R-HSA-164520;R-HSA-164504;R-HSA-173769;R-HSA-164505"
R-HSA-164516,"Minus-strand DNA synthesis",1,11,6.813676907829534E-4,0.0013622711196359383,0.0048295710569685735,8,8,5.041593143433325E-4,9606,Homo sapiens,"PPIA","","R-HSA-164528;R-HSA-164503;R-HSA-164519;R-HSA-9697051;R-HSA-182795;R-HSA-182859;R-HSA-164520;R-HSA-164504"
R-HSA-2025928,"Calcineurin activates NFAT",1,12,7.433102081268583E-4,0.0014860679061883264,0.0048295710569685735,1,3,1.890597428787497E-4,9606,Homo sapiens,"PPIA","","R-HSA-2025882"
R-HSA-449147,"Signaling by Interleukins",2,646,0.04001486620416254,0.0016011895173370094,0.0048295710569685735,1,505,0.031825056717922864,9606,Homo sapiens,"PPIA","","R-HSA-8950328"
R-HSA-173107,"Binding and entry of HIV virion",1,13,8.052527254707631E-4,0.0016098570189895245,0.0048295710569685735,8,8,5.041593143433325E-4,9606,Homo sapiens,"PPIA","","R-HSA-164515;R-HSA-164500;R-HSA-164507;R-HSA-164521;R-HSA-164510;R-HSA-164524;R-HSA-164508;R-HSA-164509"
R-HSA-180689,"APOBEC3G mediated resistance to HIV-1 infection",1,15,9.291377601585728E-4,0.0018574122233397938,0.0055722366700193815,2,3,1.890597428787497E-4,9606,Homo sapiens,"PPIA","","R-HSA-180634;R-HSA-180632"
R-HSA-162592,"Integration of provirus",1,15,9.291377601585728E-4,0.0018574122233397938,0.0055722366700193815,2,14,8.822788001008318E-4,9606,Homo sapiens,"PPIA","","R-HSA-8951690;R-HSA-173115"
