Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-6785807,"Interleukin-4 and Interleukin-13 signaling",2,211,0.013069871159563925,1.708215321275519E-4,0.0023915014497857268,1,47,0.0029619359717670784,9606,Homo sapiens,"S1PR1","","R-HSA-6790022"
R-HSA-449147,"Signaling by Interleukins",2,646,0.04001486620416254,0.0016011895173370094,0.009409722188116643,1,505,0.031825056717922864,9606,Homo sapiens,"S1PR1","","R-HSA-6790022"
R-HSA-419408,"Lysosphingolipid and LPA receptors",1,19,0.0011769078295341922,0.0023524305470291607,0.009409722188116643,2,5,3.150995714645828E-4,9606,Homo sapiens,"S1PR1","","R-HSA-9690449;R-HSA-9678854"
R-HSA-1280215,"Cytokine Signaling in Immune system",2,1106,0.06850842418235877,0.004693404183950034,0.014080212551850102,1,806,0.05079405092009075,9606,Homo sapiens,"S1PR1","","R-HSA-6790022"
R-HSA-9679191,"Potential therapeutics for SARS",1,168,0.010406342913776016,0.02070439385471301,0.04140878770942602,1,36,0.002268716914544996,9606,Homo sapiens,"S1PR1","","R-HSA-9678854"
R-HSA-168256,"Immune System",2,2800,0.1734390485629336,0.03008110356641558,0.06016220713283116,1,1822,0.11482228384169398,9606,Homo sapiens,"S1PR1","","R-HSA-6790022"
R-HSA-373076,"Class A/1 (Rhodopsin-like receptors)",1,415,0.025706144697720517,0.05075148352022085,0.0700847967892535,2,187,0.011784723972775397,9606,Homo sapiens,"S1PR1","","R-HSA-9690449;R-HSA-9678854"
R-HSA-9679506,"SARS-CoV Infections",1,576,0.035678889990089196,0.0700847967892535,0.0700847967892535,1,402,0.025334005545752457,9606,Homo sapiens,"S1PR1","","R-HSA-9678854"
R-HSA-500792,"GPCR ligand binding",1,610,0.037784935579781964,0.07414216980279553,0.07414216980279553,2,219,0.013801361230148726,9606,Homo sapiens,"S1PR1","","R-HSA-9690449;R-HSA-9678854"
R-HSA-372790,"Signaling by GPCR",1,878,0.05438553022794847,0.10581327455772183,0.10581327455772183,2,394,0.024829846231409124,9606,Homo sapiens,"S1PR1","","R-HSA-9690449;R-HSA-9678854"
R-HSA-9824446,"Viral Infection Pathways",1,1404,0.08696729435084243,0.16637127841497867,0.16637127841497867,1,897,0.056528863120746155,9606,Homo sapiens,"S1PR1","","R-HSA-9678854"
R-HSA-5663205,"Infectious disease",1,1962,0.12153121902874132,0.2282926008588707,0.2282926008588707,1,1225,0.0771993950088228,9606,Homo sapiens,"S1PR1","","R-HSA-9678854"
R-HSA-162582,"Signal Transduction",1,3051,0.18898662041625372,0.34225729813615025,0.34225729813615025,2,2584,0.1628434585328964,9606,Homo sapiens,"S1PR1","","R-HSA-9690449;R-HSA-9678854"
R-HSA-1643685,"Disease",1,3093,0.1915882061446977,0.3464703715556523,0.3464703715556523,1,2167,0.13656415427275018,9606,Homo sapiens,"S1PR1","","R-HSA-9678854"
