Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-209563,"Axonal growth stimulation",1,4,3.302782594335728E-4,3.302782594335474E-4,0.00619271736437943,2,2,1.2919062076093276E-4,9606,Homo sapiens,"RHOA","P61586","R-HSA-193668;R-HSA-193646"
R-HSA-8985586,"SLIT2:ROBO1 increases RHOA activity",1,4,3.302782594335728E-4,3.302782594335474E-4,0.00619271736437943,1,2,1.2919062076093276E-4,9606,Homo sapiens,"RHOA","P61586","R-HSA-8985594"
R-HSA-416550,"Sema4D mediated inhibition of cell attachment and migration",1,8,6.605565188671456E-4,6.605565188670948E-4,0.00619271736437943,1,6,3.8757186228279824E-4,9606,Homo sapiens,"RHOA","P61586","R-HSA-416559"
R-HSA-5666185,"RHO GTPases Activate Rhotekin and Rhophilins",1,9,7.431260837255387E-4,7.431260837255094E-4,0.00619271736437943,5,6,3.8757186228279824E-4,9606,Homo sapiens,"RHOA","P61586","R-HSA-5666197;R-HSA-5666178;R-HSA-5667008;R-HSA-5667052;R-HSA-5666216"
R-HSA-193634,"Axonal growth inhibition (RHOA activation)",1,9,7.431260837255387E-4,7.431260837255094E-4,0.00619271736437943,3,6,3.8757186228279824E-4,9606,Homo sapiens,"RHOA","P61586","R-HSA-9012761;R-HSA-193696;R-HSA-194518"
R-HSA-198203,"PI3K/AKT activation",1,9,7.431260837255387E-4,7.431260837255094E-4,0.00619271736437943,1,5,3.229765519023319E-4,9606,Homo sapiens,"RHOA","P61586","R-HSA-202692"
R-HSA-193697,"p75NTR regulates axonogenesis",1,10,8.25695648583932E-4,8.25695648583924E-4,0.00619271736437943,5,8,5.16762483043731E-4,9606,Homo sapiens,"RHOA","P61586","R-HSA-9012761;R-HSA-193696;R-HSA-194518;R-HSA-193668;R-HSA-193646"
R-HSA-5625970,"RHO GTPases activate KTN1",1,11,9.082652134423251E-4,9.082652134423386E-4,0.00619271736437943,2,2,1.2919062076093276E-4,9606,Homo sapiens,"RHOA","P61586","R-HSA-5625959;R-HSA-5672083"
R-HSA-8849471,"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases",1,15,0.0012385434728758979,0.001238543472875886,0.00619271736437943,2,13,8.397390349460629E-4,9606,Homo sapiens,"RHOA","P61586","R-HSA-8849085;R-HSA-8849082"
R-HSA-2173791,"TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)",1,16,0.0013211130377342912,0.0013211130377343006,0.00619271736437943,6,6,3.8757186228279824E-4,9606,Homo sapiens,"RHOA","P61586","R-HSA-2160931;R-HSA-2134532;R-HSA-2160932;R-HSA-2134519;R-HSA-2160935;R-HSA-2134506"
R-HSA-6785631,"ERBB2 Regulates Cell Motility",1,18,0.0014862521674510775,0.0014862521674511298,0.00619271736437943,1,2,1.2919062076093276E-4,9606,Homo sapiens,"RHOA","P61586","R-HSA-6785648"
R-HSA-5627117,"RHO GTPases Activate ROCKs",1,19,0.0015688217323094706,0.0015688217323094333,0.00619271736437943,4,7,4.5216717266326466E-4,9606,Homo sapiens,"RHOA","P61586","R-HSA-419087;R-HSA-419197;R-HSA-419083;R-HSA-419049"
R-HSA-5625900,"RHO GTPases activate CIT",1,20,0.001651391297167864,0.001651391297167848,0.00619271736437943,5,6,3.8757186228279824E-4,9606,Homo sapiens,"RHOA","P61586","R-HSA-5671970;R-HSA-5625901;R-HSA-5671919;R-HSA-8981443;R-HSA-5671993"
R-HSA-416572,"Sema4D induced cell migration and growth-cone collapse",1,20,0.001651391297167864,0.001651391297167848,0.00619271736437943,4,7,4.5216717266326466E-4,9606,Homo sapiens,"RHOA","P61586","R-HSA-419087;R-HSA-416588;R-HSA-419197;R-HSA-419049"
R-HSA-400685,"Sema4D in semaphorin signaling",1,24,0.0019816695566014365,0.0019816695566013953,0.00619271736437943,5,13,8.397390349460629E-4,9606,Homo sapiens,"RHOA","P61586","R-HSA-416559;R-HSA-419087;R-HSA-416588;R-HSA-419197;R-HSA-419049"
R-HSA-392451,"G beta:gamma signalling through PI3Kgamma",1,25,0.00206423912145983,0.00206423912145981,0.00619271736437943,1,4,2.583812415218655E-4,9606,Homo sapiens,"RHOA","P61586","R-HSA-202692"
R-HSA-3928663,"EPHA-mediated growth cone collapse",1,29,0.002394517380893403,0.0023945173808933573,0.00693584344810505,2,4,2.583812415218655E-4,9606,Homo sapiens,"RHOA","P61586","R-HSA-3928651;R-HSA-3928616"
R-HSA-397795,"G-protein beta:gamma signalling",1,32,0.0026422260754685825,0.002642226075468601,0.00693584344810505,1,15,9.689296557069956E-4,9606,Homo sapiens,"RHOA","P61586","R-HSA-202692"
R-HSA-114604,"GPVI-mediated activation cascade",1,35,0.002889934770043762,0.002889934770043734,0.00693584344810505,3,25,0.0016148827595116595,9606,Homo sapiens,"RHOA","P61586","R-HSA-442291;R-HSA-442273;R-HSA-442314"
R-HSA-5689896,"Ovarian tumor domain proteases",1,39,0.0032202130294773346,0.0032202130294772813,0.00693584344810505,1,14,9.043343453265293E-4,9606,Homo sapiens,"RHOA","P61586","R-HSA-5690843"
R-HSA-3928662,"EPHB-mediated forward signaling",1,42,0.0034679217240525142,0.003467921724052525,0.00693584344810505,3,26,0.0016794780698921258,9606,Homo sapiens,"RHOA","P61586","R-HSA-3928577;R-HSA-3928592;R-HSA-3928576"
R-HSA-1227986,"Signaling by ERBB2",1,56,0.004623895632070019,0.004623895632069996,0.008174386920980936,1,46,0.0029713842775014533,9606,Homo sapiens,"RHOA","P61586","R-HSA-6785648"
R-HSA-8848021,"Signaling by PTK6",1,58,0.004789034761786806,0.004789034761786826,0.008174386920980936,2,53,0.003423551450164718,9606,Homo sapiens,"RHOA","P61586","R-HSA-8849085;R-HSA-8849082"
R-HSA-9006927,"Signaling by Non-Receptor Tyrosine Kinases",1,58,0.004789034761786806,0.004789034761786826,0.008174386920980936,2,53,0.003423551450164718,9606,Homo sapiens,"RHOA","P61586","R-HSA-8849085;R-HSA-8849082"
R-HSA-5625740,"RHO GTPases activate PKNs",1,62,0.005119313021220378,0.005119313021220373,0.008174386920980936,3,20,0.0012919062076093275,9606,Homo sapiens,"RHOA","P61586","R-HSA-5623622;R-HSA-5623632;R-HSA-5623667"
R-HSA-373755,"Semaphorin interactions",1,64,0.005284452150937165,0.005284452150937202,0.008174386920980936,5,41,0.0026484077255991213,9606,Homo sapiens,"RHOA","P61586","R-HSA-416559;R-HSA-419087;R-HSA-416588;R-HSA-419197;R-HSA-419049"
R-HSA-9013106,"RHOC GTPase cycle",1,75,0.00619271736437949,0.006192717364379541,0.008174386920980936,1,6,3.8757186228279824E-4,9606,Homo sapiens,"RHOA","P61586","R-HSA-9013110"
R-HSA-4086400,"PCP/CE pathway",1,79,0.006522995623813062,0.006522995623813088,0.008174386920980936,1,24,0.001550287449131193,9606,Homo sapiens,"RHOA","P61586","R-HSA-3858495"
R-HSA-416482,"G alpha (12/13) signalling events",1,80,0.006605565188671456,0.006605565188671503,0.008174386920980936,3,15,9.689296557069956E-4,9606,Homo sapiens,"RHOA","P61586","R-HSA-114544;R-HSA-419166;R-HSA-419049"
R-HSA-2682334,"EPH-Ephrin signaling",1,92,0.007596399966972174,0.007596399966972145,0.008174386920980936,5,56,0.0036173373813061173,9606,Homo sapiens,"RHOA","P61586","R-HSA-3928651;R-HSA-3928616;R-HSA-3928577;R-HSA-3928592;R-HSA-3928576"
R-HSA-170834,"Signaling by TGF-beta Receptor Complex",1,94,0.00776153909668896,0.007761539096688974,0.008174386920980936,6,100,0.006459531038046638,9606,Homo sapiens,"RHOA","P61586","R-HSA-2160931;R-HSA-2134532;R-HSA-2160932;R-HSA-2134519;R-HSA-2160935;R-HSA-2134506"
R-HSA-193704,"p75 NTR receptor-mediated signalling",1,99,0.008174386920980926,0.008174386920980936,0.008174386920980936,5,50,0.003229765519023319,9606,Homo sapiens,"RHOA","P61586","R-HSA-9012761;R-HSA-193696;R-HSA-194518;R-HSA-193668;R-HSA-193646"
R-HSA-4420097,"VEGFA-VEGFR2 Pathway",1,100,0.00825695648583932,0.00825695648583935,0.00825695648583935,3,79,0.005103029520056844,9606,Homo sapiens,"RHOA","P61586","R-HSA-5218826;R-HSA-3928647;R-HSA-5228992"
R-HSA-194138,"Signaling by VEGF",1,110,0.009082652134423252,0.009082652134423275,0.009082652134423275,3,86,0.005555196692720109,9606,Homo sapiens,"RHOA","P61586","R-HSA-5218826;R-HSA-3928647;R-HSA-5228992"
R-HSA-187037,"Signaling by NTRK1 (TRKA)",1,117,0.009660639088432003,0.009660639088431955,0.009660639088431955,1,102,0.006588721658807571,9606,Homo sapiens,"RHOA","P61586","R-HSA-202692"
R-HSA-3858494,"Beta-catenin independent WNT signaling",1,131,0.01081661299644951,0.010816612996449537,0.010816612996449537,1,51,0.0032943608294037853,9606,Homo sapiens,"RHOA","P61586","R-HSA-3858495"
R-HSA-166520,"Signaling by NTRKs",1,139,0.011477169515316655,0.011477169515316632,0.011477169515316632,1,164,0.010593630902396485,9606,Homo sapiens,"RHOA","P61586","R-HSA-202692"
R-HSA-5663220,"RHO GTPases Activate Formins",1,141,0.01164230864503344,0.011642308645033461,0.011642308645033461,3,27,0.0017440733802725921,9606,Homo sapiens,"RHOA","P61586","R-HSA-5665989;R-HSA-3858495;R-HSA-5665982"
R-HSA-8980692,"RHOA GTPase cycle",1,150,0.01238543472875898,0.01238543472875897,0.01238543472875897,6,6,3.8757186228279824E-4,9606,Homo sapiens,"RHOA","P61586","R-HSA-9013004;R-HSA-9013006;R-HSA-9013009;R-HSA-9012835;R-HSA-8980691;R-HSA-8981637"
R-HSA-9006936,"Signaling by TGFB family members",1,158,0.013045991247626124,0.013045991247626176,0.013045991247626176,6,148,0.009560105936309024,9606,Homo sapiens,"RHOA","P61586","R-HSA-2160931;R-HSA-2134532;R-HSA-2160932;R-HSA-2134519;R-HSA-2160935;R-HSA-2134506"
R-HSA-73887,"Death Receptor Signaling",1,161,0.013293699942201304,0.013293699942201309,0.013293699942201309,5,119,0.007686841935275499,9606,Homo sapiens,"RHOA","P61586","R-HSA-9012761;R-HSA-193696;R-HSA-194518;R-HSA-193668;R-HSA-193646"
R-HSA-376176,"Signaling by ROBO receptors",1,205,0.016926760795970604,0.016926760795970552,0.016926760795970552,1,59,0.0038111233124475162,9606,Homo sapiens,"RHOA","P61586","R-HSA-8985594"
R-HSA-76002,"Platelet activation, signaling and aggregation",1,265,0.021880934687474197,0.021880934687474207,0.021880934687474207,3,119,0.007686841935275499,9606,Homo sapiens,"RHOA","P61586","R-HSA-442291;R-HSA-442273;R-HSA-442314"
