"Source"	"Target"
"S1PR1"	"Capric Acid"
"S1PR1"	"5-(3,4-Dihydroxyphenyl)pentanoic acid"
"S1PR1"	"3-Phenylpropionic acid"
"S1PR1"	"Myristic Acid"
"S1PR1"	"3-Hydroxy-4-methoxybenzenepropanoic acid"
"S1PR1"	"Dihydrocaffeic acid"
"S1PR1"	"5-(3-hydroxyphenyl)pentanoic Acid"
"S1PR1"	"Palmitic Acid"
"S1PR1"	"3-(3-Hydroxyphenyl)propanoic acid"
"S1PR1"	"10-Oxo-11-octadecenoic acid"
"S1PR1"	"Ginsenoside Rd"
"S1PR1"	"Ginsenoside Rh2"
"S1PR1"	"4-Methylpentanoic acid"
"S1PR1"	"n,n,n-Trimethyllysine"
"S1PR1"	"10-keto-12Z-octadecenoic acid"
"S1PR1"	"2,2',4,4',5-Pentabromodiphenyl ether"
"S1PR1"	"Doconexent"
"S1PR1"	"Palmitoylethanolamide"
"S1PR1"	"20(R)-Ginsenoside Rh2"
"S1PR1"	"(10-[(Acetyloxy)methyl]-9-anthryl)methyl acetate"
"S1PR1"	"Phenylalanine"
"S1PR1"	"Leucylproline"
"S1PR1"	"Diosgenin"
"EDNRB"	"Indole-3-lactic acid"
"EDNRB"	"Ponciretin"
"EDNRB"	"3-Indolepropionic acid"
"EDNRB"	"Dihydroglycitein"
"EDNRB"	"Chenodiol"
"EDNRB"	"Glycocholic acid"
"EDNRB"	"Cohibin B"
"EDNRB"	"3-(4-Hydroxyphenyl)propionic acid"
"EDNRB"	"Aglycone"
"EDNRB"	"Allocholic acid"
"EDNRB"	"5-Methoxyindole-3-acetic acid"
"EDNRB"	"Deoxycholic Acid"
"EDNRB"	"Ursodiol"
"EDNRB"	"Dihydrocaffeic acid"
"EDNRB"	"Kynurenic acid"
"EDNRB"	"Bile acid"
"EDNRB"	"Doconexent"
"EDNRB"	"3-(3-Hydroxyphenyl)propanoic acid"
"EDNRB"	"2-Hydroxy-3-(4-hydroxyphenyl)propanoic acid"
"EDNRB"	"Isoallolithocholic acid"
"EDNRB"	"(R)-3-(4-Hydroxyphenyl)lactate"
"EDNRB"	"3-(2,4-Dihydroxyphenyl)propanoic acid"
"EDNRB"	"Lithocholic acid"
"S1PR1"	"Signaling by Interleukins"
"S1PR1"	"Cytokine Signaling in Immune system"
"S1PR1"	"Immune System"
"S1PR1"	"Class A/1 (Rhodopsin-like receptors)"
"S1PR1"	"GPCR ligand binding"
"S1PR1"	"Signaling by GPCR"
"S1PR1"	"Infectious disease"
"S1PR1"	"Disease"
"S1PR1"	"Signal Transduction"
"EDNRB"	"Peptide ligand-binding receptors"
"EDNRB"	"G alpha (q) signalling events"
"EDNRB"	"Class A/1 (Rhodopsin-like receptors)"
"EDNRB"	"GPCR ligand binding"
"EDNRB"	"Signaling by GPCR"
"EDNRB"	"Developmental Biology"
"EDNRB"	"Signal Transduction"
"S1PR1"	"FoxO signaling pathway"
"S1PR1"	"Neuroactive ligand-receptor interaction"
"EDNRB"	"Calcium signaling pathway"
"EDNRB"	"cGMP-PKG signaling pathway"
"EDNRB"	"Neuroactive ligand-receptor interaction"
"EDNRB"	"Melanogenesis"
