"name"	"type"	"layer"
"S1PR1"	"Gene"	4
"EDNRB"	"Gene"	4
"Capric Acid"	"Metabolite"	3
"5-(3,4-Dihydroxyphenyl)pentanoic acid"	"Metabolite"	3
"3-Phenylpropionic acid"	"Metabolite"	3
"Myristic Acid"	"Metabolite"	3
"3-Hydroxy-4-methoxybenzenepropanoic acid"	"Metabolite"	3
"Dihydrocaffeic acid"	"Metabolite"	3
"5-(3-hydroxyphenyl)pentanoic Acid"	"Metabolite"	3
"Palmitic Acid"	"Metabolite"	3
"3-(3-Hydroxyphenyl)propanoic acid"	"Metabolite"	3
"10-Oxo-11-octadecenoic acid"	"Metabolite"	3
"Ginsenoside Rd"	"Metabolite"	3
"Ginsenoside Rh2"	"Metabolite"	3
"4-Methylpentanoic acid"	"Metabolite"	3
"n,n,n-Trimethyllysine"	"Metabolite"	3
"10-keto-12Z-octadecenoic acid"	"Metabolite"	3
"2,2',4,4',5-Pentabromodiphenyl ether"	"Metabolite"	3
"Doconexent"	"Metabolite"	3
"Palmitoylethanolamide"	"Metabolite"	3
"20(R)-Ginsenoside Rh2"	"Metabolite"	3
"(10-[(Acetyloxy)methyl]-9-anthryl)methyl acetate"	"Metabolite"	3
"Phenylalanine"	"Metabolite"	3
"Leucylproline"	"Metabolite"	3
"Diosgenin"	"Metabolite"	3
"Indole-3-lactic acid"	"Metabolite"	3
"Ponciretin"	"Metabolite"	3
"3-Indolepropionic acid"	"Metabolite"	3
"Dihydroglycitein"	"Metabolite"	3
"Chenodiol"	"Metabolite"	3
"Glycocholic acid"	"Metabolite"	3
"Cohibin B"	"Metabolite"	3
"3-(4-Hydroxyphenyl)propionic acid"	"Metabolite"	3
"Aglycone"	"Metabolite"	3
"Allocholic acid"	"Metabolite"	3
"5-Methoxyindole-3-acetic acid"	"Metabolite"	3
"Deoxycholic Acid"	"Metabolite"	3
"Ursodiol"	"Metabolite"	3
"Kynurenic acid"	"Metabolite"	3
"Bile acid"	"Metabolite"	3
"2-Hydroxy-3-(4-hydroxyphenyl)propanoic acid"	"Metabolite"	3
"Isoallolithocholic acid"	"Metabolite"	3
"(R)-3-(4-Hydroxyphenyl)lactate"	"Metabolite"	3
"3-(2,4-Dihydroxyphenyl)propanoic acid"	"Metabolite"	3
"Lithocholic acid"	"Metabolite"	3
"Oscillibacter"	"Species"	1
"Lachnospiraceae"	"Species"	1
"Alistipes"	"Species"	1
"Faecalibacterium"	"Species"	1
"Parabacteroides"	"Species"	1
"Roseburia"	"Species"	1
"Prevotella"	"Species"	1
"Blautia"	"Species"	1
"Phascolarctobacterium"	"Species"	1
"Bacteroides"	"Species"	1
"Ruminococcus"	"Species"	1
"Parasutterella"	"Species"	1
"Bifidobacterium"	"Species"	1
"Coprococcus"	"Species"	1
"Clostridium"	"Species"	1
"Sutterella"	"Species"	1
"Eggerthella"	"Species"	1
"Eubacterium"	"Species"	1
"MDD"	"Disorder"	5
"FoxO signaling pathway"	"Pathway"	2
"Neuroactive ligand-receptor interaction"	"Pathway"	2
"Calcium signaling pathway"	"Pathway"	2
"cGMP-PKG signaling pathway"	"Pathway"	2
"Melanogenesis"	"Pathway"	2
"Signaling by Interleukins"	"Pathway"	2
"Cytokine Signaling in Immune system"	"Pathway"	2
"Immune System"	"Pathway"	2
"Class A/1 (Rhodopsin-like receptors)"	"Pathway"	2
"GPCR ligand binding"	"Pathway"	2
"Signaling by GPCR"	"Pathway"	2
"Infectious disease"	"Pathway"	2
"Disease"	"Pathway"	2
"Signal Transduction"	"Pathway"	2
"Peptide ligand-binding receptors"	"Pathway"	2
"G alpha (q) signalling events"	"Pathway"	2
"Developmental Biology"	"Pathway"	2
