Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9818026,"NFE2L2 regulating inflammation associated genes",1,5,4.138045187453447E-4,4.138045187453976E-4,0.006207067781180187,3,3,1.961681815209573E-4,9606,Homo sapiens,"EP300","Q09472","R-HSA-9796054;R-HSA-9796070;R-HSA-9796066"
R-HSA-9818035,"NFE2L2 regulating ER-stress associated genes",1,5,4.138045187453447E-4,4.138045187453976E-4,0.006207067781180187,2,2,1.307787876806382E-4,9606,Homo sapiens,"EP300","Q09472","R-HSA-9796068;R-HSA-9796061"
R-HSA-3134973,"LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production",1,5,4.138045187453447E-4,4.138045187453976E-4,0.006207067781180187,1,5,3.269469692015955E-4,9606,Homo sapiens,"EP300","Q09472","R-HSA-3134883"
R-HSA-9818032,"NFE2L2 regulating MDR associated enzymes",1,8,6.620872299925515E-4,6.620872299925029E-4,0.006207067781180187,8,8,5.231151507225528E-4,9606,Homo sapiens,"EP300","Q09472","R-HSA-9796039;R-HSA-9796065;R-HSA-9796048;R-HSA-9796077;R-HSA-9796076;R-HSA-9796079;R-HSA-9796042;R-HSA-9796074"
R-HSA-9818028,"NFE2L2 regulates pentose phosphate pathway genes",1,8,6.620872299925515E-4,6.620872299925029E-4,0.006207067781180187,4,8,5.231151507225528E-4,9606,Homo sapiens,"EP300","Q09472","R-HSA-9761812;R-HSA-9761828;R-HSA-9761846;R-HSA-9761849"
R-HSA-9818749,"Regulation of NFE2L2 gene expression",1,8,6.620872299925515E-4,6.620872299925029E-4,0.006207067781180187,2,7,4.577257568822337E-4,9606,Homo sapiens,"EP300","Q09472","R-HSA-9796080;R-HSA-9796060"
R-HSA-8951936,"RUNX3 regulates p14-ARF",1,9,7.448481337416204E-4,7.44848133741649E-4,0.006207067781180187,6,8,5.231151507225528E-4,9606,Homo sapiens,"EP300","Q09472","R-HSA-8951977;R-HSA-8952058;R-HSA-8951966;R-HSA-8951951;R-HSA-8952081;R-HSA-8952101"
R-HSA-6811555,"PI5P Regulates TP53 Acetylation",1,9,7.448481337416204E-4,7.44848133741649E-4,0.006207067781180187,2,8,5.231151507225528E-4,9606,Homo sapiens,"EP300","Q09472","R-HSA-6811479;R-HSA-6811508"
R-HSA-9617629,"Regulation of FOXO transcriptional activity by acetylation",1,10,8.276090374906894E-4,8.276090374906842E-4,0.006207067781180187,4,9,5.885045445628719E-4,9606,Homo sapiens,"EP300","Q09472","R-HSA-9620515;R-HSA-9617683;R-HSA-9617735;R-HSA-9617758"
R-HSA-9818030,"NFE2L2 regulating tumorigenic genes",1,11,9.103699412397583E-4,9.103699412397193E-4,0.006207067781180187,11,12,7.846727260838292E-4,9606,Homo sapiens,"EP300","Q09472","R-HSA-9796069;R-HSA-9796084;R-HSA-9796071;R-HSA-9796055;R-HSA-9796064;R-HSA-9796051;R-HSA-9796082;R-HSA-9796044;R-HSA-9796057;R-HSA-9796043;R-HSA-9796059"
