"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PTGDS",0,-1.00489242277608,0.169,0.286,0
"GLUL",0,-1.50102742816081,0.096,0.201,0
"XIST",0,-7.01648918073762,0.001,0.057,0
"APOE",2.57272216592215e-290,-1.86989021499769,0.043,0.111,7.41947345430288e-286
"CST3",5.21183911469935e-264,-1.37297578651145,0.097,0.18,1.50304228228814e-259
"TUBB4A",2.49615728478822e-254,-1.01235491328599,0.136,0.226,7.19866799360075e-250
"SLC1A3",5.00928671570601e-207,-1.00513622681836,0.066,0.13,1.44462819594246e-202
"FGFR3",4.86775661175588e-201,-1.48566681794704,0.035,0.086,1.40381232926428e-196
"GJA1",1.63040139875532e-133,-1.95402026523986,0.017,0.047,4.70191459387046e-129
"CRYAB",4.94375784567659e-133,-1.01185548413912,0.058,0.106,1.42573032511467e-128
"GFAP",4.9455688414724e-131,-1.39560579012213,0.032,0.069,1.42625259819222e-126
"MT2A",1.6061631378255e-128,-1.35257756123355,0.036,0.075,4.63201387317495e-124
"NPAS4",2.02190701070006e-121,2.32560868038089,0.033,0.009,5.83097762815791e-117
"GPR37L1",4.6309327901118e-117,-1.89278662854621,0.02,0.049,1.33551470734034e-112
"ATP1B2",1.38716936619508e-108,-1.21450347648552,0.076,0.121,4.00045773517e-104
"S100B",3.34390576288506e-105,-1.10844976704345,0.025,0.055,9.64348982958424e-101
"CSRP1",3.73228505516034e-102,-1.04064688270037,0.03,0.061,1.07635368705769e-97
"AGT",3.74152360582004e-101,-2.04307644380528,0.009,0.029,1.07901799268244e-96
"CH507-513H4.1",5.48925668188304e-97,-1.50251734787845,0.019,0.045,1.58304673448825e-92
"HTRA1",6.50890409197904e-97,-1.04256392344374,0.062,0.102,1.87710285108584e-92
"TUBB2B",5.28756217459689e-94,-1.17461707618273,0.048,0.084,1.524880055532e-89
"HEPACAM",5.52524849413289e-93,-1.17771674650251,0.029,0.058,1.59342641322298e-88
"DDIT4",9.95313062389424e-93,-1.47873761730619,0.023,0.049,2.87038334062486e-88
"F3",2.07899310547112e-90,-1.62337644049598,0.018,0.041,5.99560821686816e-86
"SDC4",3.95780661378781e-89,-2.01589609777648,0.009,0.028,1.14139184935027e-84
"TSC22D4",2.24756193284546e-86,-1.06099888883439,0.042,0.074,6.48174385813303e-82
"ACSS1",2.85580567363886e-81,-1.09281620344411,0.033,0.062,8.2358579822071e-77
"ATP1A2",4.21660853680114e-81,-1.10651217929475,0.044,0.076,1.21602773592808e-76
"HSPA1A",4.09677874123545e-77,-1.27526714462359,0.06,0.095,1.18147002118489e-72
"MT1E",1.31527207815745e-74,-1.58772954071571,0.011,0.029,3.79311314619826e-70
"KCNJ10",3.33149248718466e-73,-1.28382308303191,0.014,0.034,9.60769118379183e-69
"SPP1",7.86890425972332e-66,-1.07783731223151,0.029,0.053,2.26931329946161e-61
"MLC1",3.6509233466345e-65,-1.59554041147389,0.018,0.037,1.05288978393592e-60
"MTRNR2L8",2.17147153177204e-62,-1.03855010695706,0.029,0.052,6.26230675047739e-58
"SOX9",2.76513259743782e-61,-1.27052751718296,0.026,0.048,7.97436589775094e-57
"PMP2",3.4865892079624e-60,-1.03503056096172,0.019,0.038,1.00549746168428e-55
"ADGRG1",2.66125686499425e-58,-1.07378194364354,0.046,0.073,7.67479867295693e-54
"MTRNR2L12",1.28545084798062e-57,-1.15794003904536,0.017,0.034,3.70711170049132e-53
"MT1M",1.21432374519773e-55,-1.82839707130668,0.005,0.016,3.50198824877575e-51
"AQP4",3.19459187541392e-52,-1.3227573495167,0.027,0.048,9.2128835095062e-48
"RP11-430C7.4",3.08983414702431e-50,1.23115071114684,0.025,0.011,8.91077269660342e-46
"WFS1",1.66650174681327e-48,-1.0925105159855,0.032,0.053,4.80602438763479e-44
"ANGPTL4",8.80919003453462e-48,-2.26555339562821,0.009,0.021,2.54048231405944e-43
"HEPN1",3.2756053388717e-47,-1.15366738623272,0.017,0.032,9.4465182367721e-43
"GJB6",6.19340807929217e-47,-1.80004740396089,0.008,0.019,1.78611695598707e-42
"FAM107A",8.86607338544681e-47,-1.00152200797221,0.04,0.063,2.556886903629e-42
"LINC01515",6.97933441495132e-46,1.04860781252873,0.024,0.011,2.01277025192781e-41
"GRIN2C",1.01056017477217e-45,-1.14848549335533,0.021,0.038,2.91435448802546e-41
"EDNRB",7.0969273213947e-44,-1.4368309057234,0.007,0.018,2.04668287021702e-39
"IFITM3",2.17403828393681e-43,-1.71589200518308,0.007,0.017,6.26970900704537e-39
"ID4",2.54923540109069e-41,-1.09722526079833,0.013,0.027,7.35173997320545e-37
"C10orf10",1.56883681806467e-40,-1.73127549161632,0.008,0.019,4.52436849961671e-36
"EMX2",9.40437068211754e-40,-1.06624582337371,0.015,0.028,2.71212646101588e-35
"MT1G",1.34808817367465e-39,-1.54900507280912,0.005,0.014,3.88775148406034e-35
"ZFP36",1.98300052006481e-39,-2.32460261733478,0.003,0.01,5.71877519981491e-35
"PBXIP1",2.47564124707351e-37,-1.35240253539432,0.018,0.032,7.13950179243528e-33
"HSPA1B",3.96442929531922e-37,-1.26504847620147,0.025,0.041,1.14330176447711e-32
"AEBP1",9.00486837558579e-37,-1.43645858551433,0.006,0.015,2.59691399083519e-32
"LINC00982",1.8260494300898e-36,-1.0352146259425,0.011,0.023,5.26614395143599e-32
"TRIL",7.39102262251693e-35,-1.50717015093566,0.008,0.018,2.13149701410766e-30
"CH507-528H12.1",3.95392551130874e-34,-1.46169141530715,0.012,0.023,1.14027257820633e-29
"PPP1R3C",1.04225440707513e-32,-1.20765497608888,0.012,0.023,3.00575748456397e-28
"S1PR1",4.86708348719595e-32,-1.73717406083324,0.004,0.011,1.40361820687244e-27
"EZR",1.21568985062392e-31,-1.16716106831912,0.015,0.027,3.50592796021432e-27
"OAF",4.74733729905066e-31,-1.18204057222137,0.013,0.024,1.36908460367322e-26
"ALDH1L1",7.38560920299631e-30,-1.07293739115853,0.018,0.03,2.1299358380521e-25
"HES5",5.42373186174865e-29,-1.6500858219467,0.006,0.014,1.56415003160969e-24
"CDC42EP4",3.06816669215164e-28,-1.21591440319669,0.011,0.021,8.84828592349611e-24
"RAB34",3.10763537734498e-28,-1.2305262785798,0.008,0.016,8.96210966472518e-24
"AC007325.2",2.07036211229787e-27,-1.65958650508601,0.005,0.011,5.97071729565582e-23
"SLC9A3R1",6.18421564297321e-27,-1.25886380477895,0.006,0.013,1.78346594927704e-22
"SLC7A10",2.12318373685481e-26,-1.55490248583691,0.006,0.013,6.12304957871558e-22
"AC091814.2",6.2622913671531e-26,1.23369665904128,0.01,0.004,1.80598220737328e-21
"RP11-849I19.1",1.83631689458374e-25,-1.14696627117137,0.007,0.015,5.29575429229005e-21
"NKAIN4",7.88455598108261e-25,-1.01833542684007,0.014,0.024,2.27382709938441e-20
"HES1",3.81365663987172e-24,-1.12943937064215,0.015,0.025,1.0998204383726e-19
"KIAA1161",2.38591174956662e-23,-1.33089834878002,0.011,0.02,6.88073089457519e-19
"VIM",1.34893623665893e-21,-1.21416610179447,0.005,0.011,3.89019721290069e-17
"SALL3",6.16852917857317e-20,-1.21533072290875,0.004,0.01,1.77894212980872e-15
"GNA14-AS1",1.16866751740752e-19,-1.25957764908805,0.012,0.021,3.37032025345155e-15
"LAMB2",2.50156187825719e-18,-1.34378699528027,0.005,0.011,7.21425430070591e-14
"CLDN10",3.27253191473983e-18,-1.09309259047951,0.015,0.023,9.43765478891819e-14
"RP11-98J9.1",7.41871328758436e-18,-1.15973657023902,0.005,0.01,2.13948272500645e-13
"NUPR1",1.62640406594514e-17,-1.2237330663223,0.007,0.013,4.69038668577918e-13
"SLC38A3",3.91671053072604e-16,-1.32149518654635,0.006,0.012,1.12954014995608e-11
"SPR",2.3283175882713e-15,-1.14268714171086,0.005,0.01,6.7146350928156e-11
"CASKIN2",2.91623201160309e-15,-1.00809090561231,0.011,0.018,8.41012149826216e-11
"GADD45B",2.99721983968257e-15,-1.11337472318372,0.017,0.025,8.64368229566055e-11
"RHOU",3.15946080103785e-15,-1.06469026656404,0.014,0.021,9.11156900411305e-11
"FAM189A2",3.47551663309747e-15,-1.01039338773614,0.016,0.024,1.00230424181898e-10
"RHOC",2.35845657200207e-14,-1.22892893438989,0.007,0.012,6.80155290799677e-10
"HILPDA",1.68072601725243e-13,-1.36576950392233,0.015,0.022,4.84704576115429e-09
"CYP2J2",2.01827461069877e-13,-1.0509024572699,0.005,0.01,5.8205021497942e-09
"MMP15",2.44464228035664e-13,-1.00055433270561,0.012,0.019,7.0501038723205e-09
