"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GAPDH",0,-0.665763886671697,0.358,0.479,0
"ACTB",0,-0.6336604627383,0.481,0.593,0
"CLU",0,-0.67900835944236,0.369,0.464,0
"TUBB2A",0,-0.519896811631457,0.221,0.311,0
"CKB",0,-0.582962570437565,0.471,0.56,0
"UBC",0,-0.590854017199724,0.211,0.299,0
"SNCB",0,-0.595829225287043,0.28,0.366,0
"TUBB",0,-0.632652045049215,0.16,0.245,0
"MIF",0,-0.634483722565127,0.197,0.282,0
"RAB3A",0,-0.545431342382049,0.19,0.274,0
"CFL1",0,-0.479906230163686,0.271,0.355,0
"GLUL",0,-1.38684625508417,0.144,0.227,0
"TPI1",0,-0.555684859333206,0.208,0.291,0
"TUBB3",0,-0.583089154151347,0.187,0.269,0
"TUBB4A",0,-0.559158474908599,0.184,0.264,0
"ATP5F1D",0,-0.661569739705346,0.156,0.235,0
"UBB",0,-0.533535667380091,0.168,0.246,0
"PRDX2",0,-0.687829328365562,0.159,0.237,0
"ALDOC",0,-0.744651089316387,0.144,0.217,0
"EIF5A",0,-0.875224447372121,0.078,0.144,0
"ATP1B2",0,-1.2871268016938,0.1,0.164,0
"HPCA",2.09315851517103e-319,-0.712371654149319,0.126,0.194,1.0324028837897e-316
"LINC01515",3.67071012234213e-319,1.37579054796022,0.049,0.014,1.73177721232088e-316
"TUBA4A",1.51808586603765e-318,-0.61568706245704,0.143,0.214,6.86364572182272e-316
"SLC1A2",6.40704033087541e-317,-0.999590740873667,0.332,0.413,2.78091178533174e-314
"HSP90AB1",2.69823675405522e-310,-0.361743214012688,0.417,0.494,1.12609873147128e-307
"CTSD",1.98516752348495e-308,-0.62637001963853,0.156,0.228,7.97816770271674e-306
"ATP6V0C",2.35908489469975e-308,-0.392038093286363,0.382,0.463,9.14229649728107e-306
"PTMA",1.19000703210765e-303,-0.435781294495782,0.367,0.452,4.45267803634487e-301
"PEBP1",1.06186027926811e-301,-0.410154681259064,0.393,0.469,3.84074863011274e-299
"ATP6V1F",6.81011976785263e-297,-0.602473693857033,0.143,0.213,2.38376160003125e-294
"AC119673.2",2.41461485006222e-295,0.584601216474119,0.22,0.147,8.18780804313286e-293
"PCSK1N",1.67077602461411e-291,-0.487632455701858,0.239,0.319,5.49381534639022e-289
"PHYHIP",2.50392299770966e-290,-0.519402886732276,0.283,0.357,7.99119660239632e-288
"TUBB4B",4.11455073750869e-286,-0.596388005223914,0.119,0.182,1.27562828722019e-283
"DYNLRB1",5.6093807971902e-285,-0.630622562245661,0.12,0.185,1.69076086195308e-282
"VAMP2",3.81313990482348e-281,-0.3706632657775,0.469,0.537,1.11828057046593e-278
"FAIM2",1.65165291813004e-280,-0.414424774825351,0.359,0.432,4.7163383722708e-278
"BSG",1.70966832297691e-278,-0.501307230224577,0.254,0.33,4.75682332631344e-276
"GPR37L1",1.1962653990925e-277,-1.67982374767887,0.037,0.076,3.24516896138818e-275
"JUND",6.2396410751993e-277,-0.453721930258329,0.296,0.374,1.65137427578019e-274
"ACTG1",1.23773713017699e-275,-0.396067993530011,0.331,0.409,3.19778228560726e-273
"GPM6A",2.11698124500367e-275,-0.39348781876396,0.74,0.772,5.34217755570578e-273
"MEG3",5.56773108416636e-267,0.347889872428891,0.757,0.728,1.37307840896112e-264
"PKM",5.18749571106513e-266,-0.413563020525031,0.365,0.437,1.2508781324615e-263
"FGFR3",2.20028593660109e-263,-1.31588950830757,0.056,0.101,5.19028319523009e-261
"PPP2R1A",9.34273289709806e-263,-0.467198281515303,0.243,0.316,2.15697860992364e-260
"RNF187",4.32306508942621e-262,-0.547375304907433,0.144,0.208,9.77282901778412e-260
"PRDX1",1.86171618252332e-260,-0.656794665096193,0.099,0.157,4.12275148909399e-258
"H1FX",2.7861604596617e-260,-0.662542185169378,0.093,0.149,6.04652542955783e-258
"TUBA1B",1.2005568020363e-257,-0.33524522333786,0.412,0.479,2.55436114880311e-255
"PNMA8B",8.24238085113345e-255,-0.545272333304448,0.11,0.169,1.71996297337787e-252
"MALAT1",2.14080753022081e-254,0.102980757559013,0.983,0.98,4.38300047366528e-252
"ATP6V0B",2.98962943958973e-254,-0.489808745435752,0.204,0.275,6.00749426833115e-252
"GABARAP",6.46373027563109e-245,-0.485183402160161,0.176,0.243,1.27523522219769e-242
"AP2M1",1.43753497616708e-244,-0.401563889981584,0.261,0.334,2.78548071899803e-242
"ITM2C",1.03905184728275e-243,-0.513923771836555,0.219,0.291,1.97802659559037e-241
"RNASEK",6.98250915942586e-243,-0.495420563915024,0.167,0.233,1.30633115325741e-240
