"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GLUL",0,-1.38684625508417,0.144,0.227,0
"ATP1B2",0,-1.2871268016938,0.1,0.164,0
"LINC01515",3.67071012234213e-319,1.37579054796022,0.049,0.014,1.73177721232088e-316
"GPR37L1",1.1962653990925e-277,-1.67982374767887,0.037,0.076,3.24516896138818e-275
"FGFR3",2.20028593660109e-263,-1.31588950830757,0.056,0.101,5.19028319523009e-261
"GJA1",1.37224526918029e-241,-1.6764554129803,0.033,0.068,2.52376837557209e-239
"HSPB1",1.38753309041309e-231,-1.00342805739322,0.058,0.101,2.35251899438633e-229
"ADGRG7",5.79127711173438e-209,4.03611674636899,0.016,0.001,6.91033018717659e-207
"APOE",1.71016942871777e-206,-1.33294789169216,0.064,0.106,1.99538155602328e-204
"TUBB2B",8.28562023769629e-180,-1.05059341142089,0.055,0.092,7.13549723803512e-178
"F3",2.54825989656913e-159,-1.45587014110475,0.033,0.06,1.62653930221598e-157
"FOS",1.95614668783734e-158,-1.07752559072528,0.041,0.071,1.23407835521645e-156
"SDC4",3.16055570487461e-137,-1.57289076879425,0.02,0.041,1.47824094627562e-135
"AGT",1.90223171396626e-123,-1.44199044206448,0.022,0.042,7.09316712310923e-122
"WIF1",2.35999888137035e-119,-1.17467230344217,0.053,0.081,8.28749121739473e-118
"HES1",2.4375640132967e-117,-1.48363902598462,0.027,0.048,8.29153827845846e-116
"GJB6",8.04152281444415e-110,-1.65061085840227,0.009,0.022,2.39064559067215e-108
"EMX2",3.38328385188488e-109,-1.21856045629978,0.022,0.041,1.00032733179299e-107
"MLC1",1.2202606757476e-108,-1.22983336218272,0.026,0.047,3.5498789792325e-107
"DDIT4",2.61850100478924e-104,-1.07897712933672,0.034,0.056,7.0679986077035e-103
"GRIN2C",1.17147050395816e-103,-1.14836632243122,0.032,0.053,3.11559471530636e-102
"LINC01393",8.42997311003732e-99,3.19581663872956,0.011,0.002,2.05558737566326e-97
"HEPN1",1.72511728160034e-95,-1.16396510693958,0.023,0.041,3.97436255257862e-94
"ID4",3.99486406960506e-95,-1.00098876891839,0.03,0.05,9.14520464541867e-94
"CLDN10",2.7215132967393e-83,-1.3386128998071,0.02,0.036,4.83324726398006e-82
"HES5",6.15241297133689e-79,-1.47140687818094,0.01,0.021,9.6893807187194e-78
"PRDM16-DT",9.22856239979144e-75,-1.13219834762264,0.02,0.035,1.3405506104436e-73
"MT1E",1.86841358252177e-74,-1.11665729300224,0.024,0.039,2.69603135424784e-73
"S1PR1",7.06005421578277e-72,-1.36620710989885,0.011,0.022,9.70958787014688e-71
"EDNRB",9.3864688360276e-72,-1.12521587920427,0.022,0.037,1.28601734014818e-70
"TRIL",1.10814430301209e-69,-1.31011636901258,0.014,0.027,1.44351426554432e-68
"ZFP36",1.75366330395966e-69,-1.45810094746649,0.008,0.018,2.27347676359215e-68
"AC097518.2",4.4551113982789e-67,-1.01151626891203,0.023,0.038,5.46859884419958e-66
"SLC39A12",4.20876758895202e-64,-1.10702057430325,0.021,0.035,4.83785350717355e-63
"SLC7A10",2.59514231866795e-63,-1.25885806879098,0.012,0.022,2.90607732712755e-62
