"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GAPDH",0,-0.665763886671697,0.358,0.479,0
"ACTB",0,-0.6336604627383,0.481,0.593,0
"CLU",0,-0.67900835944236,0.369,0.464,0
"TUBB2A",0,-0.519896811631457,0.221,0.311,0
"CKB",0,-0.582962570437565,0.471,0.56,0
"UBC",0,-0.590854017199724,0.211,0.299,0
"SNCB",0,-0.595829225287043,0.28,0.366,0
"TUBB",0,-0.632652045049215,0.16,0.245,0
"MIF",0,-0.634483722565127,0.197,0.282,0
"RAB3A",0,-0.545431342382049,0.19,0.274,0
"CFL1",0,-0.479906230163686,0.271,0.355,0
"GLUL",0,-1.38684625508417,0.144,0.227,0
"TPI1",0,-0.555684859333206,0.208,0.291,0
"TUBB3",0,-0.583089154151347,0.187,0.269,0
"TUBB4A",0,-0.559158474908599,0.184,0.264,0
"ATP5F1D",0,-0.661569739705346,0.156,0.235,0
"UBB",0,-0.533535667380091,0.168,0.246,0
"PRDX2",0,-0.687829328365562,0.159,0.237,0
"ALDOC",0,-0.744651089316387,0.144,0.217,0
"EIF5A",0,-0.875224447372121,0.078,0.144,0
"ATP1B2",0,-1.2871268016938,0.1,0.164,0
"HPCA",2.09315851517103e-319,-0.712371654149319,0.126,0.194,3.46495049827921e-312
"LINC01515",3.67071012234213e-319,1.37579054796022,0.049,0.014,5.81219062952255e-312
"TUBA4A",1.51808586603765e-318,-0.61568706245704,0.143,0.214,2.30357677715814e-311
"SLC1A2",6.40704033087541e-317,-0.999590740873667,0.332,0.413,9.33329613353241e-310
"HSP90AB1",2.69823675405522e-310,-0.361743214012688,0.417,0.494,3.7794125625639e-303
"CTSD",1.98516752348495e-308,-0.62637001963853,0.156,0.228,2.67763264438579e-301
"ATP6V0C",2.35908489469975e-308,-0.392038093286363,0.382,0.463,3.06833755041747e-301
"PTMA",1.19000703210765e-303,-0.435781294495782,0.367,0.452,1.49440780255807e-296
"PEBP1",1.06186027926811e-301,-0.410154681259064,0.393,0.469,1.28903205523844e-294
"ATP6V1F",6.81011976785263e-297,-0.602473693857033,0.143,0.213,8.0003806820249e-290
"AC119673.2",2.41461485006222e-295,0.584601216474119,0.22,0.147,2.74799213543625e-288
"PCSK1N",1.67077602461411e-291,-0.487632455701858,0.239,0.319,1.84383430655548e-284
"PHYHIP",2.50392299770966e-290,-0.519402886732276,0.283,0.357,2.68200540369625e-283
"TUBB4B",4.11455073750869e-286,-0.596388005223914,0.119,0.182,4.28126365756842e-279
"DYNLRB1",5.6093807971902e-285,-0.630622562245661,0.12,0.185,5.67453160488693e-278
"VAMP2",3.81313990482348e-281,-0.3706632657775,0.469,0.537,3.75317325059777e-274
"FAIM2",1.65165291813004e-280,-0.414424774825351,0.359,0.432,1.58289748450153e-273
"BSG",1.70966832297691e-278,-0.501307230224577,0.254,0.33,1.59648504477732e-271
"GPR37L1",1.1962653990925e-277,-1.67982374767887,0.037,0.076,1.0891436068211e-270
"JUND",6.2396410751993e-277,-0.453721930258329,0.296,0.374,5.54234234437346e-270
"ACTG1",1.23773713017699e-275,-0.396067993530011,0.331,0.409,1.07323969069551e-268
"GPM6A",2.11698124500367e-275,-0.39348781876396,0.74,0.772,1.79294163124597e-268
"MEG3",5.56773108416636e-267,0.347889872428891,0.757,0.728,4.6083257561553e-260
"PKM",5.18749571106513e-266,-0.413563020525031,0.365,0.437,4.1981971881673e-259
"FGFR3",2.20028593660109e-263,-1.31588950830757,0.056,0.101,1.74196284598312e-256
"PPP2R1A",9.34273289709806e-263,-0.467198281515303,0.243,0.316,7.23925161062572e-256
"RNF187",4.32306508942621e-262,-0.547375304907433,0.144,0.208,3.27995687494871e-255
"PRDX1",1.86171618252332e-260,-0.656794665096193,0.099,0.157,1.38367785476973e-253
"H1FX",2.7861604596617e-260,-0.662542185169378,0.093,0.149,2.0293348646682e-253
"TUBA1B",1.2005568020363e-257,-0.33524522333786,0.412,0.479,8.57294688761299e-251
"PNMA8B",8.24238085113345e-255,-0.545272333304448,0.11,0.169,5.77253973125079e-248
"MALAT1",2.14080753022081e-254,0.102980757559013,0.983,0.98,1.47102261897154e-247
"ATP6V0B",2.98962943958973e-254,-0.489808745435752,0.204,0.275,2.0162352263373e-247
"GABARAP",6.46373027563109e-245,-0.485183402160161,0.176,0.243,4.27994445273989e-238
"AP2M1",1.43753497616708e-244,-0.401563889981584,0.261,0.334,9.3486303891012e-238
"ITM2C",1.03905184728275e-243,-0.513923771836555,0.219,0.291,6.63865286012041e-237
"RNASEK",6.98250915942586e-243,-0.495420563915024,0.167,0.233,4.38430861656254e-236
