"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GLUL",0,-1.38684625508417,0.144,0.227,0
"ATP1B2",0,-1.2871268016938,0.1,0.164,0
"LINC01515",3.67071012234213e-319,1.37579054796022,0.049,0.014,5.81219062952255e-312
"GPR37L1",1.1962653990925e-277,-1.67982374767887,0.037,0.076,1.0891436068211e-270
"FGFR3",2.20028593660109e-263,-1.31588950830757,0.056,0.101,1.74196284598312e-256
"GJA1",1.37224526918029e-241,-1.6764554129803,0.033,0.068,8.47027142209505e-235
"HSPB1",1.38753309041309e-231,-1.00342805739322,0.058,0.101,7.89552424895939e-225
"ADGRG7",5.79127711173438e-209,4.03611674636899,0.016,0.001,2.31924501742021e-202
"APOE",1.71016942871777e-206,-1.33294789169216,0.064,0.106,6.69689957832533e-200
"TUBB2B",8.28562023769629e-180,-1.05059341142089,0.055,0.092,2.39481558302935e-173
"F3",2.54825989656913e-159,-1.45587014110475,0.033,0.06,5.45899120609726e-153
"FOS",1.95614668783734e-158,-1.07752559072528,0.041,0.071,4.14181377577745e-152
"SDC4",3.16055570487461e-137,-1.57289076879425,0.02,0.041,4.96127226389024e-131
"AGT",1.90223171396626e-123,-1.44199044206448,0.022,0.042,2.38060874985792e-117
"WIF1",2.35999888137035e-119,-1.17467230344217,0.053,0.081,2.78144780238202e-113
"HES1",2.4375640132967e-117,-1.48363902598462,0.027,0.048,2.78280607701623e-111
"GJB6",8.04152281444415e-110,-1.65061085840227,0.009,0.022,8.02348473141387e-104
"EMX2",3.38328385188488e-109,-1.21856045629978,0.022,0.041,3.35729859096364e-103
"MLC1",1.2202606757476e-108,-1.22983336218272,0.026,0.047,1.19141038301001e-102
"DDIT4",2.61850100478924e-104,-1.07897712933672,0.034,0.056,2.37216169271745e-98
"GRIN2C",1.17147050395816e-103,-1.14836632243122,0.032,0.053,1.04565589835112e-97
"LINC01393",8.42997311003732e-99,3.19581663872956,0.011,0.002,6.89896235020103e-93
"HEPN1",1.72511728160034e-95,-1.16396510693958,0.023,0.041,1.33387555989644e-89
"ID4",3.99486406960506e-95,-1.00098876891839,0.03,0.05,3.06931358309541e-89
"CLDN10",2.7215132967393e-83,-1.3386128998071,0.02,0.036,1.62213444673699e-77
"HES5",6.15241297133689e-79,-1.47140687818094,0.01,0.021,3.2519499568166e-73
"PRDM16-DT",9.22856239979144e-75,-1.13219834762264,0.02,0.035,4.49915595877081e-69
"MT1E",1.86841358252177e-74,-1.11665729300224,0.024,0.039,9.0484204311266e-69
"S1PR1",7.06005421578277e-72,-1.36620710989885,0.011,0.022,3.2587318809787e-66
"EDNRB",9.3864688360276e-72,-1.12521587920427,0.022,0.037,4.31613139700531e-66
"TRIL",1.10814430301209e-69,-1.31011636901258,0.014,0.027,4.84472257801985e-64
"ZFP36",1.75366330395966e-69,-1.45810094746649,0.008,0.018,7.63024271396797e-64
"AC097518.2",4.4551113982789e-67,-1.01151626891203,0.023,0.038,1.83537114409026e-61
"SLC39A12",4.20876758895202e-64,-1.10702057430325,0.021,0.035,1.62368039407759e-58
"SLC7A10",2.59514231866795e-63,-1.25885806879098,0.012,0.022,9.75337672530548e-58
