 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL5409	 G-protein coupled bile acid receptor 1 
 2 	 CHEMBL205	 Carbonic anhydrase II 
 3 	 CHEMBL261	 Carbonic anhydrase I 
 4 	 CHEMBL2047	 Bile acid receptor FXR 
 5 	 CHEMBL5287	 Bile acid transporter 
 6 	 CHEMBL2778	 Ileal bile acid transporter 
 7 	 CHEMBL2027	 Niemann-Pick C1-like protein 1 
 8 	 CHEMBL2808	 LXR-alpha 
 9 	 CHEMBL335	 Protein-tyrosine phosphatase 1B 
 10 	 CHEMBL1871	 Androgen Receptor 
 11 	 CHEMBL1856	 Steroid 5-alpha-reductase 2 
 12 	 CHEMBL3775	 Dual specificity phosphatase Cdc25A 
 13 	 CHEMBL1697668	 Solute carrier organic anion transporter family member 1B1 
 14 	 CHEMBL1787	 Steroid 5-alpha-reductase 1 
 15 	 CHEMBL1743121	 Solute carrier organic anion transporter family member 1B3 
 16 	 CHEMBL6020	 Bile salt export pump 
 17 	 CHEMBL1741186	 Nuclear receptor ROR-gamma 
 18 	 CHEMBL3247	 HMG-CoA reductase 
 19 	 CHEMBL3746	 11-beta-hydroxysteroid dehydrogenase 2 
 20 	 CHEMBL1865	 Histone deacetylase 6 
