 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL3229	 Anandamide amidohydrolase 
 2 	 CHEMBL4461	 NAD-dependent deacetylase sirtuin 3 
 3 	 CHEMBL4462	 NAD-dependent deacetylase sirtuin 2 
 4 	 CHEMBL3106	 Thymidine phosphorylase 
 5 	 CHEMBL5485	 D-amino-acid oxidase 
 6 	 CHEMBL296	 GABA receptor gamma-1 subunit 
 7 	 CHEMBL330	 Glutamate (NMDA) receptor subunit zeta 1 
 8 	 CHEMBL3568	 Nitric-oxide synthase, brain 
 9 	 CHEMBL4481	 Nitric oxide synthase, inducible 
 10 	 CHEMBL4803	 Nitric-oxide synthase, endothelial 
 11 	 CHEMBL4361	 Induced myeloid leukemia cell differentiation protein Mcl-1 
 12 	 CHEMBL3561	 GABA receptor rho-1 subunit 
 13 	 CHEMBL205	 Carbonic anhydrase II 
 14 	 CHEMBL2326	 Carbonic anhydrase VII 
 15 	 CHEMBL3025	 Carbonic anhydrase VI 
 16 	 CHEMBL3242	 Carbonic anhydrase XII 
 17 	 CHEMBL3510	 Carbonic anhydrase XIV 
 18 	 CHEMBL3594	 Carbonic anhydrase IX 
 19 	 CHEMBL3729	 Carbonic anhydrase IV 
 20 	 CHEMBL3969	 Carbonic anhydrase VB 
