 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL3419	 Carboxypeptidase B2 isoform A 
 2 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 3 	 CHEMBL3785	 Hydroxycarboxylic acid receptor 2 
 4 	 CHEMBL4731	 Hydroxycarboxylic acid receptor 2 
 5 	 CHEMBL5705	 Egl nine homolog 3 
 6 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 7 	 CHEMBL2552	 Carboxypeptidase B 
 8 	 CHEMBL326	 Alpha-1d adrenergic receptor 
 9 	 CHEMBL3754	 Beta-2 adrenergic receptor 
 10 	 CHEMBL204	 Thrombin 
 11 	 CHEMBL3561	 GABA receptor rho-1 subunit 
 12 	 CHEMBL3568	 Nitric-oxide synthase, brain 
 13 	 CHEMBL2219	 Protein-tyrosine phosphatase LC-PTP 
 14 	 CHEMBL242	 Estrogen receptor beta 
 15 	 CHEMBL5511	 Dual specificity protein phosphatase 6 
 16 	 CHEMBL2439	 Myeloperoxidase 
 17 	 CHEMBL1907	 Aminopeptidase N 
 18 	 CHEMBL3439	 Aminopeptidase A 
 19 	 CHEMBL4713	 Carboxypeptidase N, catalytic subunit 
 20 	 CHEMBL1293226	 Lysine-specific demethylase 4D-like 
