 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL3687	 Arachidonate 12-lipoxygenase 
 2 	 CHEMBL335	 Protein-tyrosine phosphatase 1B 
 3 	 CHEMBL1978	 Cytochrome P450 19A1 
 4 	 CHEMBL2326	 Carbonic anhydrase VII 
 5 	 CHEMBL3004	 Multidrug resistance-associated protein 1 
 6 	 CHEMBL3181	 Estradiol 17-beta-dehydrogenase 1 
 7 	 CHEMBL3242	 Carbonic anhydrase XII 
 8 	 CHEMBL3305	 Testis-specific androgen-binding protein 
 9 	 CHEMBL3729	 Carbonic anhydrase IV 
 10 	 CHEMBL4878	 Cytochrome P450 1B1 
 11 	 CHEMBL5586	 Carbonyl reductase [NADPH] 1 
 12 	 CHEMBL4393	 Matrix metalloproteinase 12 
 13 	 CHEMBL2039	 Monoamine oxidase B 
 14 	 CHEMBL2724	 Estrogen receptor alpha 
 15 	 CHEMBL2903	 Arachidonate 15-lipoxygenase 
 16 	 CHEMBL280	 Matrix metalloproteinase 13 
 17 	 CHEMBL221	 Cyclooxygenase-1 
 18 	 CHEMBL2231	 Cytochrome P450 1A1 
 19 	 CHEMBL3356	 Cytochrome P450 1A2 
 20 	 CHEMBL206	 Estrogen receptor alpha 
