 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL206	 Estrogen receptor alpha 
 2 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 3 	 CHEMBL2492	 Neuronal acetylcholine receptor protein alpha-7 subunit 
 4 	 CHEMBL1973	 Tyrosinase 
 5 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 6 	 CHEMBL2916	 Telomerase reverse transcriptase 
 7 	 CHEMBL6152	 Alpha-synuclein 
 8 	 CHEMBL258	 Tyrosine-protein kinase LCK 
 9 	 CHEMBL1250375	 NADPH oxidase 4 
 10 	 CHEMBL5284	 CaM-kinase kinase beta 
 11 	 CHEMBL283	 Matrix metalloproteinase 3 
 12 	 CHEMBL2622	 Aldose reductase 
 13 	 CHEMBL1293224	 Microtubule-associated protein tau 
 14 	 CHEMBL4822	 Beta-secretase 1 
 15 	 CHEMBL1957	 Insulin-like growth factor I receptor 
 16 	 CHEMBL2903	 Arachidonate 15-lipoxygenase 
 17 	 CHEMBL2710	 Alpha-L-fucosidase I 
 18 	 CHEMBL4176	 Alpha-L-fucosidase I 
 19 	 CHEMBL1929	 Xanthine dehydrogenase 
 20 	 CHEMBL4860	 Apoptosis regulator Bcl-2 
