 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1892	 Glutamate carboxypeptidase II 
 2 	 CHEMBL261	 Carbonic anhydrase I 
 3 	 CHEMBL3369	 Neprilysin 
 4 	 CHEMBL3510	 Carbonic anhydrase XIV 
 5 	 CHEMBL205	 Carbonic anhydrase II 
 6 	 CHEMBL3242	 Carbonic anhydrase XII 
 7 	 CHEMBL2622	 Aldose reductase 
 8 	 CHEMBL3594	 Carbonic anhydrase IX 
 9 	 CHEMBL1944	 Neprilysin 
 10 	 CHEMBL2326	 Carbonic anhydrase VII 
 11 	 CHEMBL1835	 Thromboxane-A synthase 
 12 	 CHEMBL1907	 Aminopeptidase N 
 13 	 CHEMBL1808	 Angiotensin-converting enzyme 
 14 	 CHEMBL2088	 Carboxypeptidase A1 
 15 	 CHEMBL3457	 Kynurenine 3-monooxygenase 
 16 	 CHEMBL4789	 Carbonic anhydrase VA 
 17 	 CHEMBL3437	 Amine oxidase, copper containing 
 18 	 CHEMBL3025	 Carbonic anhydrase VI 
 19 	 CHEMBL3568	 Nitric-oxide synthase, brain 
 20 	 CHEMBL321	 Matrix metalloproteinase 9 
