 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL205	 Carbonic anhydrase II 
 2 	 CHEMBL2326	 Carbonic anhydrase VII 
 3 	 CHEMBL261	 Carbonic anhydrase I 
 4 	 CHEMBL2885	 Carbonic anhydrase III 
 5 	 CHEMBL3025	 Carbonic anhydrase VI 
 6 	 CHEMBL3242	 Carbonic anhydrase XII 
 7 	 CHEMBL3594	 Carbonic anhydrase IX 
 8 	 CHEMBL3729	 Carbonic anhydrase IV 
 9 	 CHEMBL3969	 Carbonic anhydrase VB 
 10 	 CHEMBL4789	 Carbonic anhydrase VA 
 11 	 CHEMBL5979	 Alkaline phosphatase, tissue-nonspecific isozyme 
 12 	 CHEMBL221	 Cyclooxygenase-1 
 13 	 CHEMBL4822	 Beta-secretase 1 
 14 	 CHEMBL2487	 Beta amyloid A4 protein 
 15 	 CHEMBL1973	 Tyrosinase 
 16 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 17 	 CHEMBL3880	 Heat shock protein HSP 90-alpha 
 18 	 CHEMBL4393	 Matrix metalloproteinase 12 
 19 	 CHEMBL2146302	 Glutaminase kidney isoform, mitochondrial 
 20 	 CHEMBL1991	 Inhibitor of nuclear factor kappa B kinase beta subunit 
