pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_ADIPOGENESIS,0.67578125,0.7189162234042553,0.04397592780263451,-0.22942579045646216,-0.9114627624036156,193,
HALLMARK_ALLOGRAFT_REJECTION,3.8429146475376416e-4,0.001280971549179214,0.49849310876659025,-0.41759876104582866,-1.6186251799390832,163,
HALLMARK_ANDROGEN_RESPONSE,0.18577648766328012,0.27320071715188254,0.11934844059101546,-0.3176590701842508,-1.1554757026593003,95,
HALLMARK_ANGIOGENESIS,0.029044306844111092,0.05186483365019838,0.35248785758361917,-0.5089418245168073,-1.5028844709834472,31,
HALLMARK_APICAL_JUNCTION,0.9518229166666666,0.9523809523809523,0.02772922218750172,-0.19544176074730105,-0.773724344846835,186,
HALLMARK_APICAL_SURFACE,0.0975609756097561,0.1626016260162602,0.18138312849840757,-0.4217765110991933,-1.3127383401808947,40,
HALLMARK_APOPTOSIS,1.2004449113060293e-4,5.43588947378949e-4,0.5384340963099162,-0.435221700781066,-1.6775561077821881,154,
HALLMARK_BILE_ACID_METABOLISM,0.24316546762589927,0.3322072072072072,0.10135074379709887,-0.3064322863280767,-1.121870607639394,102,
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0658682634730539,0.11356597150526533,0.21392785549235627,-0.3782952572948074,-1.3246473293824785,74,
HALLMARK_COAGULATION,4.8488418893528325e-5,2.6938010496404624e-4,0.557332238758646,-0.4829963582958666,-1.7824275269722174,108,
HALLMARK_COMPLEMENT,5.841398955381547e-7,4.172427825272533e-6,0.6594443980379349,-0.4681021443402208,-1.8481317183651147,182,
HALLMARK_DNA_REPAIR,0.003691878140463937,0.007997330895466212,0.4317076958033464,0.33801035037799526,1.4574212561399744,145,
HALLMARK_E2F_TARGETS,0.003759688449296751,0.007997330895466212,0.4317076958033464,0.31781227444573024,1.4169002041657142,196,
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.7238298192741124e-10,1.7238298192741125e-9,0.826657301178302,-0.5140952138302944,-2.0423974253459494,193,
HALLMARK_ESTROGEN_RESPONSE_EARLY,8.905067042182091e-4,0.002619137365347674,0.47727081536286214,-0.38744293456183443,-1.5330969374681647,188,
HALLMARK_ESTROGEN_RESPONSE_LATE,0.003838718829823782,0.007997330895466212,0.4317076958033464,-0.3650230801852437,-1.446554258572879,190,
HALLMARK_FATTY_ACID_METABOLISM,0.24583333333333332,0.3322072072072072,0.09854998035316907,-0.2901927289975315,-1.1125026680145624,150,
HALLMARK_G2M_CHECKPOINT,0.0018342970663594884,0.0043673739675225915,0.45505986738722953,0.32467266293855235,1.4435265400746842,190,
HALLMARK_GLYCOLYSIS,0.28292046936114734,0.36271855046300944,0.08679497567717195,-0.27364214462174274,-1.0844196740291483,190,
HALLMARK_HEDGEHOG_SIGNALING,0.10658307210031348,0.17190818080695722,0.16957064440562838,-0.43553171512226513,-1.3294056609582845,35,
HALLMARK_HEME_METABOLISM,0.44396551724137934,0.541421362489487,0.13500203382863138,0.22826326859870438,1.0051256550336987,184,
HALLMARK_HYPOXIA,1.3010953085637677e-12,1.6263691357047095e-11,0.9101197347744591,-0.543804160810275,-2.1604251275872732,193,
HALLMARK_IL2_STAT5_SIGNALING,1.3046134737094774e-4,5.43588947378949e-4,0.5188480777437918,-0.4182510537617657,-1.6513127488152268,182,
HALLMARK_IL6_JAK_STAT3_SIGNALING,1.3022683636043086e-4,5.43588947378949e-4,0.5188480777437918,-0.5168922196435904,-1.8145932284369908,75,
HALLMARK_INFLAMMATORY_RESPONSE,2.9066990776432075e-14,7.266747694108019e-13,0.9653277542260832,-0.5760631302630143,-2.267677721012925,179,
HALLMARK_INTERFERON_ALPHA_RESPONSE,2.585757212831161e-4,9.94522004935062e-4,0.49849310876659025,-0.4791743560575453,-1.7421152061844498,94,
HALLMARK_INTERFERON_GAMMA_RESPONSE,4.554696619343298e-14,7.591161032238831e-13,0.9653277542260832,-0.5625483948290501,-2.2270439366155586,186,
HALLMARK_KRAS_SIGNALING_DN,0.5969738651994498,0.6488846360863585,0.05216303054600547,-0.24482644229821293,-0.9453660112905795,156,
HALLMARK_KRAS_SIGNALING_UP,4.437386637645347e-5,2.6938010496404624e-4,0.557332238758646,-0.4262548269651544,-1.6866575843264604,187,
HALLMARK_MITOTIC_SPINDLE,0.012213735992564013,0.023487953831853873,0.3807304007227924,0.29574608630499266,1.3200958152772386,195,
HALLMARK_MTORC1_SIGNALING,0.012159301742902452,0.023487953831853873,0.3807304007227924,-0.3423713171290761,-1.3632692991822901,198,
HALLMARK_MYC_TARGETS_V1,1.5871107782777175e-7,1.3225923152314312e-6,0.6901324587967956,0.41528704024762314,1.8527518607079263,199,
