pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_ADIPOGENESIS,1.7521658659014628e-12,2.9202764431691047e-11,0.9101197347744591,0.5126174407250802,2.231300585187007,198,
HALLMARK_ALLOGRAFT_REJECTION,0.35285053929121724,0.4410631741140215,0.08383610571599288,-0.2532102355615485,-1.0335598761478582,193,
HALLMARK_ANDROGEN_RESPONSE,0.04635050004137936,0.09270100008275872,0.3217759180753611,0.3370475131993079,1.3284402047067712,99,
HALLMARK_ANGIOGENESIS,0.5523114355231143,0.6199021207177814,0.08431443206426534,0.29599387215077266,0.9411619194788179,34,
HALLMARK_APICAL_JUNCTION,0.598159509202454,0.6501733795678847,0.05712585100181134,-0.23149260436402386,-0.9462510727338155,195,
HALLMARK_APICAL_SURFACE,0.7106598984771574,0.7560211685927206,0.07325586558284547,0.2562206721806366,0.864128680142688,44,
HALLMARK_APOPTOSIS,0.21311475409836064,0.3044496487119438,0.15740289930528326,0.25868762440119775,1.0940861415903533,157,
HALLMARK_BILE_ACID_METABOLISM,0.06561679790026247,0.12151258870418975,0.2878571172551493,0.3150645388307448,1.2723488288795826,110,
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.30413625304136255,0.4001792803175823,0.12098514214525231,0.28212192368752903,1.0619688324439014,74,
HALLMARK_COAGULATION,0.37333333333333335,0.4552845528455285,0.11331290842208036,0.24780174878116476,1.027730050682791,128,
HALLMARK_COMPLEMENT,0.49008498583569404,0.5700510493477028,0.09992769737310925,0.2282715624770084,0.9912353809243025,193,
HALLMARK_DNA_REPAIR,2.747884197679173e-7,2.2899034980659776e-6,0.674962860011025,0.47376102339609705,1.9890700684373928,148,
HALLMARK_E2F_TARGETS,0.12244897959183673,0.20408163265306123,0.21925034670375515,0.26602483855462156,1.1555520418431786,200,
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.7465437788018433,0.76177936612433,0.04697587278218445,-0.21887249039503123,-0.8959590208623055,198,
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.0055872525142556285,0.013302982176799115,0.40701791892395395,0.3201584532247064,1.3892589498963892,197,
HALLMARK_ESTROGEN_RESPONSE_LATE,0.0032286066226512827,0.008496333217503376,0.4317076958033464,0.3285766019737081,1.430215021997052,198,
HALLMARK_FATTY_ACID_METABOLISM,1.2880345336084903e-9,1.6100431670106128e-8,0.7881868108002371,0.5082669606460966,2.149649946178751,157,
HALLMARK_G2M_CHECKPOINT,0.2706552706552707,0.3657503657503658,0.14122511964253093,0.24717828270242703,1.0759076906539222,198,
HALLMARK_GLYCOLYSIS,0.0010172638902947995,0.0031789496571712483,0.45505986738722953,0.3470549876165762,1.5129645636301192,199,
HALLMARK_HEDGEHOG_SIGNALING,0.17839195979899497,0.2623411173514632,0.16565669520548273,0.3818231895758874,1.2167893482231305,36,
HALLMARK_HEME_METABOLISM,5.7597880672012344e-5,2.2153031027697057e-4,0.557332238758646,0.37929632374165967,1.6462453205277958,194,
HALLMARK_HYPOXIA,0.017432596973164544,0.036317910360759466,0.35248785758361917,0.30364197961387085,1.3182056544528005,196,
HALLMARK_IL2_STAT5_SIGNALING,0.9495412844036697,0.9495412844036697,0.035693308335334094,-0.19200089055084785,-0.7868106723457285,197,
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.5579119086460033,0.6199021207177814,0.06335970106437581,-0.2603634881960818,-0.9439343527331039,83,
HALLMARK_INFLAMMATORY_RESPONSE,0.13302752293577982,0.214560520864161,0.14826150047510658,-0.28443012057241085,-1.1643570588502545,196,
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.014028365812909782,0.030768233322249247,0.3807304007227924,0.3757589851087544,1.4851668071691615,96,
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0026213118388946147,0.0072814217747072625,0.4317076958033464,0.3324705856639901,1.443359730821243,196,
