pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_ADIPOGENESIS,0.09244992295839753,0.1926040061633282,0.18138312849840757,-0.29348124201896014,-1.2157698850526464,197,
HALLMARK_ALLOGRAFT_REJECTION,0.0019763137614432257,0.008234640672680107,0.4317076958033464,-0.367257616664666,-1.5170098073330072,192,
HALLMARK_ANDROGEN_RESPONSE,0.46710526315789475,0.6312233285917497,0.07253518643945886,-0.2650749702408159,-0.9925004621038502,99,
HALLMARK_ANGIOGENESIS,0.7940691927512356,0.8849804578447794,0.04735342452541926,-0.25699378660452654,-0.7913024775428616,34,
HALLMARK_APICAL_JUNCTION,0.002934353081614021,0.011285973390823158,0.4317076958033464,-0.3591227478096259,-1.4866705810266345,194,
HALLMARK_APICAL_SURFACE,0.007685711845355284,0.021349199570431344,0.40701791892395395,-0.500585865873814,-1.6151388688300499,44,
HALLMARK_APOPTOSIS,3.074006141198239e-7,3.842507676497798e-6,0.674962860011025,-0.48832589513763625,-1.9629721485807046,157,
HALLMARK_BILE_ACID_METABOLISM,0.04723127035830619,0.10734379626887772,0.26635065708852557,-0.35623553042738254,-1.356540741614725,109,
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.1218274111675127,0.2368781947388106,0.16440575583821013,-0.3481629090741971,-1.2356670228022886,74,
HALLMARK_COAGULATION,0.3549432739059968,0.5219754028029365,0.08628656262672446,-0.26657374995713057,-1.0412302351939082,131,
HALLMARK_COMPLEMENT,0.3,0.48387096774193544,0.09284812141598782,-0.2597066989108079,-1.0751151558099408,194,
HALLMARK_DNA_REPAIR,0.86240000000000006,0.8983333333333334,0.042246818836005263,-0.2079874478558168,-0.8269232521489979,148,
HALLMARK_E2F_TARGETS,2.0539243946911536e-11,3.8093877536276047e-10,0.8634153916066928,-0.5260325896433353,-2.175025090102582,200,
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.6894081694201135e-4,0.001055880105887571,0.5188480777437918,-0.3869928036231091,-1.6024825165572767,198,
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.007512453927625988,0.021349199570431344,0.40701791892395395,-0.34597115179279647,-1.4332136001369582,197,
HALLMARK_ESTROGEN_RESPONSE_LATE,0.0059158894011780505,0.018487154378681408,0.40701791892395395,-0.34683461399663884,-1.4354632066451525,196,
HALLMARK_FATTY_ACID_METABOLISM,0.7779552715654952,0.8849804578447794,0.04688198568783333,-0.2154080593858812,-0.8652855813051041,158,
HALLMARK_G2M_CHECKPOINT,3.7214290100820667e-13,1.8607145050410332e-11,0.932595211336209,-0.5409043748764053,-2.2398085849496727,198,
HALLMARK_GLYCOLYSIS,0.05754276827371695,0.12509297450808032,0.2343926472946861,-0.30640990836544313,-1.2680783508870377,199,
HALLMARK_HEDGEHOG_SIGNALING,0.7964824120603015,0.8849804578447794,0.06705125798294667,0.2520671343236571,0.8181208357186665,36,
HALLMARK_HEME_METABOLISM,0.2846153846153846,0.47435897435897434,0.09592067779217453,-0.2616503182449425,-1.083161211656852,194,
HALLMARK_HYPOXIA,0.046296296296296294,0.10734379626887772,0.2616635217115731,-0.31219507204757346,-1.292098657790157,196,
HALLMARK_IL2_STAT5_SIGNALING,0.0031720171513241156,0.011328632683300413,0.4317076958033464,-0.35674009624602593,-1.476459562658251,196,
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.3197278911564626,0.484436198721913,0.09497515259055948,-0.29862521530794717,-1.082211062698673,83,
HALLMARK_INFLAMMATORY_RESPONSE,0.009936296003760182,0.02614814737831627,0.3807304007227924,-0.33809367951688657,-1.3992866275753888,196,
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.1419031719532554,0.2627836517652878,0.15016980212840597,-0.3238151574092558,-1.2031018132786984,96,
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.2824074074074074,0.47435897435897434,0.09656295543094219,-0.26191378739141513,-1.083996781004969,196,
HALLMARK_KRAS_SIGNALING_DN,0.48194662480376765,0.6341402957944312,0.06863256318367258,-0.23908662335062733,-0.9775104118871729,181,
HALLMARK_KRAS_SIGNALING_UP,0.0052866494874023685,0.017622164958007894,0.40701791892395395,-0.35942099329180827,-1.4868235861574985,190,
HALLMARK_MITOTIC_SPINDLE,1.1250666293516021e-5,1.1250666293516021e-4,0.5933254763964051,-0.4257822401878866,-1.7638375170064275,197,
HALLMARK_MTORC1_SIGNALING,5.923546429057073e-4,0.0030325162053214155,0.47727081536286214,-0.3772058796485713,-1.5610676964113486,199,
HALLMARK_MYC_TARGETS_V1,0.18040435458786935,0.3221506331926239,0.12625398784911535,-0.2779798670915024,-1.150420537382809,199,
HALLMARK_MYC_TARGETS_V2,0.0015531564011938435,0.00705980182360838,0.45505986738722953,-0.49896386097206347,-1.6871596472953816,58,
HALLMARK_MYOGENESIS,2.6878045832968892e-5,2.2398371527474078e-4,0.5756102610711286,-0.41716436174213944,-1.7269470893655492,194,
HALLMARK_NOTCH_SIGNALING,0.551219512195122,0.7066916823014385,0.06378453903129748,-0.3067622363309332,-0.9391865625039401,32,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1,1,0.03419460453185734,-0.16616827641260112,-0.6870680210546678,200,
HALLMARK_P53_PATHWAY,1.5843682180790154e-4,0.001055880105887571,0.5188480777437918,-0.388215347059275,-1.6075448961773786,198,
HALLMARK_PANCREAS_BETA_CELLS,0.6500829187396352,0.7927840472434575,0.056886416047570075,-0.28740850929001344,-0.8876301157500366,35,
HALLMARK_PEROXISOME,0.5707236842105263,0.713404605263158,0.06266182309324915,-0.252453897268779,-0.9453782697951605,100,
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.85667215815486,0.8983333333333334,0.04388798428636468,-0.21815220702781374,-0.819318239699991,102,
HALLMARK_PROTEIN_SECRETION,0.4389027431421446,0.6270039187744924,0.09889030075206362,0.25576825100356526,1.0131888562087297,95,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.31840796019900497,0.484436198721913,0.09374654224917187,-0.33515252914592564,-1.0907496059837032,48,
HALLMARK_SPERMATOGENESIS,0.8851132686084142,0.9031768047024635,0.04157178992464793,-0.2066638922584975,-0.7993949179804903,124,
HALLMARK_TGF_BETA_SIGNALING,0.12317666126418152,0.2368781947388106,0.1596467019199062,-0.37199308620764154,-1.2422491357582597,54,
HALLMARK_TNFA_SIGNALING_VIA_NFKB,2.2856326521765627e-11,3.8093877536276047e-10,0.8634153916066928,-0.5196628958438225,-2.1512631656284382,194,
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.015907983492514304,0.03976995873128576,0.35248785758361917,-0.36639315607478873,-1.3976474085883377,112,
HALLMARK_UV_RESPONSE_DN,0.46272493573264784,0.6312233285917497,0.09754492162471996,0.23311831623853715,0.9862926359414216,144,
HALLMARK_UV_RESPONSE_UP,6.065032410642831e-4,0.0030325162053214155,0.47727081536286214,-0.402338971287888,-1.6173219622197872,157,
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.8525121555915721,0.8983333333333334,0.04336369878832656,-0.24135325218319548,-0.7692774229195529,42,
HALLMARK_XENOBIOTIC_METABOLISM,0.7395993836671803,0.8804754567466432,0.04754341942013011,-0.21443660603408365,-0.8883210595527423,197,
