pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_ADIPOGENESIS,0.18948521358159912,0.3614359974009097,0.09992769737310925,0.2990841676854967,1.141844042725597,199,
HALLMARK_ALLOGRAFT_REJECTION,1.0010625096428862e-5,1.668437516071477e-4,0.5933254763964051,0.4477281488293106,1.7021125343457721,192,
HALLMARK_ANDROGEN_RESPONSE,0.04112281416847019,0.15383211604989472,0.3217759180753611,-0.30444691683449954,-1.3052308564464845,99,
HALLMARK_ANGIOGENESIS,0.1388888888888889,0.3306878306878307,0.1372507796101328,0.4410477066214326,1.282286439962309,34,
HALLMARK_APICAL_JUNCTION,0.2127894156560088,0.37998109938573005,0.09344492194109945,0.2964267343607002,1.127566454448069,195,
HALLMARK_APICAL_SURFACE,0.5797297297297297,0.7328641370869033,0.05269730857084192,0.29901971688512086,0.9309867458023076,44,
HALLMARK_APOPTOSIS,0.2593856655290102,0.4129572956372387,0.08407455779107234,0.2964257540870371,1.1093428645056738,158,
HALLMARK_BILE_ACID_METABOLISM,0.8277777777777777,0.9406565656565656,0.10925003948071095,-0.1980156406573113,-0.8733001321068873,111,
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.6224747474747475,0.7591155457009116,0.04632277857946331,0.2667199478296015,0.9050767112403699,74,
HALLMARK_COAGULATION,0.03403755868544601,0.14182316118935837,0.26635065708852557,0.3641287356969385,1.3327327880208626,132,
HALLMARK_COMPLEMENT,0.05402425578831312,0.16882579933847852,0.20207170902115992,0.3305726785948434,1.2563511723266008,194,
HALLMARK_DNA_REPAIR,0.020517537862353708,0.11398632145752059,0.35248785758361917,0.36261733622849995,1.3456539365246378,148,
HALLMARK_E2F_TARGETS,0.8202247191011236,0.9406565656565656,0.16318012718068908,-0.19125965901991654,-0.9040942481315438,200,
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.007549705483369827,0.05392646773835591,0.40701791892395395,0.3688850689952797,1.4069843358466378,198,
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.9636963696369637,0.994475138121547,0.01723426876580658,0.19820421831525614,0.7550424691325569,197,
HALLMARK_ESTROGEN_RESPONSE_LATE,0.0297029702970297,0.14182316118935837,0.27650059925447157,0.3392618561647529,1.2923897974446517,197,
HALLMARK_FATTY_ACID_METABOLISM,0.3083048919226394,0.45338954694505795,0.07492788183937392,0.29049911969686715,1.0871630455101269,158,
HALLMARK_G2M_CHECKPOINT,0.1504383651803535,0.34190537540989435,0.24924655438329513,-0.23664000932595114,-1.1225594919628794,198,
HALLMARK_GLYCOLYSIS,0.1875117566741045,0.3614359974009097,0.24924655438329513,-0.23220445671543588,-1.101394408559957,199,
HALLMARK_HEDGEHOG_SIGNALING,0.01348560536354242,0.08428503352214012,0.3807304007227924,-0.4534861003639263,-1.590280374643939,36,
HALLMARK_HEME_METABOLISM,0.8743109151047409,0.971456572338601,0.02336673077641205,0.2153143908049881,0.8183086650006481,194,
HALLMARK_HYPOXIA,0.9780701754385965,0.994475138121547,0.015948450931777623,0.1906188753463408,0.7270496809737677,198,
HALLMARK_IL2_STAT5_SIGNALING,0.47414741474147415,0.6407397496506407,0.052482762263545854,0.264003817317587,1.0057005637026255,197,
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.25440806045340053,0.4129572956372387,0.09082414190071554,0.3291689120700313,1.1346660381050846,84,
HALLMARK_INFLAMMATORY_RESPONSE,0.15806805708013172,0.34360882109423685,0.11146266692298015,0.3061635195731558,1.1664215860536302,196,
HALLMARK_INTERFERON_ALPHA_RESPONSE,2.8937115649210615e-6,7.234278912302653e-5,0.6272567397185284,0.5404938203248318,1.892981480332929,96,
HALLMARK_INTERFERON_GAMMA_RESPONSE,6.31493867321491e-7,3.157469336607455e-5,0.6594443980379349,0.47775306428755143,1.8201433265634825,196,
HALLMARK_KRAS_SIGNALING_DN,0.3070953436807095,0.45338954694505795,0.07380527241712746,0.28622825972447696,1.0825858494703926,185,
HALLMARK_KRAS_SIGNALING_UP,0.22442244224422442,0.38693524524866274,0.09026354843400684,0.2952397703017272,1.122023161300841,191,
HALLMARK_MITOTIC_SPINDLE,0.05322599505085687,0.16882579933847852,0.3217759180753611,-0.26025476672019776,-1.2362518290122515,197,
HALLMARK_MTORC1_SIGNALING,0.04307299249397052,0.15383211604989472,0.3217759180753611,-0.2568744684484181,-1.2184094450763034,199,
HALLMARK_MYC_TARGETS_V1,0.07228915662650602,0.2008032128514056,0.1723243449009459,0.3251158885471877,1.2412279907889194,199,
HALLMARK_MYC_TARGETS_V2,0.993514915693904,0.994475138121547,0.025271280805562058,0.1826875424722108,0.5969956915821567,58,
HALLMARK_MYOGENESIS,6.908815086583849e-4,0.005757345905486541,0.47727081536286214,0.4046152375723902,1.5413480632354362,197,
HALLMARK_NOTCH_SIGNALING,0.8214285714285714,0.9406565656565656,0.0374584205912161,0.2645367089437795,0.7621036983309416,32,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,4.707490716648285e-5,5.884363395810356e-4,0.557332238758646,0.4297721879294545,1.640059642141823,200,
HALLMARK_P53_PATHWAY,0.19517543859649122,0.3614359974009097,0.09821233512174378,0.29852207663285335,1.1386090710334738,198,
HALLMARK_PANCREAS_BETA_CELLS,0.3658872077028886,0.5226960110041265,0.07588869006061172,0.3703692955831394,1.0736029910178615,33,
HALLMARK_PEROXISOME,0.5862913096695227,0.7328641370869033,0.047638725929082505,0.2701122612982986,0.952915403322654,101,
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.994475138121547,0.994475138121547,0.09754492162471996,-0.1662467836840801,-0.7191793379910582,103,
HALLMARK_PROTEIN_SECRETION,4.720396563135226e-4,0.004720396563135226,0.49849310876659025,-0.39639882398790033,-1.6815814857497735,95,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.03324468085106383,0.14182316118935837,0.2878571172551493,0.4642120617264116,1.4599931858818114,48,
HALLMARK_SPERMATOGENESIS,0.09210186809678604,0.2423733370968054,0.2878051305355643,-0.26167511398055326,-1.1650172026634815,129,
HALLMARK_TGF_BETA_SIGNALING,0.4251655629139073,0.5905077262693157,0.06643641376628104,0.31745494579944644,1.0216157301289739,54,
